instance,seq,game_id,sport,active,workers,active_over_workers
2026-09-07,000001,ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball,000001,unverified,unverified
2026-09-07,000002,ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,000002,unverified,unverified
2026-09-07,000003,wnba_01_1080p,wnba,000003,unverified,unverified
2026-09-07,000004,wnba_06,wnba,000004,unverified,unverified
2026-09-07,000005,ncaa_basketball_mRkuGgeECak,ncaa_basketball,000001,unverified,unverified
2026-09-07,000006,ncaa_basketball_zqBCKovJCQU,ncaa_basketball,000001,unverified,unverified
2026-09-07,000007,ncaa_basketball_sRtHQbywiTE,ncaa_basketball,000001,unverified,unverified
2026-09-07,000008,wnba_02,wnba,000001,unverified,unverified
2026-09-07,000009,ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball,000001,unverified,unverified
2026-09-07,000010,ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,000002,unverified,unverified
2026-09-07,000011,ncaa_basketball_mRkuGgeECak,ncaa_basketball,000003,unverified,unverified
2026-09-07,000012,ncaa_basketball_sRtHQbywiTE,ncaa_basketball,000004,unverified,unverified
2026-09-07,000013,ncaa_basketball_zqBCKovJCQU,ncaa_basketball,000005,unverified,unverified
2026-09-07,000014,wnba_01_1080p,wnba,000005,unverified,unverified
2026-09-07,000015,wnba_02,wnba,000006,unverified,unverified
2026-09-07,000016,wnba_06,wnba,000006,unverified,unverified
2026-09-07,000017,g220c_jh3fnwMi7dM,basketball,000001,unverified,unverified
2026-09-07,000018,wnba_04,wnba,000002,unverified,unverified
2026-09-07,000019,wnba_05,wnba,000003,unverified,unverified
2026-09-07,000020,den_phx_2025,nba,000004,unverified,unverified
2026-09-07,000021,okc_dal_2025,nba,000004,unverified,unverified
2026-09-07,000022,gsw_lakers_2025,nba,000005,unverified,unverified
2026-09-07,000023,mem_nop_2025,nba,000005,unverified,unverified
2026-09-07,000024,ncaa_basketball_tiUvyvWOCxo,ncaa_basketball,000003,unverified,unverified
2026-09-07,000025,bos_mia_playoffs,nba,000003,unverified,unverified
