game_id,sport,status,rows,decoded_frames,job_wall_seconds,reap_latency_seconds,implied_adjudication_wall_seconds,finished_at,evaluated_at
0022500575_s6600,nba,tracked,003573,003897,001457,000021,000000,1788825998,1788825977
0022500575_s8700,nba,tracked,003113,003897,001537,000004,000016,1788826078,1788826074
0022500575_s7200,nba,tracked,002620,003897,001566,000004,000016,1788826108,1788826104
0022500575_s900,nba,tracked,003303,003898,001566,000023,000000,1788826108,1788826085
0022500594_s8700,nba,tracked,004204,003901,001649,000006,000014,1788826191,1788826185
0022500594_s9900,nba,tracked,004180,003901,001649,000003,000017,1788826191,1788826188
0022500630_s1500,nba,tracked,003735,003897,001649,000004,000016,1788826192,1788826188
0022500592_s2700,nba,thin,000000,unavailable,000104,unavailable,unavailable,1788826192,unavailable
0022500592_s300,nba,thin,000000,unavailable,000104,unavailable,unavailable,1788826192,unavailable
0022500594_s7200,nba,tracked,005357,003901,001679,000023,000000,1788826221,1788826198
0022500592_s9300,nba,thin,000000,unavailable,000243,unavailable,unavailable,1788826613,unavailable
0022500630_s4500,nba,tracked,000465,003897,001260,000018,000002,1788827853,1788827835
0022500592_s6000,nba,tracked,002517,003898,001877,000022,000000,1788828245,1788828223
0022500592_s4500,nba,thin,000000,unavailable,002098,unavailable,unavailable,1788828466,unavailable
0022500592_s900,nba,tracked,002508,003898,002148,000018,000002,1788828517,1788828499
0022500630_s3900,nba,tracked,005176,003897,002425,000010,000010,1788828795,1788828785
0022500592_s2100,nba,tracked,005267,003898,002526,000008,000012,1788828894,1788828886
0022500630_s2100,nba,tracked,004787,003897,002579,000014,000006,1788828949,1788828935
0022500592_s1500,nba,tracked,003151,003898,002633,000008,000012,1788829001,1788828993
0022500592_s8700,nba,tracked,003594,003898,002690,000009,000011,1788829060,1788829051
0022500630_s3300,nba,tracked,004137,003897,002690,000007,000013,1788829060,1788829053
0022500621_s2100,nba,thin,000000,unavailable,000181,unavailable,unavailable,1788829084,unavailable
0022500592_s3900,nba,tracked,004269,003898,002775,000027,000000,1788829143,1788829116
0022500592_s5400,nba,tracked,003578,003898,002775,000027,000000,1788829143,1788829116
0022500592_s7200,nba,tracked,004319,003898,002821,000014,000006,1788829190,1788829176
0022500592_s8100,nba,tracked,004745,003898,002822,000015,000005,1788829191,1788829176
