kind,competition,game,section_id,source_tree,source_path,source_bytes,source_sha256,width,height,avg_fps,r_fps,codec_name,duration_s,usable_start_s,usable_span_s,frame_cap,eligible,reason,draw_kind,draw_order,population,window_start_s,start_frame,frames,window_end_s
1080p30,UNDECLARED,9sq-YMlIo9Q,9sq-YMlIo9Q_s2346,g364_scratch_val,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1920,1080,29.97003,29.97003,h264,132.076,0.0,132.076,300,YES,,1080p30,0,40,3.937935,118,300,13.937935
1080p30,UNDECLARED,9sq-YMlIo9Q,9sq-YMlIo9Q_s90,g364_scratch_val,/workspace/g364_scratch/val/9sq-YMlIo9Q_s90.mp4,65354306,9d6a95e5001c31e1e08177dd628908db74e2eeafc81d1f0a9aa9d44b5775ba8e,1920,1080,29.97003,29.97003,h264,131.054,0.0,131.054,300,YES,,1080p30,1,40,7.809935,234,300,17.809935
1080p30,UNDECLARED,RIrGQJ_jsGQ,RIrGQJ_jsGQ_s90,g364_scratch_val,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s90.mp4,57018293,847cbd82427b01f791a16da4498160ac6e16495eae86219a743fc872cf9fd7ad,1920,1080,30.0,30.0,h264,135.1,0.0,135.1,300,YES,,1080p30,2,40,12.106452,363,300,22.106452
1080p30,UNDECLARED,UCVSlzgun0o,UCVSlzgun0o_s2298,g364_scratch_val,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1920,1080,29.97003,29.97003,h264,131.06,0.0,131.06,300,YES,,1080p30,3,40,15.620645,468,300,25.620645
1080p30,UNDECLARED,UCVSlzgun0o,UCVSlzgun0o_s90,g364_scratch_val,/workspace/g364_scratch/val/UCVSlzgun0o_s90.mp4,74729263,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,1920,1080,29.97003,29.97003,h264,133.09,0.0,133.09,300,YES,,1080p30,4,40,19.853226,595,300,29.853226
1080p30,UNDECLARED,UzaYBYy3GZg,UzaYBYy3GZg_s90,g364_scratch_val,/workspace/g364_scratch/val/UzaYBYy3GZg_s90.mp4,70876617,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,1920,1080,29.97003,29.97003,h264,135.059,0.0,135.059,300,YES,,1080p30,5,40,24.204968,725,300,34.204968
1080p30,UNDECLARED,Vm0FqeGo-8g,Vm0FqeGo-8g_s1317,g364_scratch_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,65439426,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1920,1080,29.97003,29.97003,h264,131.08,0.0,131.08,300,YES,,1080p30,6,40,27.340645,819,300,37.340645
1080p30,UNDECLARED,Vm0FqeGo-8g,Vm0FqeGo-8g_s90,g364_scratch_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s90.mp4,78483924,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,1920,1080,29.97003,29.97003,h264,135.125,0.0,135.125,300,YES,,1080p30,7,40,32.290323,968,300,42.290323
1080p30,UNDECLARED,X5w3V6rh26s,X5w3V6rh26s_s90,g364_scratch_val,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,71367114,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1920,1080,29.97003,29.97003,h264,135.092,0.0,135.092,300,YES,,1080p30,8,40,36.317032,1088,300,46.317032
1080p30,UNDECLARED,Y1cgaIWW8gk,Y1cgaIWW8gk_s1437,g364_scratch_val,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,73218045,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,1920,1080,30.0,30.0,h264,133.034,0.0,133.034,300,YES,,1080p30,9,40,39.688387,1191,300,49.688387
