draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,held_pairs,shared_pairs,no_shared_pairs,adjacent_evaluated_pairs,zero_output_evaluated_ticks,held_share
1080p30,9sq-YMlIo9Q_s2346,118,418,192,398,0,99,0,0.482412
720p60,acb-jHcR5UxPGuE_s1393,232,832,99,207,33,84,32,0.478261
1080p30,9sq-YMlIo9Q_s90,234,534,51,198,3,69,1,0.257576
720p60,acb-jHcR5UxPGuE_s90,465,1065,86,170,0,99,0,0.505882
720p60,3gBeJyl7Szg_s2302,697,1297,452,553,0,99,0,0.81736
1080p30,UCVSlzgun0o_s2298,468,768,75,174,12,99,2,0.431034
720p60,3gBeJyl7Szg_s90,930,1530,203,325,8,99,5,0.624615
1080p30,UCVSlzgun0o_s90,595,895,191,235,8,99,3,0.812766
720p60,Kh7Fj4ogPN4_s3606,1161,1761,75,299,1,99,0,0.250836
1080p30,UzaYBYy3GZg_s90,725,1025,84,210,7,99,0,0.4
720p60,Kh7Fj4ogPN4_s5950,1392,1992,117,259,0,99,0,0.451737
1080p30,Vm0FqeGo-8g_s1317,819,1119,84,325,28,99,27,0.258462
720p60,Ktu6yFS9iMo_s2532,1625,2225,409,476,0,99,0,0.859244
1080p30,Vm0FqeGo-8g_s90,968,1268,189,305,2,99,0,0.619672
720p60,Ktu6yFS9iMo_s6195,1857,2457,234,321,0,99,0,0.728972
1080p30,X5w3V6rh26s_s90,1088,1388,139,288,11,89,9,0.482639
720p60,L7o4UCIIqS4_s2656,2089,2689,45,133,24,89,17,0.338346
1080p30,Y1cgaIWW8gk_s1437,1191,1491,134,241,36,99,35,0.556017
720p60,L7o4UCIIqS4_s5222,2321,2921,43,64,50,99,31,0.671875
1080p30,Y1cgaIWW8gk_s2784,1331,1631,306,366,2,99,0,0.836066
720p60,oL9Uaie2v2A_s2438,2553,3153,44,109,0,24,0,0.40367
1080p30,qrWmO434a0k_s2804,1452,1752,107,217,9,69,8,0.493088
720p60,oL9Uaie2v2A_s5960,2785,3385,291,316,3,99,0,0.920886
1080p30,tFnl0NVn6FA_s2774,1574,1874,281,438,0,99,0,0.641553
1080p30,tFnl0NVn6FA_s90,1708,2008,121,245,2,99,0,0.493878
1080p30,tZeqmc_-_sA_s2574,1815,2115,267,521,0,99,0,0.512476
720p60,FyMWTVsJvv8_s4332,3945,4545,189,247,0,54,0,0.765182
720p60,Ge4uewCFUFQ_s2382,4177,4777,63,156,12,99,1,0.403846
720p60,Ge4uewCFUFQ_s4674,4410,5010,159,297,0,99,0,0.535354
720p60,IpR4pT8iN0Y_s2432,4642,5242,39,75,42,99,29,0.52
720p60,KZK9rv9TnGE_s1474,4873,5473,127,393,0,99,0,0.323155
720p60,KZK9rv9TnGE_s4242,5105,5705,35,111,15,99,0,0.315315
720p60,KZK9rv9TnGE_s90,5337,5937,131,242,9,99,2,0.541322
720p60,dAy3tnlu3EQ_s4326,5570,6170,234,452,0,99,0,0.517699
720p60,qTXrSRHHR2M_s2262,5803,6403,62,304,1,84,0,0.203947
720p60,qTXrSRHHR2M_s4434,6034,6634,99,177,4,69,0,0.559322
720p60,s-0Y7aLxXgM_s1275,6266,6866,130,360,0,99,0,0.361111
1080p30,J8pMOFvFlsU_s1384,3253,3553,150,279,3,99,0,0.537634
720p60,s-0Y7aLxXgM_s4830,6499,7099,320,447,0,99,0,0.715884
1080p30,J8pMOFvFlsU_s3972,3370,3670,101,169,13,69,12,0.597633
720p60,xv0WyG7_99c_s1200,6731,7331,27,40,70,99,64,0.675
1080p30,J8pMOFvFlsU_s90,3486,3786,34,134,0,39,0,0.253731
720p60,xv0WyG7_99c_s4530,6963,7563,265,328,3,99,1,0.807927
720p60,6rQ2sV4upfc_s1509,3018,3618,310,341,3,99,0,0.909091
720p60,6rQ2sV4upfc_s90,3249,3849,93,244,1,99,0,0.381148
720p60,7blRl4zVfrY_s3489,3481,4081,129,344,1,99,0,0.375
1080p30,yZ5u2sOpiNU_s1371,1857,2157,1,40,15,29,14,0.025
720p60,7blRl4zVfrY_s90,3714,4314,174,247,27,99,22,0.704453
1080p30,yZ5u2sOpiNU_s3933,1974,2274,70,205,0,99,0,0.341463
1080p30,yZ5u2sOpiNU_s5214,2089,2389,75,138,4,59,2,0.543478
1080p30,yZ5u2sOpiNU_s90,2206,2506,268,370,0,99,0,0.724324
1080p30,4JS090XPhmM_s2388,2322,2622,139,194,24,99,14,0.716495
1080p30,4JS090XPhmM_s3537,2438,2738,252,322,2,99,0,0.782609
1080p30,4JS090XPhmM_s4686,2553,2853,114,202,4,99,0,0.564356
1080p30,3eeaJz1PJTM_s1331,2672,2972,54,63,31,69,24,0.857143
1080p30,3eeaJz1PJTM_s2572,2789,3089,402,616,0,99,0,0.652597
1080p30,3eeaJz1PJTM_s3813,2906,3206,383,436,1,99,0,0.87844
1080p30,3eeaJz1PJTM_s6295,3020,3320,0,0,0,0,0,
1080p30,3eeaJz1PJTM_s90,3136,3436,115,205,0,99,0,0.560976
