draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,player_id,position_source,source_branch,matched_event_id,matched_event_valid,repeated_coordinate,x_position,y_position,bbox_x1,bbox_y1,bbox_x2,bbox_y2,target_weight,mask_reason
1080p30,9sq-YMlIo9Q_s2346,,,118,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,118_225_1275_457_1377,1,0,178,987,1275.0,225.0,1377.0,457.0,1,CANDIDATE_ONLY
1080p30,9sq-YMlIo9Q_s2346,,,118,3,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,118_211_647_421_737,1,0,917,246,647.0,211.0,737.0,421.0,1,CANDIDATE_ONLY
1080p30,9sq-YMlIo9Q_s2346,,,118,4,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,366,859,820.0,365.0,988.0,607.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30,9sq-YMlIo9Q_s2346,,,118,5,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,118_184_1527_399_1641,1,0,47,1102,1527.0,184.0,1641.0,399.0,1,CANDIDATE_ONLY
1080p30,9sq-YMlIo9Q_s2346,,,121,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,121_229_1282_462_1387,1,0,160,1005,1282.0,229.0,1387.0,462.0,1,CANDIDATE_ONLY
1080p30,9sq-YMlIo9Q_s2346,,,121,3,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,121_215_652_420_743,1,0,912,251,652.0,215.0,743.0,420.0,1,CANDIDATE_ONLY
1080p30,9sq-YMlIo9Q_s2346,,,121,4,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,370,850,844.0,361.0,994.0,596.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30,9sq-YMlIo9Q_s2346,,,121,5,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,121_183_1533_396_1647,1,0,47,1101,1533.0,183.0,1647.0,396.0,1,CANDIDATE_ONLY
1080p30,9sq-YMlIo9Q_s2346,,,124,1,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,124_232_1293_463_1392,1,0,150,1016,1293.0,232.0,1392.0,463.0,1,CANDIDATE_ONLY
1080p30,9sq-YMlIo9Q_s2346,,,124,2,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,124_390_643_672_766,1,0,532,737,643.0,390.0,766.0,672.0,1,CANDIDATE_ONLY
1080p30,9sq-YMlIo9Q_s2346,,,124,3,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,124_210_659_411_754,1,0,910,251,659.0,210.0,754.0,411.0,1,CANDIDATE_ONLY
