draw_kind,section_id,coverage_status,sealed_start_frame,sealed_end_frame_exclusive,bounded_rows,excluded_overrun_rows,rows,candidate_rows,sealed_window_source_frames,all_decoded_frames,decoded_frames_with_candidate,all_evaluated_ticks,evaluated_ticks_with_candidate,zero_output_evaluated_ticks,candidate_rows_per_row,candidate_frames_per_decoded_frame,candidate_ticks_per_evaluated_tick
720p60,6rQ2sV4upfc_s90,COMPLETE,3249,3849,327,0,327,43,600,600,38,100,38,62,0.131498,0.063333,0.38
720p60,7blRl4zVfrY_s3489,COMPLETE,3481,4081,444,0,444,111,600,600,63,100,63,37,0.25,0.105,0.63
1080p30,yZ5u2sOpiNU_s1371,COMPLETE,1857,2157,60,269,60,6,300,300,5,30,5,25,0.1,0.016667,0.166667
720p60,7blRl4zVfrY_s90,COMPLETE,3714,4314,295,0,295,42,600,600,37,100,37,63,0.142373,0.061667,0.37
1080p30,yZ5u2sOpiNU_s3933,COMPLETE,1974,2274,215,0,215,74,300,300,71,100,71,29,0.344186,0.236667,0.71
1080p30,yZ5u2sOpiNU_s5214,COMPLETE,2089,2389,179,159,179,43,300,300,27,60,27,33,0.240223,0.09,0.45
1080p30,yZ5u2sOpiNU_s90,COMPLETE,2206,2506,456,0,456,71,300,300,50,100,50,50,0.155702,0.166667,0.5
1080p30,4JS090XPhmM_s2388,COMPLETE,2322,2622,266,0,266,19,300,300,15,100,15,85,0.071429,0.05,0.15
1080p30,4JS090XPhmM_s3537,COMPLETE,2438,2738,395,0,395,19,300,300,19,100,19,81,0.048101,0.063333,0.19
1080p30,4JS090XPhmM_s4686,COMPLETE,2553,2853,282,0,282,14,300,300,12,100,12,88,0.049645,0.04,0.12
1080p30,3eeaJz1PJTM_s1331,COMPLETE,2672,2972,84,24,84,10,300,300,9,70,9,61,0.119048,0.03,0.128571
1080p30,3eeaJz1PJTM_s2572,COMPLETE,2789,3089,682,0,682,156,300,300,79,100,79,21,0.228739,0.263333,0.79
1080p30,3eeaJz1PJTM_s3813,COMPLETE,2906,3206,505,0,505,25,300,300,17,100,17,83,0.049505,0.056667,0.17
1080p30,3eeaJz1PJTM_s6295,COMPLETE,3020,3320,0,93,0,0,300,300,0,0,0,0,,0.0,
1080p30,3eeaJz1PJTM_s90,COMPLETE,3136,3436,253,0,253,46,300,300,44,100,44,56,0.181818,0.146667,0.44
