card_id,draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,native_width,native_height,box_within_frame,position_source,matched_event_id,matched_event_valid,repeated_coordinate,target_weight,mask_reason
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,1,1275,225,1377,457,1920,1080,1,DETECTION,118_225_1275_457_1377,1,0,1,CANDIDATE_ONLY
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,3,647,211,737,421,1920,1080,1,DETECTION,118_211_647_421_737,1,0,1,CANDIDATE_ONLY
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,4,820,365,988,607,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,5,1527,184,1641,399,1920,1080,1,DETECTION,118_184_1527_399_1641,1,0,1,CANDIDATE_ONLY
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,4,757,417,916,732,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,8,730,145,868,416,1920,1080,1,CLAMP,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,9,1084,200,1224,546,1920,1080,1,DETECTION,376_200_1084_546_1224,1,0,1,CANDIDATE_ONLY
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,10,1005,176,1116,422,1920,1080,1,CLAMP,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_02,1080p30,UCVSlzgun0o_s2298,468,768,474,5,1320,-13,1935,1019,1920,1080,0,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_02,1080p30,UCVSlzgun0o_s2298,468,768,474,4,1713,-15,1935,504,1920,1080,0,SUBPIXEL,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_03,1080p30,UCVSlzgun0o_s2298,468,768,735,2,149,259,257,477,1920,1080,1,SUBPIXEL,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_03,1080p30,UCVSlzgun0o_s2298,468,768,735,5,1197,729,1311,863,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_03,1080p30,UCVSlzgun0o_s2298,468,768,735,4,759,308,876,554,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_04,1080p30,UCVSlzgun0o_s90,595,895,820,2,580,196,671,390,1920,1080,1,CLAMP,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_04,1080p30,UCVSlzgun0o_s90,595,895,820,9,588,197,681,385,1920,1080,1,CLAMP,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_04,1080p30,UCVSlzgun0o_s90,595,895,820,1,601,252,707,381,1920,1080,1,CLAMP,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_05,1080p30,UzaYBYy3GZg_s90,725,1025,908,3,1527,727,1665,909,1920,1080,1,CLAMP,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_05,1080p30,UzaYBYy3GZg_s90,725,1025,908,5,1152,307,1272,538,1920,1080,1,SUBPIXEL,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_05,1080p30,UzaYBYy3GZg_s90,725,1025,908,8,1383,276,1491,519,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_05,1080p30,UzaYBYy3GZg_s90,725,1025,908,9,750,142,837,331,1920,1080,1,CLAMP,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,819,1119,960,1,906,551,1081,838,1920,1080,1,CLAMP,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,819,1119,960,4,1366,439,1476,711,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,819,1119,960,5,528,609,654,874,1920,1080,1,DETECTION,960_609_528_874_654,1,0,1,CANDIDATE_ONLY
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,819,1119,960,7,1494,186,1605,384,1920,1080,1,DETECTION,960_186_1494_384_1605,1,0,1,CANDIDATE_ONLY
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,819,1119,960,9,939,210,1077,413,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,819,1119,960,3,500,342,621,584,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_07,1080p30,Vm0FqeGo-8g_s90,968,1268,1067,1,714,335,859,566,1920,1080,1,CLAMP,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_07,1080p30,Vm0FqeGo-8g_s90,968,1268,1067,9,1407,255,1561,464,1920,1080,1,DETECTION,1067_255_1407_464_1561,1,0,1,CANDIDATE_ONLY
1080p30_07,1080p30,Vm0FqeGo-8g_s90,968,1268,1067,10,1309,664,1423,903,1920,1080,1,DETECTION,1067_664_1309_903_1423,1,0,1,CANDIDATE_ONLY
1080p30_07,1080p30,Vm0FqeGo-8g_s90,968,1268,1067,8,1187,168,1274,347,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_07,1080p30,Vm0FqeGo-8g_s90,968,1268,1067,6,1674,325,1775,539,1920,1080,1,CLAMP,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_07,1080p30,Vm0FqeGo-8g_s90,968,1268,1067,7,193,552,313,806,1920,1080,1,SUBPIXEL,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_08,1080p30,X5w3V6rh26s_s90,1088,1388,1145,1,468,598,599,907,1920,1080,1,CLAMP,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1331,1631,1337,1,1198,341,1873,1027,1920,1080,1,DETECTION,1337_341_1198_1027_1873,1,0,1,CANDIDATE_ONLY
1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1331,1631,1337,2,729,249,885,609,1920,1080,1,PREDICTION,,0,0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION
1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1331,1631,1595,1,1042,330,1285,750,1920,1080,1,CLAMP,,0,1,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION
