draw_kind,section_id,start_frame,frames,window_start_s,window_end_s,probed_frames,first_source_frame,last_source_frame,first_pts_s,last_pts_s,pts_elapsed_s,monotonic,probe_status
720p60,IpR4pT8iN0Y_s2432,4642,600,77.436129,87.436129,600,4642,5241,77.444033,87.437344,9.993311,0,OK
720p60,KZK9rv9TnGE_s1474,4873,600,81.303194,91.303194,600,4873,5472,81.297889,91.2912,9.993311,1,OK
720p60,KZK9rv9TnGE_s4242,5105,600,85.174065,95.174065,600,5105,5704,85.168422,95.161733,9.993311,1,OK
720p60,KZK9rv9TnGE_s90,5337,600,89.047097,99.047097,600,5337,5936,89.038944,99.032267,9.993323,1,OK
720p60,dAy3tnlu3EQ_s4326,5570,600,92.930323,102.930323,600,5570,6169,92.926167,102.919478,9.993311,1,OK
720p60,qTXrSRHHR2M_s2262,5803,600,96.805645,106.805645,600,5803,6402,96.813378,106.8067,9.993322,1,OK
720p60,qTXrSRHHR2M_s4434,6034,600,100.667806,110.667806,600,6034,6633,100.667233,110.660544,9.993311,1,OK
720p60,s-0Y7aLxXgM_s1275,6266,600,104.533548,114.533548,600,6266,6865,104.537767,114.531089,9.993322,1,OK
720p60,s-0Y7aLxXgM_s4830,6499,600,108.421419,118.421419,600,6499,7098,108.424978,118.4183,9.993322,1,OK
720p60,xv0WyG7_99c_s1200,6731,600,112.300161,122.300161,600,6731,7330,112.295511,122.288833,9.993322,1,OK
720p60,xv0WyG7_99c_s4530,6963,600,116.166774,126.166774,600,6963,7562,116.166044,126.159367,9.993323,1,OK
