draw_kind,draw_order,section_id,competition,game,source_tree,source_path,source_bytes,source_sha256,receiver_dir,receiver_path,receiver_bytes,receiver_sha256,bytes_equal,sha256_equal,source_status,usable_span_s,usable_start_s,width,height,avg_fps,codec_name
1080p30,11,qrWmO434a0k_s2804,UNDECLARED,qrWmO434a0k,g364_scratch_val,/workspace/g364_scratch/val/qrWmO434a0k_s2804.mp4,74235194,2c33e311213b951f10b58648bd8a7b179ddc0212f49af4a27910c9e233a822f3,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\qrWmO434a0k_s2804.mp4,74235194,2c33e311213b951f10b58648bd8a7b179ddc0212f49af4a27910c9e233a822f3,1,1,RETAINED,135.067,0.0,1920,1080,30.0,h264
1080p30,12,tFnl0NVn6FA_s2774,UNDECLARED,tFnl0NVn6FA,g364_scratch_val,/workspace/g364_scratch/val/tFnl0NVn6FA_s2774.mp4,69117769,989b21a52bd79e7ae078f3ce3b366fdc093a5ac95997fa20a764abfebf945350,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\tFnl0NVn6FA_s2774.mp4,69117769,989b21a52bd79e7ae078f3ce3b366fdc093a5ac95997fa20a764abfebf945350,1,1,RETAINED,135.1,0.0,1920,1080,30.0,h264
1080p30,13,tFnl0NVn6FA_s90,UNDECLARED,tFnl0NVn6FA,g364_scratch_val,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,65212592,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\tFnl0NVn6FA_s90.mp4,65212592,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,1,1,RETAINED,136.034,0.0,1920,1080,30.0,h264
1080p30,14,tZeqmc_-_sA_s2574,UNDECLARED,tZeqmc_-,g364_scratch_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,75846958,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\tZeqmc_-_sA_s2574.mp4,75846958,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,1,1,RETAINED,135.034,0.0,1920,1080,30.0,h264
1080p30,15,yZ5u2sOpiNU_s1371,nba,yZ5u2sOpiNU,footage_corpus,/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s1371.mp4,69403189,aca1476c9b90f46dd527f54447fb0820950ee644880bd6f6eb87bfec2abb0aad,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__yZ5u2sOpiNU_s1371.mp4,69403189,aca1476c9b90f46dd527f54447fb0820950ee644880bd6f6eb87bfec2abb0aad,1,1,RETAINED,130.066,0.0,1920,1080,29.97003,h264
1080p30,16,yZ5u2sOpiNU_s3933,nba,yZ5u2sOpiNU,footage_corpus,/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s3933.mp4,64267541,352e09fc2a2ea29bd9b42ccb32d9c944d26de241880a7d7a9aa37cec0dbb6eed,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__yZ5u2sOpiNU_s3933.mp4,64267541,352e09fc2a2ea29bd9b42ccb32d9c944d26de241880a7d7a9aa37cec0dbb6eed,1,1,RETAINED,130.092,0.0,1920,1080,29.97003,h264
1080p30,17,yZ5u2sOpiNU_s5214,nba,yZ5u2sOpiNU,footage_corpus,/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s5214.mp4,62680969,2ed233becd5ae41aa1762008c279fbbd66977741ee00dbe3e00405deb9b42f10,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__yZ5u2sOpiNU_s5214.mp4,62680969,2ed233becd5ae41aa1762008c279fbbd66977741ee00dbe3e00405deb9b42f10,1,1,RETAINED,130.072,0.0,1920,1080,29.97003,h264
1080p30,18,yZ5u2sOpiNU_s90,nba,yZ5u2sOpiNU,footage_corpus,/workspace/data/footage_corpus/nba__yZ5u2sOpiNU_s90.mp4,74361691,1c98e777689a974d4fff1fa6f68f7c57cbfb072f293200e063d0b8173fc1b732,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\nba__yZ5u2sOpiNU_s90.mp4,74361691,1c98e777689a974d4fff1fa6f68f7c57cbfb072f293200e063d0b8173fc1b732,1,1,RETAINED,130.087,0.0,1920,1080,29.97003,h264
1080p30,19,4JS090XPhmM_s2388,ncaa_basketball,4JS090XPhmM,footage_bridge,/workspace/data/footage_corpus/ncaa_basketball__4JS090XPhmM_s2388.mp4,66778666,89420d570a4a4c75ada21a1aee4a231ec8ba9b4fdb785ea8843f075691adfde9,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\ncaa_basketball__4JS090XPhmM_s2388.mp4,66778666,89420d570a4a4c75ada21a1aee4a231ec8ba9b4fdb785ea8843f075691adfde9,1,1,RETAINED,130.083,0.0,1920,1080,29.97003,h264
1080p30,20,4JS090XPhmM_s3537,ncaa_basketball,4JS090XPhmM,footage_bridge,/workspace/data/footage_corpus/ncaa_basketball__4JS090XPhmM_s3537.mp4,63404198,25a78d9554165483c59a08b5a4d42635ac5d30a0fcc4f9ba74b44f599126235d,C:\Users\neelj\g402_receiver,C:\Users\neelj\g402_receiver\ncaa_basketball__4JS090XPhmM_s3537.mp4,63404198,25a78d9554165483c59a08b5a4d42635ac5d30a0fcc4f9ba74b44f599126235d,1,1,RETAINED,130.064,0.0,1920,1080,29.97003,h264
