kind,competition,game,section_id,source_tree,source_path,source_bytes,source_sha256,width,height,avg_fps,r_fps,codec_name,duration_s,usable_start_s,usable_span_s,frame_cap,eligible,reason
720p60,basketball,acb-jHcR5UxPGuE,acb-jHcR5UxPGuE_s1393,footage_corpus,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s1393.mp4,56995485,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,1280,720,60.0,60.0,h264,130.016,0.0,130.016,600,YES,
720p60,basketball,acb-jHcR5UxPGuE,acb-jHcR5UxPGuE_s2696,footage_corpus,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s2696.mp4,56887995,d42e623f4145b8ccba2b47f52738e71cb33a7fbd30a8413b5869600cc8fff300,1280,720,60.0,60.0,h264,130.033,0.0,130.033,600,YES,
720p60,basketball,acb-jHcR5UxPGuE,acb-jHcR5UxPGuE_s3999,footage_corpus,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s3999.mp4,52437550,4be9495d06a353bc5d8f1b213582572eb1dc85529f5dc4316054c27d7a72754e,1280,720,60.0,60.0,h264,130.016,0.0,130.016,600,YES,
720p60,basketball,acb-jHcR5UxPGuE,acb-jHcR5UxPGuE_s90,footage_corpus,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s90.mp4,55642588,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,1280,720,60.0,60.0,h264,130.033,0.0,130.033,600,YES,
OTHER_1920x1080_59.90,nba,1rZZ_7buX_Y,1rZZ_7buX_Y_s2782,footage_corpus,/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s2782.mp4,93406241,98d3cb072420902444b29c81f085be995bd9ac46674c1afedc7c02f02f2f819b,1920,1080,59.897005,59.94006,h264,130.099,0.0,130.099,300,,KIND_NOT_TARGETED
OTHER_1920x1080_59.90,nba,1rZZ_7buX_Y,1rZZ_7buX_Y_s4128,footage_corpus,/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s4128.mp4,95775930,81eb8b496c2986966bcddf00423b06acf929048c32ee7c8e20d6bd402806a20f,1920,1080,59.897001,59.94006,h264,130.043,0.0,130.043,300,,KIND_NOT_TARGETED
OTHER_1920x1080_59.90,nba,1rZZ_7buX_Y,1rZZ_7buX_Y_s5474,footage_corpus,/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s5474.mp4,95163842,2c78195e4d492a006647de3caf29acf441d3787aa93cfde16c82a4ea965d0de0,1920,1080,59.897003,59.94006,h264,130.021,0.0,130.021,300,,KIND_NOT_TARGETED
OTHER_1920x1080_59.90,nba,1rZZ_7buX_Y,1rZZ_7buX_Y_s6820,footage_corpus,/workspace/data/footage_corpus/nba__1rZZ_7buX_Y_s6820.mp4,28919840,0b60e8797a0bd740ac0feae4be37925322813207e653b3d6ae2f2902b09d7b5d,1920,1080,59.897003,59.94006,h264,130.048,0.0,130.048,300,,KIND_NOT_TARGETED
720p60,nba,3gBeJyl7Szg,3gBeJyl7Szg_s1196,footage_corpus,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s1196.mp4,45350999,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,1280,720,60.0,60.0,h264,130.05,0.0,130.05,600,YES,
720p60,nba,3gBeJyl7Szg,3gBeJyl7Szg_s2302,footage_corpus,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s2302.mp4,50300132,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,1280,720,60.0,60.0,h264,130.016,0.0,130.016,600,YES,
720p60,nba,3gBeJyl7Szg,3gBeJyl7Szg_s3408,footage_corpus,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s3408.mp4,39498331,e7e73bb3cefc28d8fb5e4a4dd184e69f261460a90eee5128d7ef79c564147277,1280,720,60.0,60.0,h264,130.017,0.0,130.017,600,YES,
720p60,nba,3gBeJyl7Szg,3gBeJyl7Szg_s4514,footage_corpus,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s4514.mp4,47733494,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,1280,720,60.0,60.0,h264,130.083,0.0,130.083,600,YES,
720p60,nba,3gBeJyl7Szg,3gBeJyl7Szg_s90,footage_corpus,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s90.mp4,53285520,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,1280,720,60.0,60.0,h264,130.117,0.0,130.117,600,YES,
OTHER_1920x1080_59.94,nba,FnbFGnX4Qgo,FnbFGnX4Qgo_s1456,footage_corpus,/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s1456.mp4,90710941,812e46fea5a66df015d0476109a96eadc4d5301e61c0c71ad6563e0a80a4cda1,1920,1080,59.940065,59.94006,h264,130.018,0.0,130.018,300,,KIND_NOT_TARGETED
OTHER_1920x1080_59.94,nba,FnbFGnX4Qgo,FnbFGnX4Qgo_s2822,footage_corpus,/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s2822.mp4,75623391,6e7a230a5406f3c23bb4a737d2f7a206da36c24e789176c172a927b5ad485a4f,1920,1080,59.940062,59.94006,h264,130.099,0.0,130.099,300,,KIND_NOT_TARGETED
OTHER_1920x1080_59.94,nba,FnbFGnX4Qgo,FnbFGnX4Qgo_s4188,footage_corpus,/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s4188.mp4,64231792,a2c076df3e05622055556d0454cb3cf8234a85727ef92f8754341a3f0fa7a270,1920,1080,59.940062,59.94006,h264,130.031,0.0,130.031,300,,KIND_NOT_TARGETED
OTHER_1920x1080_59.94,nba,FnbFGnX4Qgo,FnbFGnX4Qgo_s5554,footage_corpus,/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s5554.mp4,90266002,348ea7aac3a3a4929ad6e6cf8f5fbc5e6807808d9c3f58f894902f2f4d14ef9b,1920,1080,59.940062,59.94006,h264,130.029,0.0,130.029,300,,KIND_NOT_TARGETED
OTHER_1920x1080_59.94,nba,FnbFGnX4Qgo,FnbFGnX4Qgo_s90,footage_corpus,/workspace/data/footage_corpus/nba__FnbFGnX4Qgo_s90.mp4,85302949,c01e1905efa5ec6eb3f82eed8f835839fab108ea86c7a8bf043e9d5a4c10d6ff,1920,1080,59.940065,59.94006,h264,130.02,0.0,130.02,300,,KIND_NOT_TARGETED
