draw_kind,draw_order,section_id,source_path,source_bytes,source_sha256,start_frame,frames,window_start_s,argv,returncode,seconds,vram_free_mib_before,weight_digest,tree_sha256_digest,log_sha256,outputs_present,status
1080p30,0,9sq-YMlIo9Q_s2346,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,118,300,3.937935,/usr/bin/python3 scripts/run_clip.py --video=/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4 --game-id=9sq-YMlIo9Q_s2346 --no-show --frames 300 --start-frame 118 --data-dir=/workspace/g402_scratch/out/9sq-YMlIo9Q_s2346,0,69.89,10093,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,2c366fa93780518f66ca8ca9839563ac0dc7b1e06762892d8e5ec21bb529d1e3,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
720p60,0,acb-jHcR5UxPGuE_s1393,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s1393.mp4,56995485,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,232,600,3.871484,/usr/bin/python3 scripts/run_clip.py --video=/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s1393.mp4 --game-id=acb-jHcR5UxPGuE_s1393 --no-show --frames 600 --start-frame 232 --data-dir=/workspace/g402_scratch/out/acb-jHcR5UxPGuE_s1393,0,52.11,13420,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,ffdeaedf7ae6863a44e524e7eb722bafb1fde5a89a4de65d0bf7ec03f8995f42,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
1080p30,1,9sq-YMlIo9Q_s90,/workspace/g364_scratch/val/9sq-YMlIo9Q_s90.mp4,65354306,9d6a95e5001c31e1e08177dd628908db74e2eeafc81d1f0a9aa9d44b5775ba8e,234,300,7.809935,/usr/bin/python3 scripts/run_clip.py --video=/workspace/g364_scratch/val/9sq-YMlIo9Q_s90.mp4 --game-id=9sq-YMlIo9Q_s90 --no-show --frames 300 --start-frame 234 --data-dir=/workspace/g402_scratch/out/9sq-YMlIo9Q_s90,0,69.07,11930,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,20c0154b3c54d3da209c7c5f7eb30bbf98e3a3929827c567613bdd5d62cf0905,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
720p60,1,acb-jHcR5UxPGuE_s90,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s90.mp4,55642588,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,465,600,7.744065,/usr/bin/python3 scripts/run_clip.py --video=/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s90.mp4 --game-id=acb-jHcR5UxPGuE_s90 --no-show --frames 600 --start-frame 465 --data-dir=/workspace/g402_scratch/out/acb-jHcR5UxPGuE_s90,0,57.67,15102,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,1605df4953280920a1ee1c13806b0daea3c2945f43e7a0d0e8c3f35d98096712,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
1080p30,2,RIrGQJ_jsGQ_s90,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s90.mp4,57018293,847cbd82427b01f791a16da4498160ac6e16495eae86219a743fc872cf9fd7ad,363,300,12.106452,/usr/bin/python3 scripts/run_clip.py --video=/workspace/g364_scratch/val/RIrGQJ_jsGQ_s90.mp4 --game-id=RIrGQJ_jsGQ_s90 --no-show --frames 300 --start-frame 363 --data-dir=/workspace/g402_scratch/out/RIrGQJ_jsGQ_s90,4,9.8,16717,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,177ba080de1ac99f79f9308a97143408694ab3d636dc1819818e7e93f59cc6f6,,INCOMPLETE
720p60,2,3gBeJyl7Szg_s2302,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s2302.mp4,50300132,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,697,600,11.614452,/usr/bin/python3 scripts/run_clip.py --video=/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s2302.mp4 --game-id=3gBeJyl7Szg_s2302 --no-show --frames 600 --start-frame 697 --data-dir=/workspace/g402_scratch/out/3gBeJyl7Szg_s2302,0,54.44,15123,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,066e6d31837e3ad0efa3f948f784070942db4df7ecc8b3b83e32dcd4694034d1,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
1080p30,3,UCVSlzgun0o_s2298,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,468,300,15.620645,/usr/bin/python3 scripts/run_clip.py --video=/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4 --game-id=UCVSlzgun0o_s2298 --no-show --frames 300 --start-frame 468 --data-dir=/workspace/g402_scratch/out/UCVSlzgun0o_s2298,0,66.95,11263,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,904a35f6c15879d34d56a5693114aacbc1ff47bbb508b7bd5696ad10c3fecf50,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
720p60,3,3gBeJyl7Szg_s90,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s90.mp4,53285520,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,930,600,15.498968,/usr/bin/python3 scripts/run_clip.py --video=/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s90.mp4 --game-id=3gBeJyl7Szg_s90 --no-show --frames 600 --start-frame 930 --data-dir=/workspace/g402_scratch/out/3gBeJyl7Szg_s90,0,52.51,8339,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,35660a396e6c746e4ef8e44cea550d22cc456b12c18b1e1a02f969c37cac6a6c,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
1080p30,4,UCVSlzgun0o_s90,/workspace/g364_scratch/val/UCVSlzgun0o_s90.mp4,74729263,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,595,300,19.853226,/usr/bin/python3 scripts/run_clip.py --video=/workspace/g364_scratch/val/UCVSlzgun0o_s90.mp4 --game-id=UCVSlzgun0o_s90 --no-show --frames 300 --start-frame 595 --data-dir=/workspace/g402_scratch/out/UCVSlzgun0o_s90,0,77.0,7377,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,4773883c1544e406c259c2efeb45618b6c59a98dae71fde31e2f4bc46807ef8e,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
720p60,4,Kh7Fj4ogPN4_s3606,/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s3606.mp4,54541208,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,1161,600,19.362742,/usr/bin/python3 scripts/run_clip.py --video=/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s3606.mp4 --game-id=Kh7Fj4ogPN4_s3606 --no-show --frames 600 --start-frame 1161 --data-dir=/workspace/g402_scratch/out/Kh7Fj4ogPN4_s3606,0,57.54,3348,a167df3e58ff0e01842a1e724d1ad93b2586ca8f7898a9b11eb0421356a9fbda,651d6c3e637f748ed0ec8e2abbbe102d6736f155b1c710be252f8cd9ab68f68c,316e54247c81878f796ebd21038afbf083b08eceb67bd9ecff7a8c5321a4491b,tracking_data.csv;ball_tracking.csv;evaluated_tick_receipt.json;evaluated_frame_count.json,COMPLETE
