draw_kind,section_id,status,sealed_start_frame,sealed_end_frame_exclusive,bounded_rows,excluded_overrun_rows,bounded_evaluated_ticks,excluded_overrun_evaluated_ticks,source_decoded_frames_in_window,sealed_window_source_frames,window_overrun_frames,producer_attempted_ticks,receipt_evaluated_ticks,trace_attempt_ticks,receipt_equals_trace,trace_subset_of_receipt,emitting_ticks,zero_output_evaluated_ticks,suspended_rows,rows,receipt_only_ticks,trace_only_ticks,schedule
720p60,s-0Y7aLxXgM_s4830,COMPLETE,6499,7099,556,0,100,0,600,600,0,100,100,100,1,1,100,0,0,556,0,0,COMPLETE
1080p30,J8pMOFvFlsU_s3972,COMPLETE,3370,3670,218,99,70,30,300,300,0,130,70,70,1,1,58,12,0,218,0,0,COMPLETE
720p60,xv0WyG7_99c_s1200,COMPLETE,6731,7331,50,0,100,0,600,600,0,100,100,100,1,1,36,64,0,50,0,0,COMPLETE
1080p30,J8pMOFvFlsU_s90,COMPLETE,3486,3786,171,167,40,39,300,300,0,139,40,40,1,1,40,0,0,171,0,0,COMPLETE
720p60,xv0WyG7_99c_s4530,COMPLETE,6963,7563,408,0,100,0,600,600,0,100,100,100,1,1,99,1,0,408,0,0,COMPLETE
720p60,6rQ2sV4upfc_s1509,COMPLETE,3018,3618,404,0,100,0,600,600,0,100,100,100,1,1,100,0,0,404,0,0,COMPLETE
720p60,6rQ2sV4upfc_s90,COMPLETE,3249,3849,327,0,100,0,600,600,0,100,100,100,1,1,100,0,0,327,0,0,COMPLETE
720p60,7blRl4zVfrY_s3489,COMPLETE,3481,4081,444,0,100,0,600,600,0,100,100,100,1,1,100,0,0,444,0,0,COMPLETE
1080p30,yZ5u2sOpiNU_s1371,COMPLETE,1857,2157,60,269,30,70,300,300,0,220,30,30,1,1,16,14,0,60,0,0,COMPLETE
720p60,7blRl4zVfrY_s90,COMPLETE,3714,4314,295,0,100,0,600,600,0,100,100,100,1,1,78,22,0,295,0,0,COMPLETE
1080p30,yZ5u2sOpiNU_s3933,COMPLETE,1974,2274,215,0,100,0,300,300,0,100,100,100,1,1,100,0,0,215,0,0,COMPLETE
1080p30,yZ5u2sOpiNU_s5214,COMPLETE,2089,2389,179,159,60,40,300,300,0,160,60,60,1,1,58,2,0,179,0,0,COMPLETE
1080p30,yZ5u2sOpiNU_s90,COMPLETE,2206,2506,456,0,100,0,300,300,0,100,100,100,1,1,100,0,0,456,0,0,COMPLETE
1080p30,4JS090XPhmM_s2388,COMPLETE,2322,2622,266,0,100,0,300,300,0,100,100,100,1,1,86,14,61,266,0,0,COMPLETE
1080p30,4JS090XPhmM_s3537,COMPLETE,2438,2738,395,0,100,0,300,300,0,100,100,100,1,1,100,0,0,395,0,0,COMPLETE
1080p30,4JS090XPhmM_s4686,COMPLETE,2553,2853,282,0,100,0,300,300,0,100,100,100,1,1,100,0,0,282,0,0,COMPLETE
1080p30,3eeaJz1PJTM_s1331,COMPLETE,2672,2972,84,24,70,30,300,300,0,130,70,70,1,1,46,24,0,84,0,0,COMPLETE
1080p30,3eeaJz1PJTM_s2572,COMPLETE,2789,3089,682,0,100,0,300,300,0,100,100,100,1,1,100,0,0,682,0,0,COMPLETE
1080p30,3eeaJz1PJTM_s3813,COMPLETE,2906,3206,505,0,100,0,300,300,0,100,100,100,1,1,100,0,0,505,0,0,COMPLETE
1080p30,3eeaJz1PJTM_s6295,COMPLETE,3020,3320,0,93,0,54,300,300,0,294,0,0,1,1,0,0,0,0,0,0,COMPLETE
1080p30,3eeaJz1PJTM_s90,COMPLETE,3136,3436,253,0,100,0,300,300,0,100,100,100,1,1,100,0,0,253,0,0,COMPLETE
