frame_id,clip,manual,sealed_detector,fresh_detector,oof_player_boxes,fold
S1_0001,soccer_AgspyOj5BPk,6,6,6,6,0
S1_0002,soccer_AgspyOj5BPk,1,1,1,1,1
S1_0003,soccer_AgspyOj5BPk,15,19,19,18,1
S1_0004,soccer_AgspyOj5BPk,2,5,5,4,0
S1_0005,soccer_AgspyOj5BPk,12,13,14,13,3
S1_0006,soccer_AgspyOj5BPk,16,17,17,16,3
S1_0007,soccer_AgspyOj5BPk,16,17,17,17,1
S1_0008,soccer_AgspyOj5BPk,11,10,10,10,2
S1_0009,soccer_AgspyOj5BPk,19,22,22,21,3
S1_0010,soccer_AgspyOj5BPk,14,12,12,12,4
S1_0011,soccer_AgspyOj5BPk,13,10,10,10,0
S1_0012,soccer_AgspyOj5BPk,17,17,17,16,1
S1_0013,soccer_DdnvC6-PGYY,16,15,13,12,3
S1_0014,soccer_DdnvC6-PGYY,4,9,9,8,3
S1_0015,soccer_DdnvC6-PGYY,15,18,18,18,4
S1_0016,soccer_DdnvC6-PGYY,20,18,16,15,4
S1_0017,soccer_DdnvC6-PGYY,13,12,14,14,2
S1_0018,soccer_DdnvC6-PGYY,16,5,5,5,0
S1_0019,soccer_DdnvC6-PGYY,12,14,14,14,4
S1_0020,soccer_DdnvC6-PGYY,11,13,13,12,0
S1_0021,soccer_DdnvC6-PGYY,11,14,14,14,2
S1_0022,soccer_DdnvC6-PGYY,19,17,17,17,1
S1_0023,soccer_DdnvC6-PGYY,3,2,3,2,4
S1_0024,soccer_DdnvC6-PGYY,6,11,11,9,1
S1_0025,soccer_kSgNjoaqCpI_1080p,15,19,18,18,0
S1_0026,soccer_kSgNjoaqCpI_1080p,14,18,17,17,3
S1_0027,soccer_kSgNjoaqCpI_1080p,19,18,18,18,4
S1_0028,soccer_kSgNjoaqCpI_1080p,14,13,13,13,2
S1_0029,soccer_kSgNjoaqCpI_1080p,2,2,2,2,2
S1_0030,soccer_kSgNjoaqCpI_1080p,15,16,16,16,0
S1_0031,soccer_kSgNjoaqCpI_1080p,18,18,17,17,3
S1_0032,soccer_kSgNjoaqCpI_1080p,19,17,17,17,1
S1_0033,soccer_kSgNjoaqCpI_1080p,12,14,14,14,3
S1_0034,soccer_kSgNjoaqCpI_1080p,17,22,21,21,4
S1_0035,soccer_kSgNjoaqCpI_1080p,14,17,17,15,2
S1_0036,soccer_kSgNjoaqCpI_1080p,16,18,17,17,0
S1_0037,soccer_AgspyOj5BPk,4,5,5,5,3
S1_0038,soccer_AgspyOj5BPk,10,13,12,11,1
S1_0039,soccer_AgspyOj5BPk,14,18,19,19,0
S1_0040,soccer_AgspyOj5BPk,17,22,22,22,1
S1_0041,soccer_AgspyOj5BPk,16,17,16,15,1
S1_0042,soccer_AgspyOj5BPk,1,1,1,1,2
S1_0043,soccer_AgspyOj5BPk,1,1,1,1,4
S1_0044,soccer_AgspyOj5BPk,20,20,19,15,0
S1_0045,soccer_AgspyOj5BPk,19,22,22,15,1
S1_0046,soccer_AgspyOj5BPk,4,7,6,5,3
S1_0047,soccer_AgspyOj5BPk,13,14,14,14,4
S1_0048,soccer_AgspyOj5BPk,16,21,21,21,2
S1_0049,soccer_AgspyOj5BPk,14,13,13,13,4
S1_0050,soccer_AgspyOj5BPk,12,19,18,18,3
S1_0051,soccer_AgspyOj5BPk,11,13,13,12,2
S1_0052,soccer_AgspyOj5BPk,15,19,18,17,3
S1_0053,soccer_AgspyOj5BPk,16,25,25,25,2
S1_0054,soccer_AgspyOj5BPk,2,2,2,2,4
S1_0055,soccer_AgspyOj5BPk,13,16,16,14,0
S1_0056,soccer_AgspyOj5BPk,12,12,12,10,1
S1_0057,soccer_AgspyOj5BPk,17,18,18,18,0
S1_0058,soccer_AgspyOj5BPk,18,21,21,21,3
S1_0059,soccer_DdnvC6-PGYY,9,8,8,7,4
S1_0060,soccer_DdnvC6-PGYY,9,11,12,11,2
S1_0061,soccer_DdnvC6-PGYY,2,4,4,2,1
S1_0062,soccer_DdnvC6-PGYY,11,12,13,12,0
S1_0063,soccer_DdnvC6-PGYY,2,3,3,3,4
S1_0064,soccer_DdnvC6-PGYY,4,5,5,5,4
S1_0065,soccer_DdnvC6-PGYY,15,18,16,16,1
S1_0066,soccer_DdnvC6-PGYY,8,10,10,9,0
S1_0067,soccer_DdnvC6-PGYY,16,16,16,16,2
S1_0068,soccer_DdnvC6-PGYY,14,16,16,16,4
S1_0069,soccer_DdnvC6-PGYY,8,8,8,8,4
S1_0070,soccer_DdnvC6-PGYY,5,12,12,8,0
S1_0071,soccer_DdnvC6-PGYY,16,18,18,16,3
S1_0072,soccer_DdnvC6-PGYY,16,15,14,13,4
S1_0073,soccer_DdnvC6-PGYY,9,10,9,7,4
S1_0074,soccer_DdnvC6-PGYY,11,12,12,11,2
S1_0075,soccer_DdnvC6-PGYY,12,5,5,5,0
S1_0076,soccer_DdnvC6-PGYY,11,13,13,12,1
S1_0077,soccer_DdnvC6-PGYY,3,3,3,3,3
S1_0078,soccer_DdnvC6-PGYY,9,8,8,8,1
S1_0079,soccer_DdnvC6-PGYY,2,1,1,1,4
S1_0080,soccer_kSgNjoaqCpI_1080p,12,11,11,11,2
S1_0081,soccer_kSgNjoaqCpI_1080p,10,12,13,13,0
S1_0082,soccer_kSgNjoaqCpI_1080p,19,19,19,19,1
S1_0083,soccer_kSgNjoaqCpI_1080p,19,22,21,21,2
S1_0084,soccer_kSgNjoaqCpI_1080p,16,17,16,16,3
S1_0085,soccer_kSgNjoaqCpI_1080p,18,17,17,16,4
S1_0086,soccer_kSgNjoaqCpI_1080p,16,16,16,16,2
S1_0087,soccer_kSgNjoaqCpI_1080p,1,1,1,1,4
S1_0088,soccer_kSgNjoaqCpI_1080p,13,15,15,15,3
S1_0089,soccer_kSgNjoaqCpI_1080p,9,11,10,10,0
S1_0090,soccer_kSgNjoaqCpI_1080p,17,19,19,19,3
S1_0091,soccer_kSgNjoaqCpI_1080p,10,10,10,10,1
S1_0092,soccer_kSgNjoaqCpI_1080p,13,14,14,14,4
S1_0093,soccer_kSgNjoaqCpI_1080p,13,16,16,16,3
S1_0094,soccer_kSgNjoaqCpI_1080p,16,18,18,18,3
S1_0095,soccer_kSgNjoaqCpI_1080p,12,15,15,15,4
S1_0096,soccer_kSgNjoaqCpI_1080p,16,16,16,15,0
S1_0097,soccer_kSgNjoaqCpI_1080p,17,23,23,21,3
S1_0098,soccer_kSgNjoaqCpI_1080p,14,15,15,15,1
S1_0099,soccer_kSgNjoaqCpI_1080p,16,16,17,17,1
S1_0100,soccer_kSgNjoaqCpI_1080p,18,19,19,19,2
