blind_id,source_frame,player_slot,verdict,marker_index,near_boundary
18,21561,3,UNMATCHED,,NO
18,21561,4,UNMATCHED,,NO
18,21561,5,UNMATCHED,,NO
18,21561,6,UNMATCHED,,NO
18,21561,7,UNMATCHED,,NO
18,21561,8,UNMATCHED,,NO
18,21561,9,UNMATCHED,,NO
18,21561,10,UNMATCHED,,NO
19,22621,1,UNMATCHED,,NO
19,22621,2,UNMATCHED,,NO
19,22621,3,UNMATCHED,,NO
19,22621,4,UNMATCHED,,NO
19,22621,5,UNMATCHED,,NO
19,22621,6,UNMATCHED,,NO
19,22621,7,UNMATCHED,,NO
19,22621,8,UNMATCHED,,NO
19,22621,9,UNMATCHED,,NO
19,22621,10,UNMATCHED,,NO
20,21125,1,UNMATCHED,,NO
20,21125,2,UNMATCHED,,NO
20,21125,3,UNMATCHED,,NO
20,21125,4,UNMATCHED,,NO
20,21125,5,UNMATCHED,,NO
20,21125,6,UNMATCHED,,NO
20,21125,7,UNMATCHED,,NO
20,21125,8,UNMATCHED,,NO
20,21125,9,UNMATCHED,,NO
20,21125,10,UNMATCHED,,NO
21,22371,1,UNMATCHED,,NO
21,22371,2,UNMATCHED,,NO
21,22371,3,UNMATCHED,,NO
21,22371,4,UNMATCHED,,NO
21,22371,5,UNMATCHED,,NO
21,22371,6,UNMATCHED,,NO
21,22371,7,UNMATCHED,,NO
21,22371,8,UNMATCHED,,NO
21,22371,9,UNMATCHED,,NO
21,22371,10,UNMATCHED,,NO
22,23306,1,UNMATCHED,,NO
22,23306,2,UNMATCHED,,NO
22,23306,3,UNMATCHED,,NO
22,23306,4,UNMATCHED,,NO
22,23306,5,UNMATCHED,,NO
23,22558,1,UNMATCHED,,NO
23,22558,2,UNMATCHED,,NO
23,22558,3,MATCHED,3,YES
23,22558,4,UNMATCHED,,NO
23,22558,5,MATCHED,4,NO
23,22558,6,UNMATCHED,,NO
23,22558,7,UNMATCHED,,NO
23,22558,8,UNMATCHED,,NO
23,22558,9,UNMATCHED,,NO
23,22558,10,UNMATCHED,,NO
24,20066,1,UNMATCHED,,NO
24,20066,2,UNMATCHED,,NO
24,20066,3,UNMATCHED,,NO
24,20066,4,UNMATCHED,,NO
24,20066,5,UNMATCHED,,NO
24,20066,6,UNMATCHED,,NO
24,20066,7,UNMATCHED,,NO
24,20066,8,UNMATCHED,,NO
24,20066,9,UNMATCHED,,NO
24,20066,10,UNMATCHED,,NO
25,21748,1,UNMATCHED,,NO
25,21748,2,UNMATCHED,,NO
25,21748,3,UNMATCHED,,NO
25,21748,4,UNMATCHED,,NO
25,21748,5,UNMATCHED,,NO
25,21748,6,UNMATCHED,,NO
25,21748,7,UNMATCHED,,NO
25,21748,8,UNMATCHED,,NO
25,21748,9,UNMATCHED,,NO
25,21748,10,UNMATCHED,,NO
28,20938,1,UNMATCHED,,NO
28,20938,2,UNMATCHED,,NO
28,20938,3,UNMATCHED,,NO
