blind_id,source_frame,marker_index,track_id,foot_x_px,foot_y_px
1,21935,0,45,617.25,462.75
1,21935,1,46,985.5,580.5
1,21935,2,42,729.75,676.875
1,21935,3,56,1293.75,537.0
1,21935,4,55,1378.5,685.5
2,20128,0,24,1381.5,480.375
2,20128,1,18,491.25,783.75
2,20128,2,2,1842.0,966.0
2,20128,3,20,1615.5,961.5
2,20128,4,15,592.125,756.0
2,20128,5,14,1723.5,966.0
2,20128,6,7,1225.5,480.75
2,20128,7,1,1051.5,515.25
2,20128,8,23,1156.5,469.5
3,21686,0,32,1767.0,973.5
3,21686,1,53,230.4375,729.0
3,21686,2,33,1080.0,837.0
3,21686,3,46,716.25,864.0
3,21686,4,47,1593.0,970.5
3,21686,5,52,1496.25,971.25
3,21686,6,45,428.25,648.0
3,21686,7,48,997.5,656.625
3,21686,8,44,851.25,428.25
3,21686,9,15,81.5625,596.25
4,21873,0,32,629.25,579.75
4,21873,1,15,47.90625,564.0
4,21873,2,55,1266.75,554.25
5,23119,0,83,1060.5,969.75
5,23119,1,64,438.0,846.0
5,23119,2,68,209.4375,733.5
6,21001,0,35,1057.5,877.5
6,21001,1,37,610.875,974.25
6,21001,2,7,1839.0,971.25
6,21001,3,2,436.125,961.5
6,21001,4,25,152.8125,979.5
7,22434,0,65,1294.5,578.25
7,22434,1,63,1197.75,543.75
7,22434,2,55,190.6875,603.0
7,22434,3,62,837.0,506.25
7,22434,4,64,711.0,477.75
7,22434,5,57,1431.0,867.75
7,22434,6,45,61.640625,704.25
8,19817,0,16,930.0,671.25
8,19817,1,2,645.75,849.0
8,19817,2,6,245.25,472.5
8,19817,3,20,56.015625,972.0
8,19817,4,7,812.8125,513.0
8,19817,5,11,1137.0,545.25
8,19817,6,10,1229.25,864.0
8,19817,7,13,1263.75,548.25
8,19817,8,17,157.3125,973.5
9,20190,0,20,1047.0,427.5
9,20190,1,22,427.59375,768.0
10,21437,0,40,248.625,665.25
10,21437,1,32,1644.0,964.5
10,21437,2,7,1296.0,838.5
10,21437,3,42,625.5,861.75
10,21437,4,48,930.0,784.5
10,21437,5,44,888.0,466.5
11,22745,0,70,210.0,964.5
11,22745,1,63,1210.5,961.5
11,22745,2,69,770.25,913.5
11,22745,3,42,382.875,964.5
12,21250,0,39,738.0,672.75
12,21250,1,40,981.0,600.75
12,21250,2,15,883.5,613.5
12,21250,3,42,1359.75,492.0
13,21624,0,45,489.0,633.75
13,21624,1,46,790.6875,462.0
13,21624,2,32,1738.5,972.0
13,21624,3,33,1210.5,803.25
13,21624,4,48,963.0,720.75
13,21624,5,15,109.40625,570.75
13,21624,6,42,666.75,862.5
15,22309,0,49,1615.5,974.25
15,22309,1,45,1399.5,516.0
