source_frame,marker_index,track_id,foot_x_px,foot_y_px,min_located_foot_distance_px,unmatched_at_25px,unmatched_at_50px,unmatched_at_100px
19630,0,1,1119.75,865.5,344.34403218293187,True,True,True
19630,1,8,873.0,801.75,169.27658579969057,True,True,True
19630,2,7,634.125,867.75,270.52555909747235,True,True,True
19630,3,2,391.875,876.0,296.71116531906915,True,True,True
19630,4,3,1480.5,775.5,219.88292339333677,True,True,True
19630,5,4,827.25,555.375,100.6017053781893,True,True,True
19630,6,6,771.0,865.5,215.95196225086727,True,True,True
19879,0,18,1206.75,586.5,60.87538500904943,True,True,False
19879,1,8,613.5,651.0,85.41808941904519,True,True,False
19879,2,2,888.0,781.5,192.9073611866587,True,True,True
19879,3,15,1297.5,795.0,106.23676388143608,True,True,True
19879,4,4,421.875,975.0,311.65247572416297,True,True,True
19879,5,7,772.3125,577.5,76.27891357544364,True,True,False
20190,0,20,1047.0,427.5,9.962429422585638,False,False,False
20190,1,22,427.59375,768.0,330.0215561733241,True,True,True
20440,0,34,1374.75,734.25,316.8053424423269,True,True,True
20440,1,31,415.5,590.625,74.04991981764734,True,True,False
20440,2,22,65.625,972.0,380.08405731495765,True,True,True
20440,3,18,347.25,975.0,306.81763720490386,True,True,True
20440,4,2,596.25,862.5,262.62961085909564,True,True,True
20440,5,1,697.125,841.5,302.8832541178201,True,True,True
20440,6,25,707.25,862.5,303.94623290970395,True,True,True
20440,7,24,816.0,864.0,218.50629281556172,True,True,True
20440,8,7,1253.25,763.5,289.61752795713176,True,True,True
20689,0,35,1079.25,476.25,99.20748459667749,True,True,False
20689,1,7,157.59375,975.0,650.3980339292721,True,True,True
20689,2,34,945.0,514.125,43.336077637460455,True,False,False
20689,3,2,297.75,704.25,396.8893107656088,True,True,True
20689,4,33,294.375,971.25,528.9460777101954,True,True,True
20689,5,29,1800.0,955.5,588.9942699211937,True,True,True
20689,6,20,1279.5,691.125,54.943294631829275,True,True,False
20689,7,1,1241.25,466.5,102.51493793589303,True,True,True
20689,8,25,54.65625,973.5,736.1346637430291,True,True,True
20689,9,36,167.8125,610.5,484.80579633111853,True,True,True
20938,0,35,1033.5,876.0,346.0610495273919,True,True,True
20938,1,25,1539.0,969.0,298.197920851236,True,True,True
20938,2,31,314.0625,973.5,465.7091408875823,True,True,True
20938,3,37,161.625,957.0,507.66784478140823,True,True,True
20938,4,34,165.65625,576.0,260.43567951427565,True,True,True
21187,0,33,815.25,744.75,136.4372566420184,True,True,True
21187,1,15,1266.0,859.5,355.01302792996205,True,True,True
21187,2,32,1449.0,660.0,147.7193284577208,True,True,True
21187,3,25,628.5,477.75,38.53975220470417,True,False,False
21499,0,45,1200.0,618.0,243.26117651610582,True,True,True
21499,1,25,1029.75,604.125,211.1044246930888,True,True,True
21499,2,33,1350.0,822.75,434.9086829439026,True,True,True
21499,3,46,987.0,480.75,86.8767086162914,True,True,False
21499,4,42,639.75,862.5,484.67289226858975,True,True,True
21499,5,44,554.25,658.5,264.2646637369438,True,True,True
21499,6,48,653.25,501.0,213.9312097380838,True,True,True
21499,7,32,1641.0,966.0,652.1633231024265,True,True,True
21499,8,40,163.3125,900.0,488.0771943619677,True,True,True
21686,0,32,1767.0,973.5,573.2680437631249,True,True,True
21686,1,53,230.4375,729.0,126.65333160343631,True,True,True
21686,2,33,1080.0,837.0,179.78876494375282,True,True,True
21686,3,46,716.25,864.0,338.15981798551996,True,True,True
21686,4,47,1593.0,970.5,482.3134354338473,True,True,True
21686,5,52,1496.25,971.25,409.07105128571493,True,True,True
21686,6,45,428.25,648.0,200.26747738961512,True,True,True
21686,7,48,997.5,656.625,20.381134045974967,False,False,False
21686,8,44,851.25,428.25,79.04508207345982,True,True,False
21686,9,15,81.5625,596.25,76.32744530147724,True,True,False
21935,0,45,617.25,462.75,103.54045103243466,True,True,True
21935,1,46,985.5,580.5,178.33255451543332,True,True,True
21935,2,42,729.75,676.875,105.10745989224552,True,True,True
21935,3,56,1293.75,537.0,268.9871047095009,True,True,True
21935,4,55,1378.5,685.5,134.52323219429422,True,True,True
22247,0,56,636.375,599.25,42.35213247287555,True,False,False
22247,1,42,1124.25,582.75,76.90009752919693,True,True,False
22247,2,57,112.5,533.25,207.12752714209668,True,True,True
22496,0,42,666.75,713.25,244.5733530047785,True,True,True
22496,1,55,924.0,597.0,45.12205669071391,True,False,False
22496,2,45,419.15625,501.75,23.683315098661758,False,False,False
22496,3,61,352.875,857.25,360.44254483204395,True,True,True
22496,4,67,419.25,970.5,463.05918898127914,True,True,True
22683,0,63,1473.75,969.0,252.03186802466072,True,True,True
22683,1,49,1114.5,881.25,156.98029334919718,True,True,True
22683,2,42,721.5,873.0,338.26949315597466,True,True,True
22683,3,70,245.625,966.75,432.9690556206067,True,True,True
22683,4,69,507.375,963.0,395.63984964232304,True,True,True
22683,5,71,385.875,972.0,399.44463399199645,True,True,True
22994,0,80,139.96875,934.5,604.7393041439943,True,True,True
22994,1,83,1011.0,855.0,121.43310915891102,True,True,True
22994,2,69,739.5,692.25,189.42891146812832,True,True,True
23368,0,94,421.875,973.5,341.09128635161585,True,True,True
23368,1,89,990.75,451.5,159.38259785810996,True,True,True
23368,2,95,479.25,828.0,185.09338859073276,True,True,True
23368,3,93,1420.5,825.0,279.7056488525035,True,True,True
