case_id,kind,arm,gap_length,reconnect_correct,simultaneous_merges
000049,gap,ARM_B,000018,000000,000000
000049,gap,ARM_C,000018,000000,000000
000050,gap,ARM_A,000003,000000,000000
000050,gap,ARM_B,000003,000000,000000
000050,gap,ARM_C,000003,000001,000000
000051,gap,ARM_A,000012,000000,000000
000051,gap,ARM_B,000012,000000,000000
000051,gap,ARM_C,000012,000000,000000
000052,gap,ARM_A,000005,000000,000000
000052,gap,ARM_B,000005,000000,000000
000052,gap,ARM_C,000005,000001,000000
000053,gap,ARM_A,000009,000000,000000
000053,gap,ARM_B,000009,000000,000000
000053,gap,ARM_C,000009,000001,000000
000054,gap,ARM_A,000015,000000,000000
000054,gap,ARM_B,000015,000000,000000
000054,gap,ARM_C,000015,000001,000000
000055,gap,ARM_A,000013,000000,000000
000055,gap,ARM_B,000013,000000,000000
000055,gap,ARM_C,000013,000001,000000
000056,gap,ARM_A,000019,000000,000000
000056,gap,ARM_B,000019,000000,000000
000056,gap,ARM_C,000019,000001,000000
000057,gap,ARM_A,000012,000000,000000
000057,gap,ARM_B,000012,000000,000000
000057,gap,ARM_C,000012,000001,000000
000058,gap,ARM_A,000020,000000,000000
000058,gap,ARM_B,000020,000000,000000
000058,gap,ARM_C,000020,000000,000000
000059,gap,ARM_A,000003,000000,000000
000059,gap,ARM_B,000003,000000,000000
000059,gap,ARM_C,000003,000001,000000
000060,gap,ARM_A,000007,000000,000000
000060,gap,ARM_B,000007,000000,000000
000060,gap,ARM_C,000007,000001,000000
000061,gap,ARM_A,000004,000000,000000
000061,gap,ARM_B,000004,000000,000000
000061,gap,ARM_C,000004,000001,000000
000062,gap,ARM_A,000018,000000,000000
000062,gap,ARM_B,000018,000000,000000
000062,gap,ARM_C,000018,000000,000000
000063,gap,ARM_A,000015,000000,000000
000063,gap,ARM_B,000015,000000,000000
000063,gap,ARM_C,000015,000000,000000
000064,gap,ARM_A,000005,000000,000000
000064,gap,ARM_B,000005,000000,000000
000064,gap,ARM_C,000005,000001,000000
000065,gap,ARM_A,000018,000000,000000
000065,gap,ARM_B,000018,000000,000000
000065,gap,ARM_C,000018,000001,000000
000066,gap,ARM_A,000015,000000,000000
000066,gap,ARM_B,000015,000000,000000
000066,gap,ARM_C,000015,000000,000000
000067,gap,ARM_A,000015,000000,000000
000067,gap,ARM_B,000015,000000,000000
000067,gap,ARM_C,000015,000000,000000
000068,gap,ARM_A,000016,000000,000000
000068,gap,ARM_B,000016,000000,000000
000068,gap,ARM_C,000016,000001,000000
000069,gap,ARM_A,000003,000000,000000
000069,gap,ARM_B,000003,000000,000000
000069,gap,ARM_C,000003,000001,000000
000070,gap,ARM_A,000018,000000,000000
000070,gap,ARM_B,000018,000000,000000
000070,gap,ARM_C,000018,000000,000000
000071,gap,ARM_A,000004,000000,000000
000071,gap,ARM_B,000004,000000,000000
000071,gap,ARM_C,000004,000000,000000
000072,gap,ARM_A,000018,000000,000000
000072,gap,ARM_B,000018,000000,000000
000072,gap,ARM_C,000018,000000,000000
000073,gap,ARM_A,000015,000000,000000
000073,gap,ARM_B,000015,000000,000000
000073,gap,ARM_C,000015,000001,000000
000074,gap,ARM_A,000003,000000,000000
000074,gap,ARM_B,000003,000000,000000
000074,gap,ARM_C,000003,000001,000000
000075,gap,ARM_A,000005,000000,000000
000075,gap,ARM_B,000005,000000,000000
000075,gap,ARM_C,000005,000000,000000
000076,gap,ARM_A,000009,000000,000000
000076,gap,ARM_B,000009,000000,000000
000076,gap,ARM_C,000009,000000,000000
000077,gap,ARM_A,000015,000000,000000
000077,gap,ARM_B,000015,000000,000000
000077,gap,ARM_C,000015,000000,000000
000078,gap,ARM_A,000003,000000,000000
000078,gap,ARM_B,000003,000000,000000
000078,gap,ARM_C,000003,000001,000000
000079,gap,ARM_A,000011,000000,000000
000079,gap,ARM_B,000011,000000,000000
000079,gap,ARM_C,000011,000001,000000
000080,gap,ARM_A,000018,000000,000000
000080,gap,ARM_B,000018,000000,000000
000080,gap,ARM_C,000018,000001,000000
000081,gap,ARM_A,000018,000000,000000
000081,gap,ARM_B,000018,000000,000000
000081,gap,ARM_C,000018,000000,000000
000082,gap,ARM_A,000014,000000,000000
000082,gap,ARM_B,000014,000000,000000
000082,gap,ARM_C,000014,000001,000000
000083,gap,ARM_A,000008,000000,000000
000083,gap,ARM_B,000008,000000,000000
000083,gap,ARM_C,000008,000001,000000
000084,gap,ARM_A,000013,000000,000000
000084,gap,ARM_B,000013,000000,000000
000084,gap,ARM_C,000013,000000,000000
000085,gap,ARM_A,000012,000000,000000
000085,gap,ARM_B,000012,000000,000000
000085,gap,ARM_C,000012,000000,000000
000086,gap,ARM_A,000019,000000,000000
000086,gap,ARM_B,000019,000000,000000
000086,gap,ARM_C,000019,000001,000000
000087,gap,ARM_A,000008,000000,000000
000087,gap,ARM_B,000008,000000,000000
000087,gap,ARM_C,000008,000001,000000
000088,gap,ARM_A,000004,000000,000000
000088,gap,ARM_B,000004,000000,000000
000088,gap,ARM_C,000004,000001,000000
