shot_id,frame,timestamp,player_id,player_name,team,team_abbrev,x_norm,y_norm,ft_x,ft_y,dist_to_basket_ft,nearest_opponent
1,1479,49.349,4,green#?,green,HOU,0.7579,0.3279,71.25,16.39,19.51,
2,1833,61.161,5,green#?,green,HOU,0.8458,0.6406,79.5,32.03,11.62,
3,2121,70.771,9,white#?,white,MIL,0.3907,0.5482,36.73,27.41,31.57,
4,2391,79.78,10,white#?,white,MIL,0.1892,0.0719,17.78,3.59,24.81,
5,2955,98.599,4,green#?,green,HOU,0.7579,0.3279,71.25,16.39,19.51,63.6
6,3231,107.808,5,green#?,green,HOU,0.8458,0.6406,79.5,32.03,11.62,
7,4446,148.348,3,green#?,green,HOU,0.7573,0.3308,71.19,16.54,19.49,62.9
8,4698,156.757,8,white#?,white,MIL,0.7397,0.3197,69.53,15.98,21.23,62.9
9,5757,192.092,7,white#?,white,MIL,0.448,0.2075,42.11,10.37,39.66,
10,6519,217.517,8,white#?,white,MIL,0.7397,0.3197,69.53,15.98,21.23,62.9
11,7035,234.734,2,green#?,green,HOU,0.413,0.4798,38.83,23.99,33.59,
12,7284,243.043,8,white#?,white,MIL,0.7397,0.3197,69.53,15.98,21.23,62.9
13,7989,266.566,4,green#?,green,HOU,0.5494,0.4027,51.64,20.13,37.43,
