possession_id,team,team_abbrev,start_time,end_time,duration_s,n_frames
17,0,,4.605,19.119,14.5,60
25,0,,19.92,42.042,22.1,222
26,0,,42.142,44.645,2.5,26
27,0,,44.745,49.149,4.4,45
28,0,,49.249,52.152,2.9,30
29,0,,52.252,66.166,13.9,80
30,0,,66.266,68.068,1.8,19
31,0,,68.168,70.771,2.6,27
32,0,,70.871,73.373,2.5,26
33,0,,73.473,78.979,5.5,56
34,0,,79.079,86.787,7.7,78
35,0,,86.887,104.404,17.5,176
36,0,,104.504,111.411,6.9,40
37,0,,111.511,143.944,32.4,325
38,0,,144.044,148.649,4.6,47
39,0,,148.749,153.453,4.7,48
42,0,,155.455,159.86,4.4,45
43,0,,159.96,164.064,4.1,42
44,0,,164.164,192.492,28.3,14
45,0,,192.592,199.499,6.9,70
47,0,,200.4,207.007,6.6,67
48,0,,207.107,211.912,4.8,49
50,0,,212.612,215.515,2.9,30
51,0,,215.615,217.517,1.9,20
52,0,,217.617,220.42,2.8,29
53,0,,220.52,225.926,5.4,23
55,0,,227.027,241.341,14.3,114
57,0,,242.642,246.046,3.4,35
59,0,,246.646,261.762,15.1,152
