clip,source_frame,selection_seed,selection_method,source_identifier_columns,source_video_available
tennis__tennis_09.mp4,6962,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7022,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7040,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7082,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7100,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7112,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7148,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7166,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7172,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7184,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7196,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7208,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7220,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7226,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7232,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_09.mp4,7256,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,33977,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,33983,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,33995,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34007,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34013,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34025,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34031,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34037,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34043,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34049,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34055,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34061,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34067,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34073,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34085,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34097,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34103,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34109,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34121,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34127,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34133,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34139,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34145,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34151,10220260902,random.sample(eligible source identifiers),"clip,source_frame",true
