clip,source_frame,predecessor_frame,successor_frame,tile,source_width_image_px,source_height_image_px,crop_x0_image_px,crop_x1_image_px,crop_y0_image_px,crop_y1_image_px,scale,strip_panel_order,render
tennis__tennis_09.mp4,6962,6961,6963,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f006962_left_temporal_2x.jpg
tennis__tennis_09.mp4,6962,6961,6963,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f006962_mid_temporal_2x.jpg
tennis__tennis_09.mp4,6962,6961,6963,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f006962_right_temporal_2x.jpg
tennis__tennis_09.mp4,7022,7021,7023,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007022_left_temporal_2x.jpg
tennis__tennis_09.mp4,7022,7021,7023,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007022_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7022,7021,7023,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007022_right_temporal_2x.jpg
tennis__tennis_09.mp4,7040,7039,7041,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007040_left_temporal_2x.jpg
tennis__tennis_09.mp4,7040,7039,7041,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007040_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7040,7039,7041,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007040_right_temporal_2x.jpg
tennis__tennis_09.mp4,7082,7081,7083,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007082_left_temporal_2x.jpg
tennis__tennis_09.mp4,7082,7081,7083,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007082_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7082,7081,7083,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007082_right_temporal_2x.jpg
tennis__tennis_09.mp4,7100,7099,7101,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007100_left_temporal_2x.jpg
tennis__tennis_09.mp4,7100,7099,7101,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007100_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7100,7099,7101,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007100_right_temporal_2x.jpg
tennis__tennis_09.mp4,7112,7111,7113,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007112_left_temporal_2x.jpg
tennis__tennis_09.mp4,7112,7111,7113,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007112_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7112,7111,7113,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007112_right_temporal_2x.jpg
tennis__tennis_09.mp4,7148,7147,7149,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007148_left_temporal_2x.jpg
tennis__tennis_09.mp4,7148,7147,7149,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007148_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7148,7147,7149,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007148_right_temporal_2x.jpg
tennis__tennis_09.mp4,7166,7165,7167,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007166_left_temporal_2x.jpg
tennis__tennis_09.mp4,7166,7165,7167,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007166_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7166,7165,7167,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007166_right_temporal_2x.jpg
tennis__tennis_09.mp4,7172,7171,7173,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007172_left_temporal_2x.jpg
tennis__tennis_09.mp4,7172,7171,7173,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007172_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7172,7171,7173,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007172_right_temporal_2x.jpg
tennis__tennis_09.mp4,7184,7183,7185,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007184_left_temporal_2x.jpg
tennis__tennis_09.mp4,7184,7183,7185,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007184_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7184,7183,7185,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007184_right_temporal_2x.jpg
tennis__tennis_09.mp4,7196,7195,7197,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007196_left_temporal_2x.jpg
tennis__tennis_09.mp4,7196,7195,7197,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007196_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7196,7195,7197,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007196_right_temporal_2x.jpg
tennis__tennis_09.mp4,7208,7207,7209,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007208_left_temporal_2x.jpg
tennis__tennis_09.mp4,7208,7207,7209,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007208_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7208,7207,7209,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007208_right_temporal_2x.jpg
tennis__tennis_09.mp4,7220,7219,7221,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007220_left_temporal_2x.jpg
tennis__tennis_09.mp4,7220,7219,7221,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007220_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7220,7219,7221,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007220_right_temporal_2x.jpg
tennis__tennis_09.mp4,7226,7225,7227,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007226_left_temporal_2x.jpg
tennis__tennis_09.mp4,7226,7225,7227,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007226_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7226,7225,7227,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007226_right_temporal_2x.jpg
tennis__tennis_09.mp4,7232,7231,7233,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007232_left_temporal_2x.jpg
tennis__tennis_09.mp4,7232,7231,7233,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007232_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7232,7231,7233,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007232_right_temporal_2x.jpg
tennis__tennis_09.mp4,7256,7255,7257,left,1920,1080,0,800,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007256_left_temporal_2x.jpg
tennis__tennis_09.mp4,7256,7255,7257,mid,1920,1080,560,1360,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007256_mid_temporal_2x.jpg
tennis__tennis_09.mp4,7256,7255,7257,right,1920,1080,1120,1920,90,990,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_09_f007256_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,33977,33976,33978,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f033977_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,33977,33976,33978,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f033977_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,33983,33982,33984,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f033983_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,33983,33982,33984,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f033983_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,33995,33994,33996,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f033995_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,33995,33994,33996,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f033995_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34007,34006,34008,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034007_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34007,34006,34008,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034007_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34013,34012,34014,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034013_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34013,34012,34014,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034013_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34025,34024,34026,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034025_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34025,34024,34026,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034025_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34031,34030,34032,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034031_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34031,34030,34032,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034031_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34037,34036,34038,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034037_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34037,34036,34038,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034037_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34043,34042,34044,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034043_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34043,34042,34044,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034043_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34049,34048,34050,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034049_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34049,34048,34050,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034049_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34055,34054,34056,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034055_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34055,34054,34056,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034055_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34061,34060,34062,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034061_left_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34061,34060,34062,right,1280,720,520,1280,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034061_right_temporal_2x.jpg
tennis__tennis_nyYk2nPZAwY_720p.mp4,34067,34066,34068,left,1280,720,0,760,80,640,2x_lanczos,"predecessor,current,successor",strips_blind_retry/tennis__tennis_nyYk2nPZAwY_720p_f034067_left_temporal_2x.jpg
