opaque_id,frame_key,tile,x,y,width,height,context,context_sha256,sender_sha256,tile_sha256,native_width,native_height,pts_seconds
G387_001,9sq-YMlIo9Q_s2346:000040,G387_001_tile1.png,0,0,640,540,G387_001_context.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,5cb56d322929ad4beec3fdbc39fd9c3bcdc7d845a5d0ee018025c2051ffde510,1920,1080,UNKNOWN
G387_001,9sq-YMlIo9Q_s2346:000040,G387_001_tile2.png,640,0,640,540,G387_001_context.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,2bd40cf01737e16872529b147acc6deb51dfea25a1396318423bea47fe3ffada,1920,1080,UNKNOWN
G387_001,9sq-YMlIo9Q_s2346:000040,G387_001_tile3.png,1280,0,640,540,G387_001_context.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,5810f3a684e36da5df4551c8f320f939e252bbfed940c72da6f27e181b674dc3,1920,1080,UNKNOWN
G387_001,9sq-YMlIo9Q_s2346:000040,G387_001_tile4.png,0,540,640,540,G387_001_context.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,4d48bf88c925aafe0f60fdfd6d216107096f2241877d7fb4580e42ad3bfbecc0,1920,1080,UNKNOWN
G387_001,9sq-YMlIo9Q_s2346:000040,G387_001_tile5.png,640,540,640,540,G387_001_context.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,c1b7f0defe72af0fbd0c62b5f2d6d34ed6a67735591144e8d77313c6aab1a1b6,1920,1080,UNKNOWN
G387_001,9sq-YMlIo9Q_s2346:000040,G387_001_tile6.png,1280,540,640,540,G387_001_context.png,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,965e3ef4bc81fc2c7092fda2ca97a34dd9a0d8420159345704f22e9f7b2892c7,1920,1080,UNKNOWN
G387_002,9sq-YMlIo9Q_s2346:002003,G387_002_tile1.png,0,0,640,540,G387_002_context.png,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,03e43dd33f8b4bd2a74372b7fd552039c1d1b3c054cd42769bd3111b1b6e712e,1920,1080,UNKNOWN
G387_002,9sq-YMlIo9Q_s2346:002003,G387_002_tile2.png,640,0,640,540,G387_002_context.png,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,adf491b888ccc6cadfd8f1c10f151079770f69db558f99363bc501ea36ac85cd,1920,1080,UNKNOWN
G387_002,9sq-YMlIo9Q_s2346:002003,G387_002_tile3.png,1280,0,640,540,G387_002_context.png,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,1fb9fd13f66d4c5b1e53bfa0367211c2c3d7d0298198ae6453e55a69b1bbcc5b,1920,1080,UNKNOWN
G387_002,9sq-YMlIo9Q_s2346:002003,G387_002_tile4.png,0,540,640,540,G387_002_context.png,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,4b1b99042b1f2fdbee2c95c1bed2d10f3f050f568faa77ff680a7ea5fe75248f,1920,1080,UNKNOWN
