frame_key,retained,native_path,status,native_sha256,bytes,width,height
9sq-YMlIo9Q_s2346:000040,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_001.png,READY,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,3565284,1920,1080
9sq-YMlIo9Q_s2346:001042,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_002.png,READY,c10d87b24dd2cd0823d1702a2d385bb1150bd013d0f79dc5797da025c0a2f72b,2619185,1920,1080
9sq-YMlIo9Q_s2346:002003,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_003.png,READY,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,2569362,1920,1080
9sq-YMlIo9Q_s2346:002964,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\9sq-YMlIo9Q_s2346_004.png,READY,362b7052075945816625229c19c24ef3a9cece02fff2ba1413b897f8ad498b43,1941077,1920,1080
9sq-YMlIo9Q_s2346:003966,DECODE_FAILED,.,ABSENT,,0,,
GtwFiAa1gXI_s3762:000040,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_001.png,READY,2805dae644c452bf976379f8ada8261d4701630b557ca0acd0db9e5c4c8c93bf,1067951,1920,1080
GtwFiAa1gXI_s3762:001049,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_002.png,READY,2af7576a07b971e018acada551367e26165077406e1870e49c3134335c9ae591,2824586,1920,1080
GtwFiAa1gXI_s3762:002016,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_003.png,READY,3c7f8c0946e2d2de7ba74b48898bb37c65bd990d470f6ce26e555735ea5e412b,2710546,1920,1080
GtwFiAa1gXI_s3762:002984,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\GtwFiAa1gXI_s3762_004.png,READY,ddf223cd3466d086a0dccbb205cd0c7b76d5f89466bd83a005546d830b6e0571,2461011,1920,1080
GtwFiAa1gXI_s3762:003993,DECODE_FAILED,.,ABSENT,,0,,
UCVSlzgun0o_s2298:000039,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_001.png,READY,4908d93642b7fe9954d1be586da99cb621f98a820fee37d50dad72081cf33db3,3540711,1920,1080
UCVSlzgun0o_s2298:001026,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_002.png,READY,16eafbba9801e1a120252b1e74730bd9099137d0cfdb0ad6726d916913ced9b2,1587741,1920,1080
UCVSlzgun0o_s2298:001974,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_003.png,READY,17eac1cd6ff4205198310ba5fa999be1fff29236cfe30731ed1043419fae25f5,3657407,1920,1080
UCVSlzgun0o_s2298:002922,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_004.png,READY,46f081968100ee739d1618118ebaa7bf038186fa266bc07a58b6779ce2f02e73,3172765,1920,1080
UCVSlzgun0o_s2298:003909,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UCVSlzgun0o_s2298_005.png,READY,e99f25ccaf75e960e40d17eebf1e3945b2650d895fffe83bfec2470bccc6f82a,2125929,1920,1080
UzaYBYy3GZg_s90:000042,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_001.png,READY,bcc631cf3693c0d639d382a0787e22525d2c541250025c72a34467f3d1ef588a,3547084,1920,1080
UzaYBYy3GZg_s90:001090,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_002.png,READY,592cf28c43021a115701adb09b1a6ccb214556d5cb6af58470eb69e0ca57753e,3466109,1920,1080
UzaYBYy3GZg_s90:002097,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_003.png,READY,3ff9d023b7694747e4bc5b4b4e71c40cf966cc9780d34d67a7176ee8fff2b81d,3082177,1920,1080
UzaYBYy3GZg_s90:003104,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\UzaYBYy3GZg_s90_004.png,READY,a3ee883248938e6277e4185922684a9deae0f36ae4e3d9997fb30594a7c28ab6,3653452,1920,1080
UzaYBYy3GZg_s90:004152,DECODE_FAILED,.,ABSENT,,0,,
X5w3V6rh26s_s1376:000042,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\X5w3V6rh26s_s1376_001.png,READY,b7aac1e6bedd91f04a2f50c0c48f4d0ced718c955b1e0e2d6087032a09330a8d,3780900,1920,1080
X5w3V6rh26s_s1376:001088,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\X5w3V6rh26s_s1376_002.png,READY,f8881f6022c45d5fa630629c216689fb6bba5fa6b0e0112723db6473eb1a1e3c,2373171,1920,1080
X5w3V6rh26s_s1376:002092,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\X5w3V6rh26s_s1376_003.png,READY,afd2dcd015e0474c685d6da9bad4bda94d80ebb402c40910035cc534a943d632,3296641,1920,1080
X5w3V6rh26s_s1376:003097,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\X5w3V6rh26s_s1376_004.png,READY,6e6d3c8bdb88b7b5e1ca99ee9882237c3fb4af354331d8cad65eb2e68f38d711,3491475,1920,1080
X5w3V6rh26s_s1376:004143,DECODE_FAILED,.,ABSENT,,0,,
Y1cgaIWW8gk_s2784:000042,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\Y1cgaIWW8gk_s2784_001.png,READY,2eb679e2f1c22970dd6ff8b8c3cd59d65bb78e260a48c2a69dd8afcf27368cc7,3150714,1920,1080
Y1cgaIWW8gk_s2784:001084,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\Y1cgaIWW8gk_s2784_002.png,READY,aa02bc0e373db34265fcd635d57343f8bd715637e3223411e3c80d2e41ab3fbe,3211227,1920,1080
Y1cgaIWW8gk_s2784:002085,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\Y1cgaIWW8gk_s2784_003.png,READY,a5bc137b2251db375ca11b9df19f4cd17bfec425887bc45366241ecd537803c9,670978,1920,1080
Y1cgaIWW8gk_s2784:003086,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\Y1cgaIWW8gk_s2784_004.png,READY,8f2233f963db27d1ecf7d2c232fc66feae42de9dcc6dedb56267d86903257e06,1363819,1920,1080
Y1cgaIWW8gk_s2784:004128,DECODE_FAILED,.,ABSENT,,0,,
_fl2i6vToTM_s90:000081,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\_fl2i6vToTM_s90_001.png,READY,0daedfb478006329e8ec6f123a90b3cc70d854a1f8868bbcfe194d585d461a41,1889598,1920,1080
_fl2i6vToTM_s90:002101,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\_fl2i6vToTM_s90_002.png,READY,7e35bcf6442e73d11fd704d7735595f1062e732d0433f4273ac0d357e0200c53,2850750,1920,1080
_fl2i6vToTM_s90:004040,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\_fl2i6vToTM_s90_003.png,READY,4ddac90b4bfba226a15686e3d439c3bee7a2bec2e46d89303ded8344bcdfa285,2578090,1920,1080
_fl2i6vToTM_s90:005978,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\_fl2i6vToTM_s90_004.png,READY,97f2410d53de4b8d0200dba2aa65e57f6240160a2e50c493d5ea7843912c477d,2725068,1920,1080
_fl2i6vToTM_s90:007998,DECODE_FAILED,.,ABSENT,,0,,
i2y-_7B0IUg_s490:000070,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\i2y-_7B0IUg_s490_001.png,READY,e5b15bb7499cd46157fdcb995111f39af04e4c5a2df3aa5813440b7ff59f81d2,2191283,1920,1080
i2y-_7B0IUg_s490:001819,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\i2y-_7B0IUg_s490_002.png,READY,e0bb258877e6e289f575e09dd929b93f4c8964739a37635dcae162c69e42085c,2661043,1920,1080
i2y-_7B0IUg_s490:003498,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\i2y-_7B0IUg_s490_003.png,READY,ad1dff8d21b7938cc873136802c3eff77f8f1da7980145e2ec924813766b8620,2230589,1920,1080
i2y-_7B0IUg_s490:005177,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\i2y-_7B0IUg_s490_004.png,READY,ebd304d6148dcf3e72cacb426bfdb631868e8a8939fd77770f94199d7c32c683,2351769,1920,1080
i2y-_7B0IUg_s490:006926,DECODE_FAILED,.,ABSENT,,0,,
iwbowtaIIz8_s90:000068,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\iwbowtaIIz8_s90_001.png,READY,dc3c43cf9d081729a169645ddba93527c66c9f8b643c67256fe346e3d62250ec,2799939,1920,1080
iwbowtaIIz8_s90:001767,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\iwbowtaIIz8_s90_002.png,READY,6a58317997ed00e14f4e57a93a8a9badacda735c22ff49cb6fb81fb0e33aa083,2507638,1920,1080
iwbowtaIIz8_s90:003399,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\iwbowtaIIz8_s90_003.png,READY,169f714f40296bb57094828ee1d2ee52bf2a1925638f73087926adbae7b607b0,2754717,1920,1080
iwbowtaIIz8_s90:005031,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\iwbowtaIIz8_s90_004.png,READY,4b306e902f9c631f2a0421e8a9aa37f4d74788d86060e5454440bbd3e9af389e,2404060,1920,1080
iwbowtaIIz8_s90:006730,DECODE_FAILED,.,ABSENT,,0,,
qrWmO434a0k_s2804:000042,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\qrWmO434a0k_s2804_001.png,READY,aef3761a01bdfd8e7ba744bda3d09586f7f0fbeb6ac408bebaf52ca9400ad2e2,2638904,1920,1080
qrWmO434a0k_s2804:001084,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\qrWmO434a0k_s2804_002.png,READY,e65d0ddeb7aa32a4289566a4bc21bb24c54afd2de52113cd130662b9c2a23af3,2580288,1920,1080
qrWmO434a0k_s2804:002085,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\qrWmO434a0k_s2804_003.png,READY,831a50c8ef9320c277c7f87d894e119c97278ac55e13354b27d9d52394586dd5,2733659,1920,1080
qrWmO434a0k_s2804:003086,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\qrWmO434a0k_s2804_004.png,READY,c7e637f9d104330c63c406c5af2bc55566f74950dc5916b805224e1a3a95892b,2591277,1920,1080
qrWmO434a0k_s2804:004128,DECODE_FAILED,.,ABSENT,,0,,
tZeqmc_-_sA_s1332:000040,RETAINED,C:\Users\neelj\g382_pc_scratch\frames\tZeqmc_-_sA_s1332_001.png,READY,2a0e26946e9adcd0b4ec121122658827d7808491dd627eaa21cc3cb1b3284b71,3459828,1920,1080
