frame_key,retained,status,eligible,selected,exclusion_reason
9sq-YMlIo9Q_s2346:000040,RETAINED,READY,YES,YES,
9sq-YMlIo9Q_s2346:001042,RETAINED,READY,YES,NO,
9sq-YMlIo9Q_s2346:002003,RETAINED,READY,YES,YES,
9sq-YMlIo9Q_s2346:002964,RETAINED,READY,YES,YES,
9sq-YMlIo9Q_s2346:003966,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
GtwFiAa1gXI_s3762:000040,RETAINED,READY,YES,NO,
GtwFiAa1gXI_s3762:001049,RETAINED,READY,YES,YES,
GtwFiAa1gXI_s3762:002016,RETAINED,READY,YES,NO,
GtwFiAa1gXI_s3762:002984,RETAINED,READY,YES,YES,
GtwFiAa1gXI_s3762:003993,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
UCVSlzgun0o_s2298:000039,RETAINED,READY,YES,YES,
UCVSlzgun0o_s2298:001026,RETAINED,READY,YES,NO,
UCVSlzgun0o_s2298:001974,RETAINED,READY,YES,YES,
UCVSlzgun0o_s2298:002922,RETAINED,READY,YES,NO,
UCVSlzgun0o_s2298:003909,RETAINED,READY,YES,YES,
UzaYBYy3GZg_s90:000042,RETAINED,READY,YES,YES,
UzaYBYy3GZg_s90:001090,RETAINED,READY,YES,NO,
UzaYBYy3GZg_s90:002097,RETAINED,READY,YES,YES,
UzaYBYy3GZg_s90:003104,RETAINED,READY,YES,NO,
UzaYBYy3GZg_s90:004152,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
X5w3V6rh26s_s1376:000042,RETAINED,READY,YES,YES,
X5w3V6rh26s_s1376:001088,RETAINED,READY,YES,YES,
X5w3V6rh26s_s1376:002092,RETAINED,READY,YES,NO,
X5w3V6rh26s_s1376:003097,RETAINED,READY,YES,YES,
X5w3V6rh26s_s1376:004143,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
Y1cgaIWW8gk_s2784:000042,RETAINED,READY,YES,NO,
Y1cgaIWW8gk_s2784:001084,RETAINED,READY,YES,YES,
Y1cgaIWW8gk_s2784:002085,RETAINED,READY,YES,YES,
Y1cgaIWW8gk_s2784:003086,RETAINED,READY,YES,NO,
Y1cgaIWW8gk_s2784:004128,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
_fl2i6vToTM_s90:000081,RETAINED,READY,YES,YES,
_fl2i6vToTM_s90:002101,RETAINED,READY,YES,YES,
_fl2i6vToTM_s90:004040,RETAINED,READY,YES,NO,
_fl2i6vToTM_s90:005978,RETAINED,READY,YES,YES,
_fl2i6vToTM_s90:007998,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
i2y-_7B0IUg_s490:000070,RETAINED,READY,YES,NO,
i2y-_7B0IUg_s490:001819,RETAINED,READY,YES,YES,
i2y-_7B0IUg_s490:003498,RETAINED,READY,YES,YES,
i2y-_7B0IUg_s490:005177,RETAINED,READY,YES,NO,
i2y-_7B0IUg_s490:006926,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
iwbowtaIIz8_s90:000068,RETAINED,READY,YES,YES,
iwbowtaIIz8_s90:001767,RETAINED,READY,YES,NO,
iwbowtaIIz8_s90:003399,RETAINED,READY,YES,YES,
iwbowtaIIz8_s90:005031,RETAINED,READY,YES,YES,
iwbowtaIIz8_s90:006730,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
qrWmO434a0k_s2804:000042,RETAINED,READY,YES,NO,
qrWmO434a0k_s2804:001084,RETAINED,READY,YES,YES,
qrWmO434a0k_s2804:002085,RETAINED,READY,YES,NO,
qrWmO434a0k_s2804:003086,RETAINED,READY,YES,YES,
qrWmO434a0k_s2804:004128,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
tZeqmc_-_sA_s1332:000040,RETAINED,READY,YES,YES,
tZeqmc_-_sA_s1332:001053,RETAINED,READY,YES,NO,
tZeqmc_-_sA_s1332:002025,RETAINED,READY,YES,YES,
tZeqmc_-_sA_s1332:002997,RETAINED,READY,YES,NO,
tZeqmc_-_sA_s1332:004010,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
wHs1OssEcAw_s90:000081,RETAINED,READY,YES,YES,
wHs1OssEcAw_s90:002106,RETAINED,READY,YES,YES,
wHs1OssEcAw_s90:004050,RETAINED,READY,YES,NO,
wHs1OssEcAw_s90:005995,RETAINED,READY,YES,YES,
wHs1OssEcAw_s90:008020,DECODE_FAILED,ABSENT,NO,NO,DECODE_FAILED_NO_NATIVE_FILE
