game_id,base_game_id,sport,competition,status,finished_at,seconds,start_epoch,px_header_present,rows,eligible
fiba-jFUMvm_epUE_s5410,fiba-jFUMvm_epUE,basketball,fiba,tracked,1788906587,2080,1788904507,1,3320,1
eurocup-Y6POC6V1Y5E_s1221,eurocup-Y6POC6V1Y5E,basketball,eurocup,tracked,1788907315,2486,1788904829,1,3927,1
fiba-jFUMvm_epUE_s6740,fiba-jFUMvm_epUE,basketball,fiba,tracked,1788908030,3453,1788904577,1,1314,1
eurocup-Y6POC6V1Y5E_s4614,eurocup-Y6POC6V1Y5E,basketball,eurocup,tracked,1788908030,1599,1788906431,1,1855,1
eurocup-Y6POC6V1Y5E_s90,eurocup-Y6POC6V1Y5E,basketball,eurocup,tracked,1788908566,1316,1788907250,1,5288,1
eurocup-Y6POC6V1Y5E_s5745,eurocup-Y6POC6V1Y5E,basketball,eurocup,tracked,1788908651,1448,1788907203,1,4170,1
eurocup-Y6POC6V1Y5E_s2352,eurocup-Y6POC6V1Y5E,basketball,eurocup,tracked,1788908713,3676,1788905037,1,5002,1
fiba-jFUMvm_epUE_s90,fiba-jFUMvm_epUE,basketball,fiba,tracked,1788908882,1366,1788907516,1,1399,1
lnb-1CBY-LXG8VA_s6525,lnb-1CBY-LXG8VA,basketball,lnb,tracked,1788909245,1331,1788907914,1,5498,1
eurocup-Y6POC6V1Y5E_s3483,eurocup-Y6POC6V1Y5E,basketball,eurocup,tracked,1788909288,3633,1788905655,1,3983,1
ncaaw-lFZWLVzvCEs_s1161,ncaaw-lFZWLVzvCEs,basketball,ncaaw,tracked,1788909309,827,1788908482,1,4107,1
nbl-U6Ng-QmKKzk_s90,nbl-U6Ng-QmKKzk,basketball,nbl,tracked,1788909456,1080,1788908376,1,2118,1
lnb-1CBY-LXG8VA_s90,lnb-1CBY-LXG8VA,basketball,lnb,tracked,1788909561,1646,1788907915,1,5310,1
ncaaw-lFZWLVzvCEs_s2232,ncaaw-lFZWLVzvCEs,basketball,ncaaw,tracked,1788909711,1122,1788908589,1,3600,1
ncaaw-lFZWLVzvCEs_s3303,ncaaw-lFZWLVzvCEs,basketball,ncaaw,tracked,1788909753,1101,1788908652,1,5140,1
acb-8Oh7-GrvKvE_s1360,acb-8Oh7-GrvKvE,basketball,acb,tracked,1788909881,720,1788909161,1,1882,1
ncaaw-lFZWLVzvCEs_s4374,ncaaw-lFZWLVzvCEs,basketball,ncaaw,tracked,1788910053,1232,1788908821,1,2970,1
acb-8Oh7-GrvKvE_s2630,acb-8Oh7-GrvKvE,basketball,acb,tracked,1788910180,997,1788909183,1,2578,1
ncaaw-lFZWLVzvCEs_s90,ncaaw-lFZWLVzvCEs,basketball,ncaaw,tracked,1788910265,912,1788909353,1,4110,1
acb-8Oh7-GrvKvE_s3900,acb-8Oh7-GrvKvE,basketball,acb,tracked,1788910286,786,1788909500,1,55,1
ncaaw-lFZWLVzvCEs_s5445,ncaaw-lFZWLVzvCEs,basketball,ncaaw,tracked,1788910307,1102,1788909205,1,4458,1
acb-8Oh7-GrvKvE_s5170,acb-8Oh7-GrvKvE,basketball,acb,tracked,1788910327,721,1788909606,1,1289,1
acb-8Oh7-GrvKvE_s6440,acb-8Oh7-GrvKvE,basketball,acb,tracked,1788910410,762,1788909648,1,2530,1
fiba-UG_eQNRDHiI_s3975,fiba-UG_eQNRDHiI,basketball,fiba,tracked,1788910860,806,1788910054,1,5984,1
UPco-jzOoEg_s2796,UPco-jzOoEg,ncaa_basketball,UPco,tracked,1788910860,636,1788910224,1,1517,1
UPco-jzOoEg_s1443,UPco-jzOoEg,ncaa_basketball,UPco,tracked,1788910946,722,1788910224,1,1975,1
fiba-UG_eQNRDHiI_s1385,fiba-UG_eQNRDHiI,basketball,fiba,tracked,1788910966,1169,1788909797,1,4593,1
fiba-UG_eQNRDHiI_s5270,fiba-UG_eQNRDHiI,basketball,fiba,tracked,1788911008,826,1788910182,1,5125,1
fiba-UG_eQNRDHiI_s2680,fiba-UG_eQNRDHiI,basketball,fiba,tracked,1788911050,1102,1788909948,1,3733,1
fiba-UG_eQNRDHiI_s90,fiba-UG_eQNRDHiI,basketball,fiba,tracked,1788911113,889,1788910224,1,5003,1
euroleague-AIPW_g_VZN0_s1153,euroleague-AIPW_g_VZN0,basketball,euroleague,tracked,1788911562,1255,1788910307,1,1952,1
euroleague-AIPW_g_VZN0_s2216,euroleague-AIPW_g_VZN0,basketball,euroleague,tracked,1788911628,872,1788910756,1,3799,1
euroleague-AIPW_g_VZN0_s3279,euroleague-AIPW_g_VZN0,basketball,euroleague,tracked,1788911733,935,1788910798,1,4144,1
euroleague-AIPW_g_VZN0_s4342,euroleague-AIPW_g_VZN0,basketball,euroleague,tracked,1788911733,892,1788910841,1,2807,1
