window_id,game_id,competition,tracking_path,tracking_sha256,tracking_bytes,ball_path,ball_sha256,ball_bytes,source_height,source_fps,start_frame,end_frame,max_frame_tracking,max_frame_ball
fiba-jFUMvm_epUE_s5410,fiba-jFUMvm_epUE_s5410,fiba,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s5410/tracking_data.csv,cce972b01e8be30974eaaf17dd21fc138a783d5ceb0180ff2ff41005ce35ad5f,1232089,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s5410/ball_tracking.csv,aa0b56348eb1f8cfb93fb658b4e9de4b8ef754e519a254333d96e835a9811e33,31217,1080,30.0,600,659,3267,3267
fiba-jFUMvm_epUE_s6740,fiba-jFUMvm_epUE_s6740,fiba,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s6740/tracking_data.csv,4e16f4f437e92a0d7a013f8dde4134e7b53acc7ccd8c1f6314f4ed29cc2e89f5,499642,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s6740/ball_tracking.csv,596f91602cd60f7dfeda73854b76090610398f51e6fecb972aef4a96fc48324a,13937,1080,30.0,600,659,3777,3777
eurocup-Y6POC6V1Y5E_s1221,eurocup-Y6POC6V1Y5E_s1221,eurocup,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s1221/tracking_data.csv,f37d913a9baeb9d2a828be2260dd59536a0dffbb0ec2ca382da34332e115ba09,1489491,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s1221/ball_tracking.csv,40e4ee8b678d4388e98dab419492193712b4ed15ce0daefa016509cbef32e554,28434,1080,30.0,600,659,3357,3357
eurocup-Y6POC6V1Y5E_s2352,eurocup-Y6POC6V1Y5E_s2352,eurocup,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s2352/tracking_data.csv,5ceaa6c03960045702ac11336d63e930289cd7cfc401be21f50c7fd9ca3b4980,1884585,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s2352/ball_tracking.csv,67b43b70608110827e54761d9de2c589a59c172ada010c101d7dd1d009d47f28,30592,1080,30.0,600,659,3357,3357
eurocup-Y6POC6V1Y5E_s3483,eurocup-Y6POC6V1Y5E_s3483,eurocup,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s3483/tracking_data.csv,665eb1de9aa83c2fefc4ef7b4625f299c7aeed72c4a4a16443cc370b0940aa84,1370805,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s3483/ball_tracking.csv,83bb4af87c8e2ee0071bb6cbfc98f587a62a85bc73dd5bd3a9c225ec68195137,24886,1080,30.0,600,659,3177,3177
eurocup-Y6POC6V1Y5E_s4614,eurocup-Y6POC6V1Y5E_s4614,eurocup,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s4614/tracking_data.csv,cd4a35de7860fcf75e41239d96e55dcc49171dd452ef92ab4e03d3c3a68dd642,677377,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s4614/ball_tracking.csv,752aabf58bb565ebfcae9cf266ef6d4252aac0921d6778cded46ed0e4288d15e,31728,1080,30.0,600,659,2997,2997
eurocup-Y6POC6V1Y5E_s5745,eurocup-Y6POC6V1Y5E_s5745,eurocup,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s5745/tracking_data.csv,a736b5ce3c0331638252e3f913302a3e7594674230e50e08dd68bb96643ba923,1577536,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s5745/ball_tracking.csv,249553be0a5876a838c00def47a485e1fcac12b2fa0afa73140d54cd8141b251,33030,1080,30.0,600,659,2997,2997
eurocup-Y6POC6V1Y5E_s90,eurocup-Y6POC6V1Y5E_s90,eurocup,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s90/tracking_data.csv,9205023bc4d9bf3bde2fc5e4160d6d1442f25c7c176facc94a43e2485ccbd0d9,1972848,/workspace/nba-ai-system/data/tracking/eurocup-Y6POC6V1Y5E_s90/ball_tracking.csv,32a125b1ec668771e76b89914456b8eef92f8687499b7adf3e805079368aabe9,28925,1080,30.0,600,659,2997,2997
fiba-jFUMvm_epUE_s90,fiba-jFUMvm_epUE_s90,fiba,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s90/tracking_data.csv,60e2573ac882166aadd7a92344230d4b1d67220ae9339b64c41e6f642a3a2b05,507700,/workspace/nba-ai-system/data/tracking/fiba-jFUMvm_epUE_s90/ball_tracking.csv,ecb64b5b0db3685d0c5ddfd089ff50cc50921cde7829c95ff699ac83bfff6195,28055,1080,30.0,600,659,2997,2997
lnb-1CBY-LXG8VA_s6525,lnb-1CBY-LXG8VA_s6525,lnb,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s6525/tracking_data.csv,e7c285cb79d1bfb54281cb01d3c6484ebcc0baf27950e0509edd469610270463,2092979,/workspace/nba-ai-system/data/tracking/lnb-1CBY-LXG8VA_s6525/ball_tracking.csv,072d8675e85388d58f3f40cbf170d90b5fb661329e8142734d208687525c7f4d,30771,1080,30.0,600,659,2997,2997
