window_id,frame,state,source,age_frames,confidence,owner_id,abstention_reason,nearest_distance_px,motion_cosine,motion_ratio,prerequisite_available,join_source,ball_shift
fiba-jFUMvm_epUE_s6740,000601,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000602,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000603,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000604,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000605,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000606,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000607,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000608,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000609,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000610,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000611,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000612,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000613,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000614,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000615,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000616,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000617,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000618,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000619,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000620,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000621,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000622,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000623,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000624,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000625,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000626,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000627,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000628,ABSENT,none,,,,no_ball,,,,0,px,0
fiba-jFUMvm_epUE_s6740,000629,ABSENT,none,,,,no_ball,,,,0,px,0
