track_id,observation_count,step_count,first_frame,last_frame,min_x_px,max_x_px,min_y_px,max_y_px,path_length_px,footpoint_bbox_diagonal_px,median_step_displacement_px,eligible,observations_top_strip_0_89,observations_score_bug_90_300,observations_lower_third_850_980,observations_bottom_strip_990_1079,observations_other
41,710,709,21203,22190,431.625,1897.5,297.0,975.0,16893.210821991896,1615.0769379893331,3.3541019662496847,True,0,1,276,0,433
42,1639,1638,21203,23396,24.9140625,1896.0,151.3125,988.5,57125.68143886552,2049.8403585807614,4.8332569211134775,True,0,116,734,0,789
43,2,1,21203,21212,1009.5,1021.5,511.5,745.5,234.30749027719963,234.30749027719963,234.30749027719963,False,0,0,0,0,2
44,615,614,21334,22279,47.953125,1758.0,339.75,979.5,24702.90837378006,1825.7985587674414,7.462310601229374,True,0,0,42,0,573
45,1002,1001,21378,22722,22.9453125,1743.0,162.0,975.0,32534.953085128265,1902.5133713040555,4.743416490252569,True,0,21,110,0,871
46,402,401,21378,21952,177.5625,1879.5,328.875,970.5,12411.43725148822,1818.8661013200642,3.204001404494074,True,0,0,102,0,300
47,692,691,21378,22532,31.21875,1896.0,336.75,975.0,30296.05410943014,1970.9825399661872,6.708203932499369,True,0,0,188,0,504
48,334,333,21385,21838,522.75,1797.0,339.75,975.0,8403.963192755156,1423.8172723351827,4.802343178074636,True,0,0,35,0,299
49,904,903,21447,22686,344.625,1894.5,275.0625,1001.25,32050.24767857982,1711.5667678420407,3.3541019662496847,True,0,49,532,1,322
50,2,1,21467,21468,862.5,1030.5,342.375,711.0,405.10293830704313,405.10293830704313,405.10293830704313,False,0,0,0,0,2
51,8,7,21552,21565,849.0,1899.0,859.5,966.0,1065.637111670358,1055.3872512021358,1.6770509831248424,False,0,0,8,0,0
52,32,31,21614,21694,907.5,1498.5,357.75,971.25,1692.656489394636,851.8587030722877,1.0606601717798212,True,0,0,21,0,11
53,47,46,21677,21766,226.828125,1833.0,360.75,976.5,2961.124751311859,1720.1558518172171,1.4947754915624212,True,0,0,17,0,30
54,52,51,21742,21826,26.6484375,1144.5,398.25,975.0,3228.6500501433766,1257.8683072101353,9.75,True,0,0,7,0,45
55,656,655,21742,22769,42.5390625,1888.5,155.625,999.0,35145.66532592185,2029.4957929005122,10.515056169607464,True,0,2,119,8,527
56,205,204,21926,22290,213.9375,1867.5,314.0625,975.0,16821.631723318453,1780.7603208496364,8.241455202188728,True,0,0,41,0,164
57,309,308,21941,22440,23.4140625,1857.0,396.75,975.0,24473.675607276826,1922.6051213646952,8.846086588021628,True,0,0,115,0,194
58,3,2,21941,21943,1484.25,1657.5,966.0,973.5,177.23652631238974,173.41226167719515,88.61826315619487,False,0,0,3,0,0
59,13,12,21941,21991,126.46875,793.5,582.375,979.5,834.5902175283933,776.2982378580815,3.4404108378367697,False,0,0,12,0,1
60,94,93,22073,22234,159.84375,1885.5,487.5,975.0,4397.21269039578,1793.1942848347644,10.566752102704028,True,0,0,33,0,61
61,363,362,22102,22671,37.734375,1888.5,267.75,981.0,23533.85002598457,1983.4462334990683,9.665624428074636,True,0,4,118,0,241
62,248,247,22349,22663,766.125,1707.0,199.875,906.0,4082.1638542751475,1176.3750597704798,6.914658342969665,True,0,46,4,0,198
63,281,280,22349,22778,85.21875,1830.0,340.875,981.0,15944.918274951806,1858.4998321163664,10.419625817856826,True,0,0,136,0,145
64,475,474,22375,23197,30.8671875,1881.0,78.375,993.75,25105.63582733897,2064.195439999362,13.450338144452115,True,2,17,156,1,299
65,23,22,22417,22439,675.375,1310.25,576.75,860.25,741.612820823179,695.2974296119611,5.335851365526405,True,0,0,1,0,22
66,139,138,22435,22681,1267.5,1827.0,322.5,949.5,3619.7558135386407,840.3387709727548,7.30644628244156,True,0,0,3,0,136
67,114,113,22435,22616,44.9765625,1689.0,318.375,978.0,4708.836429211794,1771.417004455562,3.4573291714848327,True,0,0,65,0,49
68,454,453,22531,23192,151.875,1875.0,141.84375,984.0,18492.902003830313,1917.9121239095034,10.823152267246359,True,0,37,217,0,200
69,418,417,22613,23219,35.203125,1647.0,70.6875,987.0,17738.517192838233,1854.0544123396205,12.036565384278026,True,2,16,140,0,260
70,124,123,22613,22769,73.59375,483.84375,319.125,973.5,4029.2391252466973,772.3417010138712,5.280047940123271,True,0,0,95,0,29
71,82,81,22613,22766,40.40625,687.375,270.0,978.0,4809.821432872503,959.0790183694785,15.883640611097318,True,0,1,76,0,5
72,55,54,22613,22699,1386.0,1848.0,697.875,979.5,2278.5960839727945,541.069903640001,10.065718995931462,True,0,0,51,0,4
73,52,51,22613,22681,1671.0,1884.0,588.0,974.25,1489.1914488505035,441.08736379542773,12.420371371259396,True,0,0,5,0,47
74,58,57,22613,22674,1089.0,1518.0,389.25,819.0,1948.3168685754395,607.2281799290939,21.0535032714273,True,0,0,0,0,58
75,38,37,22613,22663,723.75,1342.5,239.4375,635.25,2458.2680652596523,734.5196373523652,29.107827555487546,True,0,4,0,0,34
76,20,19,22614,22640,1608.0,1848.0,164.4375,683.25,1436.4979331334487,571.6348573663523,41.489644792405734,True,0,1,0,0,19
77,24,23,22614,22681,1545.0,1870.5,894.75,981.0,1161.4858169448178,336.73329579950956,21.213203435596427,True,0,0,23,0,1
78,49,48,22614,22674,745.5,1469.25,265.125,975.0,3465.752101706737,1013.7734353024841,37.687076896261175,True,0,3,20,0,26
