control_id,control_set,rater,tile_index,angle_degrees,state,answered,conversion_ok,span_px,perp_p1,perp_p2,perp_p3,signed_p1,signed_p2,signed_p3,pos_p1,pos_p2,pos_p3,angle_error_deg,passed,fail_reason
G392_PRACTICE_001,practice,terra,1,0.0,VISIBLE,1,1,240.000,0.803,0.803,0.803,0.803,0.803,0.803,0.0029,1.0029,0.5195,0.000,0,OUTSIDE_FINITE_BAND
G392_PRACTICE_002,practice,terra,2,30.0,VISIBLE,1,1,241.499,0.751,0.462,0.289,0.751,0.462,0.289,-0.0038,1.0025,0.4929,0.069,0,OUTSIDE_FINITE_BAND
G392_PRACTICE_003,practice,terra,3,60.0,VISIBLE,1,1,181.342,2.269,0.346,0.705,2.269,0.346,0.705,0.1199,0.8754,0.5395,0.608,1,
G392_PRACTICE_004,practice,terra,4,0.0,VISIBLE,1,1,190.000,0.165,0.165,0.165,-0.165,-0.165,-0.165,0.0946,0.8863,0.4654,0.000,1,
G392_PRACTICE_005,practice,terra,5,30.0,VISIBLE,1,1,236.677,0.303,1.620,0.426,0.303,-1.620,-0.426,0.0124,0.9985,0.4905,0.466,1,
G392_PRACTICE_006,practice,terra,6,60.0,VISIBLE,1,1,241.373,2.037,0.094,0.633,2.037,0.094,0.633,-0.0020,1.0037,0.4998,0.461,0,OUTSIDE_FINITE_BAND
G392_PRACTICE_007,practice,terra,1,0.0,VISIBLE,1,1,200.000,31.020,31.020,31.020,-31.020,-31.020,-31.020,0.0841,0.9175,0.5008,0.000,0,PERPENDICULAR
G392_PRACTICE_008,practice,terra,2,30.0,VISIBLE,1,1,242.002,1.178,0.023,0.149,1.178,0.023,-0.149,-0.0011,1.0072,0.4977,0.273,0,OUTSIDE_FINITE_BAND
G392_PRACTICE_009,practice,terra,3,60.0,VISIBLE,1,1,261.910,1.894,25.664,14.078,1.894,25.664,14.078,-0.0116,1.0752,0.5421,5.207,0,PERPENDICULAR
G392_PRACTICE_010,practice,terra,4,0.0,VISIBLE,1,1,195.000,1.313,1.313,1.313,1.313,1.313,1.313,0.0998,0.9123,0.5082,0.000,1,
G392_PRACTICE_011,practice,terra,5,30.0,VISIBLE,1,1,198.957,1.152,0.550,1.217,1.152,0.550,1.217,0.0838,0.9127,0.4926,0.174,1,
G392_PRACTICE_012,practice,terra,6,60.0,VISIBLE,1,1,268.777,17.055,1.844,9.016,17.055,1.844,9.016,-0.1112,1.0069,0.4468,3.244,0,PERPENDICULAR
G392_PRACTICE_013,practice,terra,1,0.0,VISIBLE,1,1,197.000,0.049,0.049,0.049,-0.049,-0.049,-0.049,0.1081,0.9289,0.5206,0.000,1,
G392_PRACTICE_014,practice,terra,2,30.0,VISIBLE,1,1,245.247,3.610,0.857,1.916,3.610,0.857,1.916,-0.0101,1.0117,0.4944,0.643,0,PERPENDICULAR
G392_PRACTICE_015,practice,terra,3,60.0,VISIBLE,1,1,190.394,0.523,0.296,2.459,0.523,0.296,2.459,0.1039,0.8972,0.4983,0.068,1,
G392_PRACTICE_016,practice,terra,4,0.0,VISIBLE,1,1,205.000,0.995,0.995,0.995,-0.995,-0.995,-0.995,0.0425,0.8967,0.4758,0.000,1,
G392_PRACTICE_017,practice,terra,5,30.0,VISIBLE,1,1,199.111,0.073,2.761,0.862,0.073,-2.761,-0.862,0.0896,0.9191,0.4912,0.816,1,
G392_PRACTICE_018,practice,terra,6,60.0,VISIBLE,1,1,239.635,1.782,0.839,0.878,1.782,0.839,0.878,0.0144,1.0129,0.5126,0.225,0,OUTSIDE_FINITE_BAND
G392_PRACTICE_019,practice,terra,1,0.0,VISIBLE,1,1,242.002,1.718,0.718,0.718,-1.718,-0.718,-0.718,-0.0049,1.0034,0.5076,0.237,0,OUTSIDE_FINITE_BAND
G392_PRACTICE_020,practice,terra,2,30.0,VISIBLE,1,1,196.224,1.060,0.930,0.861,-1.060,-0.930,-0.861,0.0939,0.9115,0.5120,0.038,1,
G392_PRACTICE_021,practice,terra,3,60.0,VISIBLE,1,1,178.846,24.996,2.252,14.807,24.996,2.252,14.807,0.1599,0.8991,0.5251,7.306,0,PERPENDICULAR
G392_PRACTICE_022,practice,terra,4,0.0,VISIBLE,1,1,225.000,0.054,0.054,0.054,-0.054,-0.054,-0.054,0.0271,0.9646,0.4646,0.000,1,
G392_PRACTICE_023,practice,terra,5,30.0,VISIBLE,1,1,189.029,0.253,0.846,0.416,0.253,0.846,0.416,0.1090,0.8966,0.4935,0.180,1,
G392_PRACTICE_024,practice,terra,6,60.0,VISIBLE,1,1,191.400,0.502,2.007,0.973,0.502,2.007,0.973,0.1063,0.9038,0.4779,0.450,1,
G392_PRACTICE_025,practice,terra,1,0.0,VISIBLE,1,1,185.000,0.052,0.052,0.052,-0.052,-0.052,-0.052,0.1011,0.8720,0.4761,0.000,1,
G392_PRACTICE_026,practice,terra,2,30.0,VISIBLE,1,1,230.552,1.923,10.944,7.178,-1.923,-10.944,-7.178,0.1190,1.0788,0.6560,2.242,0,PERPENDICULAR
G392_PRACTICE_027,practice,terra,3,60.0,VISIBLE,1,1,180.100,0.120,0.063,0.775,0.120,0.063,-0.775,0.1093,0.8597,0.4824,0.018,1,
G392_PRACTICE_028,practice,terra,4,0.0,VISIBLE,1,1,275.000,0.279,0.279,0.279,0.279,0.279,0.279,-0.0055,1.1403,0.6111,0.000,0,OUTSIDE_FINITE_BAND
G392_PRACTICE_029,practice,terra,5,30.0,VISIBLE,1,1,196.726,0.139,0.597,0.204,0.139,-0.597,0.204,0.1008,0.9205,0.5096,0.214,1,
G392_PRACTICE_030,practice,terra,6,60.0,VISIBLE,1,1,189.029,0.921,0.327,0.588,0.921,0.327,0.588,0.1117,0.8993,0.5391,0.180,1,
G392_PRACTICE_001,practice,sol,1,0.0,VISIBLE,1,1,199.000,0.197,0.197,0.197,-0.197,-0.197,-0.197,0.0820,0.9112,0.5237,0.000,1,
G392_PRACTICE_002,practice,sol,2,30.0,VISIBLE,1,1,198.457,0.225,0.488,0.155,0.225,0.488,0.155,0.0841,0.9110,0.4836,0.076,1,
G392_PRACTICE_003,practice,sol,3,60.0,VISIBLE,1,1,185.432,1.037,0.212,0.339,1.037,0.212,0.339,0.1121,0.8847,0.5338,0.255,1,
G392_PRACTICE_004,practice,sol,4,0.0,VISIBLE,1,1,190.000,0.165,0.165,0.165,-0.165,-0.165,-0.165,0.0946,0.8863,0.4196,0.000,1,
G392_PRACTICE_005,practice,sol,5,30.0,VISIBLE,1,1,196.224,1.723,1.593,2.122,-1.723,-1.593,-2.122,0.0895,0.9071,0.5282,0.038,1,
G392_PRACTICE_006,practice,sol,6,60.0,VISIBLE,1,1,212.426,15.332,2.604,9.303,15.332,2.604,9.303,-0.0230,0.8605,0.3955,3.435,0,PERPENDICULAR
G392_PRACTICE_007,practice,sol,1,0.0,VISIBLE,1,1,200.000,0.980,0.980,0.980,0.980,0.980,0.980,0.0841,0.9175,0.5633,0.000,1,
G392_PRACTICE_008,practice,sol,2,30.0,VISIBLE,1,1,194.494,0.080,0.951,0.149,-0.080,-0.951,-0.149,0.0982,0.9085,0.4977,0.256,1,
G392_PRACTICE_009,practice,sol,3,60.0,VISIBLE,1,1,186.432,0.519,1.425,0.990,0.519,1.425,0.990,0.1150,0.8917,0.4866,0.279,1,
G392_PRACTICE_010,practice,sol,4,0.0,VISIBLE,1,1,200.000,0.313,0.313,0.313,0.313,0.313,0.313,0.0790,0.9123,0.5248,0.000,1,
G392_PRACTICE_011,practice,sol,5,30.0,VISIBLE,1,1,199.324,0.286,1.050,1.119,0.286,1.050,1.119,0.0858,0.9164,0.5169,0.219,1,
G392_PRACTICE_012,practice,sol,6,60.0,VISIBLE,1,1,180.967,0.179,0.379,0.382,0.179,-0.379,0.382,0.1273,0.8813,0.5175,0.177,1,
G392_PRACTICE_013,practice,sol,1,0.0,VISIBLE,1,1,200.000,0.049,0.049,0.049,-0.049,-0.049,-0.049,0.0914,0.9248,0.5456,0.000,1,
