game,cluster_id,timestamp,n_ticks,loss_recal_null,loss_simulator,paired_loss_recal_null_minus_simulator
401809798,401809798,401809798:120,6,0.5588456903779305,0.2771809895833333,0.28166470079459716
401810022,401810022,401810022:120,6,0.6619666257225997,0.2980550130208333,0.3639116127017663
401810042,401810042,401810042:120,6,0.2516167823471587,0.2791341145833333,-0.027517332236174686
401810056,401810056,401810056:120,6,0.3546301808587408,0.23868815104166666,0.11594202981707412
401810130,401810130,401810130:120,6,0.13209940231777673,0.2961018880208333,-0.16400248570305662
401810156,401810156,401810156:120,6,0.010130995597928232,0.3036295572916667,-0.29349856169373845
401810179,401810179,401810179:120,6,0.4187111803497423,0.2715250651041667,0.14718611524557562
401810183,401810183,401810183:120,6,0.017109796158472416,0.228271484375,-0.2111616882165276
401810233,401810233,401810233:120,6,0.33261186202500387,0.21512858072916666,0.1174832812958372
401810249,401810249,401810249:120,6,0.1156307988104831,0.2744547526041667,-0.15882395379368355
401810253,401810253,401810253:120,6,0.10885931526560559,0.233154296875,-0.12429498160939441
401810255,401810255,401810255:120,6,0.09522662587045112,0.18302408854166666,-0.08779746267121553
401810386,401810386,401810386:120,6,0.30920911687807817,0.2789306640625,0.030278452815578175
401810388,401810388,401810388:120,6,0.16552049587695467,0.2665608723958333,-0.10104037651887865
401810398,401810398,401810398:120,6,0.12220784405146062,0.2291259765625,-0.10691813251103936
401810410,401810410,401810410:120,6,0.008270498115241609,0.23091634114583334,-0.22264584303059173
401810533,401810533,401810533:120,6,0.02401411547546826,0.26953125,-0.24551713452453172
401810539,401810539,401810539:120,6,0.07639186039586492,0.22066243489583334,-0.1442705744999684
401810541,401810541,401810541:120,6,0.1054944034833269,0.2546793619791667,-0.14918495849583976
401810549,401810549,401810549:120,6,0.2461745951261627,0.3351236979166667,-0.088949102790504
401810570,401810570,401810570:120,6,0.058362561395825956,0.2768147786458333,-0.2184522172500074
401810628,401810628,401810628:120,6,0.01600009064407266,0.203857421875,-0.18785733123092732
401810663,401810663,401810663:120,6,0.007784604875249752,0.2232666015625,-0.21548199668725024
401810771,401810771,401810771:120,6,0.9126637222589253,0.2610270182291667,0.6516367040297587
401810811,401810811,401810811:120,6,0.011766113648110544,0.23531087239583334,-0.2235447587477228
401810831,401810831,401810831:120,6,0.06252051837037735,0.20625813802083334,-0.14373761965045598
401810930,401810930,401810930:120,6,0.007946565655701392,0.3024495442708333,-0.2945029786151319
401810966,401810966,401810966:120,6,0.04302801486472544,0.233154296875,-0.19012628201027457
401810972,401810972,401810972:120,6,0.056586666058360456,0.309326171875,-0.25273950581663956
401836800,401836800,401836800:120,6,0.06410302994573717,0.24178059895833334,-0.17767756901259615
