fixture_id,game_id,league,tracking_path,sidecar_path,window_start,window_end,tracking_sha256,sidecar_sha256,source_file_bytes,attempted_frames,rows_in_window,sidecar_present
000001,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s60/tracking_data.csv,,0,57,0f6fb66f5d1baae9e3accd16d9f91374d592f41e6be04df329c25b5dab9bb716,,1792929,18,36,0
000002,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s633/tracking_data.csv,,0,57,60086c9f5c151eb25c6a2af63b98469a3ede0ef775dd921f2aeeb7fe4d131e1d,,1977791,20,112,0
000003,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s1015/tracking_data.csv,,270,327,34d07939c5d2f7e33a1680596ad2ed2b4061527196f82a72b8a23981bf8d4d3c,,2345160,20,144,0
000004,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s1397/tracking_data.csv,,180,237,9eba7dfafa748874f148ec2d7a04c06250fef875cd548ea24025fbb5439d60ae,,754773,20,71,0
000005,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s1970/tracking_data.csv,,0,57,9c9945555168810533183322a06cd975d06758cdd2bd22a8df797f254b69d143,,1752140,20,72,0
000006,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s2734/tracking_data.csv,,0,57,349c2c9c8611042cd7279c47216bdb92b34ab9b189b03a0ce2d7d2676a387b2e,,1723136,20,133,0
000007,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s3307/tracking_data.csv,,0,57,fa8cfc9e8d29855505f4e5999c9a8eae6aac8b8c00814b627e4034847f0c9106,,2239435,20,87,0
000008,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s3880/tracking_data.csv,,6,63,3f8286f587543606453cb7aacce07df57aef5be8c3729bdc41e8f0e97f630e52,,1698061,20,57,0
000009,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s4262/tracking_data.csv,,0,57,641dc413d2f585b9f494a7aced98bd0cdd3cb969eb525ac13310a56cda9716d2,,2033446,18,40,0
000010,0022400909,nba,/workspace/nba-ai-system/data/tracking/0022400909_s4644/tracking_data.csv,,0,57,9c54262d905fec4988786e60d2031dbc4a5c646c3ae17faf4c675e0e11513fed,,1600442,20,61,0
