section_name,game_id,offset_s,pool,sport,status,finished_at,rows,decoded_frames,evaluated_frames,stride,source_fps,source_resolution,unique_frames,frame_size_source,tracking_path,tracking_sha256,tracking_bytes,ball_path,ball_sha256,ball_bytes,eligible,ineligible_reason,selected,select_index
0KIBu1jQBL8_s1205,0KIBu1jQBL8,1205,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789056579,1786,3897,1299,3,29.97002997002997,1920x1080,000269,estimated,/workspace/data/tracking/0KIBu1jQBL8_s1205/tracking_data.csv,76327cf92f02586536d0cbbc4602a63a6d0633c6cd49a71b84ec332885e1ce4f,726038,/workspace/data/tracking/0KIBu1jQBL8_s1205/ball_tracking.csv,0d24267d95c22a657e7994eb57598bf1611eb5cb75218d9b505f9c1af83f9a3e,031273,1,,1,000000
0KIBu1jQBL8_s2320,0KIBu1jQBL8,2320,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789056519,1213,3897,1299,3,29.97002997002997,1920x1080,000224,estimated,/workspace/data/tracking/0KIBu1jQBL8_s2320/tracking_data.csv,050362647a10944556a6561cba0c0c4b82ef9c77115fa2b03632d08fdd52da9f,489528,/workspace/data/tracking/0KIBu1jQBL8_s2320/ball_tracking.csv,10bd56c60fb9263c32e5f70930bcd12ac95a8afbab0fc21370ca500d583e9cc5,027332,1,,1,000001
0KIBu1jQBL8_s3435,0KIBu1jQBL8,3435,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789056620,3020,3897,1299,3,29.97002997002997,1920x1080,000798,estimated,/workspace/data/tracking/0KIBu1jQBL8_s3435/tracking_data.csv,0f4bae8f732717b687a3cc421001816d53b3d44ade8032700b90c76d8460c1ce,1252896,/workspace/data/tracking/0KIBu1jQBL8_s3435/ball_tracking.csv,a7a5c0561a5de66cb0624a3dbc8456f75627be82b5dc252126c1e6be7c443937,035572,1,,1,000002
0KIBu1jQBL8_s4550,0KIBu1jQBL8,4550,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789056660,2433,3897,1299,3,29.97002997002997,1920x1080,000499,estimated,/workspace/data/tracking/0KIBu1jQBL8_s4550/tracking_data.csv,a0d157413caf8ea41b78e016a9d980a5de04cc6d699f9c9715449bb5a8150b64,978387,/workspace/data/tracking/0KIBu1jQBL8_s4550/ball_tracking.csv,3b8c950c7dc81980cba14703d8e5725844c786f27d6a210a37db3f77e6f1a70e,032435,1,,1,000003
0KIBu1jQBL8_s5665,0KIBu1jQBL8,5665,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789056741,5491,3897,1299,3,29.97002997002997,1920x1080,000963,estimated,/workspace/data/tracking/0KIBu1jQBL8_s5665/tracking_data.csv,8eda0755236c49ba2f74a258ac00d0aa7dcef23fa04df8256116b36f712bb491,2186941,/workspace/data/tracking/0KIBu1jQBL8_s5665/ball_tracking.csv,ceffce56abfcd748a85ef3b8e0e1bd756f4f8359cede5a5dcf3df5872bc0f68e,035768,1,,1,000004
0KIBu1jQBL8_s90,0KIBu1jQBL8,90,FRESH_POST_RELAUNCH,ncaa_basketball,tracked,1789056701,489,3897,1299,3,29.97002997002997,1920x1080,000231,estimated,/workspace/data/tracking/0KIBu1jQBL8_s90/tracking_data.csv,16a491aadea13a09e16c645c2a89187c8a848a8936273b74c3bf6a34bc987a92,182897,/workspace/data/tracking/0KIBu1jQBL8_s90/ball_tracking.csv,83f87588e1ce5f13a31a2700130a3a62c69f1de47c95b4563ee78bc5f9293a34,032852,1,,1,000005
6FlZaoWSfFw_s337,6FlZaoWSfFw,337,FRESH_POST_RELAUNCH,wnba,tracked,1789054100,4015,3898,1300,3,29.97002997002997,1920x1080,001000,estimated,/workspace/data/tracking/6FlZaoWSfFw_s337/tracking_data.csv,b831f1220bc07ecb4c45099b2d6410bca6f6143f38535020961b0380c8801337,1608815,/workspace/data/tracking/6FlZaoWSfFw_s337/ball_tracking.csv,aafee7fe25995880dc7f9c403a27d57bf8e89d6776d800cf3f6a6b1d436dabe0,032515,1,,1,000006
6FlZaoWSfFw_s584,6FlZaoWSfFw,584,FRESH_POST_RELAUNCH,wnba,tracked,1789054121,4309,3897,1299,3,29.97002997002997,1920x1080,000801,estimated,/workspace/data/tracking/6FlZaoWSfFw_s584/tracking_data.csv,2036b330745847aa0bbe2ea66641f50d54b6b8a036238f821abc521487494b64,1774522,/workspace/data/tracking/6FlZaoWSfFw_s584/ball_tracking.csv,b0c00e2fa575ec68866ae9b54fe3bbf4cc2ee981380f787acc661f3a220095c4,038899,1,,1,000007
6FlZaoWSfFw_s90,6FlZaoWSfFw,90,FRESH_POST_RELAUNCH,wnba,tracked,1789054080,4180,3897,1299,3,29.97002997002997,1920x1080,001000,estimated,/workspace/data/tracking/6FlZaoWSfFw_s90/tracking_data.csv,ef4a7f59cdec262d5a36a9df474300690f52657f0492e3b26254b1dc1e452226,1544296,/workspace/data/tracking/6FlZaoWSfFw_s90/ball_tracking.csv,156574d57422b4adff6aa1ef46e0c431057f871c661573f98a02eea8590cc255,029635,1,,1,000008
G8bPOW37Sp0_s320,G8bPOW37Sp0,320,FRESH_POST_RELAUNCH,wnba,tracked,1789054627,3187,3897,1299,3,29.97002997002997,1920x1080,001000,estimated,/workspace/data/tracking/G8bPOW37Sp0_s320/tracking_data.csv,624b5f6c4bf7e122d46bcc5788d42b16f4cae2544168238d3dd62b20f2596bd3,1250013,/workspace/data/tracking/G8bPOW37Sp0_s320/ball_tracking.csv,c49ff79d5a6b82e6c29e67c091c06b4b083d251492bca47b3a6a4aa57977d70d,033506,1,,1,000009
