section_name,corpus,status,motion_share,motion_share_no_coast,coast_row_share,m1_rows_dropped,UNATTRIBUTED_KEPT,UNATTRIBUTED_REMOVED_TAIL,UNATTRIBUTED_SPLIT,COAST_LOST_KEPT,COAST_LOST_REMOVED_TAIL,COAST_LOST_SPLIT,BBOX_FROZEN_KEPT,BBOX_FROZEN_REMOVED_TAIL,BBOX_FROZEN_SPLIT,CLAMP_OR_SUBPIXEL_KEPT,CLAMP_OR_SUBPIXEL_REMOVED_TAIL,CLAMP_OR_SUBPIXEL_SPLIT
fXLNra4sjjU_s5830,FRESH_REPL,PRESENT,0.013713,0.002990,0.683759,003911,000000,000000,000000,000000,000014,000000,000000,000000,000000,000000,000000,000000
fXLNra4sjjU_s90,FRESH_REPL,PRESENT,0.027054,0.022280,0.622417,003461,000000,000000,000000,000000,000011,000000,000000,000000,000000,000000,000004,000000
h6j_iLYRx8U_s1424,FRESH_REPL,PRESENT,0.188377,0.171831,0.632411,001315,000000,000000,000000,000000,000023,000000,000000,000001,000000,000000,000031,000000
h6j_iLYRx8U_s2758,FRESH_REPL,PRESENT,0.466934,0.305835,0.180302,002720,000000,000000,000000,000000,000013,000000,000000,000003,000000,000000,000027,000000
h6j_iLYRx8U_s4092,FRESH_REPL,PRESENT,0.188377,0.146881,0.157428,002058,000000,000000,000000,000000,000005,000000,000000,000000,000000,000000,000019,000000
h6j_iLYRx8U_s5426,FRESH_REPL,PRESENT,0.032064,0.012397,0.319141,002633,000000,000000,000000,000000,000007,000000,000000,000000,000000,000000,000008,000000
h6j_iLYRx8U_s6760,FRESH_REPL,PRESENT,0.279919,0.218107,0.097849,001240,000000,000000,000000,000000,000003,000000,000000,000002,000000,000000,000029,000000
h6j_iLYRx8U_s90,FRESH_REPL,PRESENT,0.042169,0.015217,0.468492,001873,000000,000000,000000,000000,000008,000000,000000,000000,000000,000000,000006,000000
wJSOHbeQcg4_s1180,FRESH_REPL,PRESENT,0.694695,0.550652,0.231717,004602,000000,000000,000000,000000,000038,000000,000000,000000,000000,000000,000112,000000
wJSOHbeQcg4_s2270,FRESH_REPL,PRESENT,0.557114,0.455385,0.322617,003490,000000,000000,000000,000000,000024,000000,000000,000003,000000,000000,000035,000000
0SQ709_N0Yg_s1325,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
0SQ709_N0Yg_s2560,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
0SQ709_N0Yg_s3795,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
0SQ709_N0Yg_s5030,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
0SQ709_N0Yg_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
3eeaJz1PJTM_s6295,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
3eeaJz1PJTM_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
6FlZaoWSfFw_s337,FRESH_G366,PRESENT,0.110110,0.085832,0.286177,003844,000000,000000,000000,000000,000002,000000,000000,000000,000000,000000,000017,000000
7XQ5Ud4FGFE_s1431,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
7XQ5Ud4FGFE_s2772,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
7XQ5Ud4FGFE_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
AIMOY6CoQKI_s1177,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
AIMOY6CoQKI_s2264,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
AIMOY6CoQKI_s3351,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
AIMOY6CoQKI_s4438,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
AIMOY6CoQKI_s5525,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
AIMOY6CoQKI_s90,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
IeGm750cb90_s1176,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
IeGm750cb90_s2262,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
IeGm750cb90_s3348,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
IeGm750cb90_s4434,FRESH_G366,ABSENT,,,,,,,,,,,,,,,,
