section_name,corpus,status,class,held_steps,held_step_share,runs,run_share,coast_row_share
0KIBu1jQBL8_s1205,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.229003
0KIBu1jQBL8_s1205,FRESH_REPL,PRESENT,COAST_LOST,000324,0.228814,000007,0.170732,0.229003
0KIBu1jQBL8_s1205,FRESH_REPL,PRESENT,BBOX_FROZEN,000008,0.005650,000000,0.000000,0.229003
0KIBu1jQBL8_s1205,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001084,0.765537,000034,0.829268,0.229003
0KIBu1jQBL8_s2320,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.299258
0KIBu1jQBL8_s2320,FRESH_REPL,PRESENT,COAST_LOST,000301,0.277164,000004,0.266667,0.299258
0KIBu1jQBL8_s2320,FRESH_REPL,PRESENT,BBOX_FROZEN,000005,0.004604,000000,0.000000,0.299258
0KIBu1jQBL8_s2320,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,000780,0.718232,000011,0.733333,0.299258
0KIBu1jQBL8_s3435,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.701325
0KIBu1jQBL8_s3435,FRESH_REPL,PRESENT,COAST_LOST,002056,0.705802,000016,1.000000,0.701325
0KIBu1jQBL8_s3435,FRESH_REPL,PRESENT,BBOX_FROZEN,000002,0.000687,000000,0.000000,0.701325
0KIBu1jQBL8_s3435,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,000855,0.293512,000000,0.000000,0.701325
0KIBu1jQBL8_s4550,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.254418
0KIBu1jQBL8_s4550,FRESH_REPL,PRESENT,COAST_LOST,000266,0.245387,000034,0.317757,0.254418
0KIBu1jQBL8_s4550,FRESH_REPL,PRESENT,BBOX_FROZEN,000014,0.012915,000004,0.037383,0.254418
0KIBu1jQBL8_s4550,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,000804,0.741697,000069,0.644860,0.254418
0KIBu1jQBL8_s5665,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.319250
0KIBu1jQBL8_s5665,FRESH_REPL,PRESENT,COAST_LOST,001056,0.332494,000058,0.320442,0.319250
0KIBu1jQBL8_s5665,FRESH_REPL,PRESENT,BBOX_FROZEN,000006,0.001889,000004,0.022099,0.319250
0KIBu1jQBL8_s5665,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,002114,0.665617,000119,0.657459,0.319250
0KIBu1jQBL8_s90,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.815951
0KIBu1jQBL8_s90,FRESH_REPL,PRESENT,COAST_LOST,000370,0.837104,000025,0.892857,0.815951
0KIBu1jQBL8_s90,FRESH_REPL,PRESENT,BBOX_FROZEN,000000,0.000000,000000,0.000000,0.815951
0KIBu1jQBL8_s90,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,000072,0.162896,000003,0.107143,0.815951
6FlZaoWSfFw_s337,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.286177
6FlZaoWSfFw_s337,FRESH_REPL,PRESENT,COAST_LOST,001122,0.291883,000002,0.105263,0.286177
6FlZaoWSfFw_s337,FRESH_REPL,PRESENT,BBOX_FROZEN,000000,0.000000,000000,0.000000,0.286177
6FlZaoWSfFw_s337,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,002722,0.708117,000017,0.894737,0.286177
6FlZaoWSfFw_s584,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.315618
6FlZaoWSfFw_s584,FRESH_REPL,PRESENT,COAST_LOST,001129,0.325454,000021,0.304348,0.315618
6FlZaoWSfFw_s584,FRESH_REPL,PRESENT,BBOX_FROZEN,000002,0.000577,000001,0.014493,0.315618
6FlZaoWSfFw_s584,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,002338,0.673969,000047,0.681159,0.315618
6FlZaoWSfFw_s90,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.399522
6FlZaoWSfFw_s90,FRESH_REPL,PRESENT,COAST_LOST,001640,0.399610,000002,0.142857,0.399522
6FlZaoWSfFw_s90,FRESH_REPL,PRESENT,BBOX_FROZEN,000000,0.000000,000000,0.000000,0.399522
6FlZaoWSfFw_s90,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,002464,0.600390,000012,0.857143,0.399522
G8bPOW37Sp0_s320,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.401945
G8bPOW37Sp0_s320,FRESH_REPL,PRESENT,COAST_LOST,001057,0.372577,000026,0.590909,0.401945
G8bPOW37Sp0_s320,FRESH_REPL,PRESENT,BBOX_FROZEN,000000,0.000000,000000,0.000000,0.401945
G8bPOW37Sp0_s320,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001780,0.627423,000018,0.409091,0.401945
G8bPOW37Sp0_s550,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.471438
G8bPOW37Sp0_s550,FRESH_REPL,PRESENT,COAST_LOST,002045,0.474148,000011,0.440000,0.471438
G8bPOW37Sp0_s550,FRESH_REPL,PRESENT,BBOX_FROZEN,000000,0.000000,000000,0.000000,0.471438
G8bPOW37Sp0_s550,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,002268,0.525852,000014,0.560000,0.471438
G8bPOW37Sp0_s90,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.434402
G8bPOW37Sp0_s90,FRESH_REPL,PRESENT,COAST_LOST,001150,0.457075,000063,0.440559,0.434402
G8bPOW37Sp0_s90,FRESH_REPL,PRESENT,BBOX_FROZEN,000002,0.000795,000000,0.000000,0.434402
G8bPOW37Sp0_s90,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001364,0.542130,000080,0.559441,0.434402
N-eE7ZwTuno_s1308,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.136208
N-eE7ZwTuno_s1308,FRESH_REPL,PRESENT,COAST_LOST,000768,0.138778,000007,0.194444,0.136208
N-eE7ZwTuno_s1308,FRESH_REPL,PRESENT,BBOX_FROZEN,000008,0.001446,000000,0.000000,0.136208
N-eE7ZwTuno_s1308,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,004758,0.859776,000029,0.805556,0.136208
N-eE7ZwTuno_s2526,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.683605
N-eE7ZwTuno_s2526,FRESH_REPL,PRESENT,COAST_LOST,001200,0.725076,000138,0.884615,0.683605
N-eE7ZwTuno_s2526,FRESH_REPL,PRESENT,BBOX_FROZEN,000001,0.000604,000000,0.000000,0.683605
N-eE7ZwTuno_s2526,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,000454,0.274320,000018,0.115385,0.683605
N-eE7ZwTuno_s3744,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.284535
N-eE7ZwTuno_s3744,FRESH_REPL,PRESENT,COAST_LOST,000849,0.341101,000079,0.300380,0.284535
N-eE7ZwTuno_s3744,FRESH_REPL,PRESENT,BBOX_FROZEN,000009,0.003616,000002,0.007605,0.284535
N-eE7ZwTuno_s3744,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001631,0.655283,000182,0.692015,0.284535
N-eE7ZwTuno_s4962,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.143108
N-eE7ZwTuno_s4962,FRESH_REPL,PRESENT,COAST_LOST,000446,0.161711,000010,0.090090,0.143108
N-eE7ZwTuno_s4962,FRESH_REPL,PRESENT,BBOX_FROZEN,000013,0.004714,000004,0.036036,0.143108
N-eE7ZwTuno_s4962,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,002299,0.833575,000097,0.873874,0.143108
N-eE7ZwTuno_s90,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.689099
N-eE7ZwTuno_s90,FRESH_REPL,PRESENT,COAST_LOST,002750,0.690088,000017,1.000000,0.689099
N-eE7ZwTuno_s90,FRESH_REPL,PRESENT,BBOX_FROZEN,000004,0.001004,000000,0.000000,0.689099
N-eE7ZwTuno_s90,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001231,0.308908,000000,0.000000,0.689099
RIrGQJ_jsGQ_s1410,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.241963
RIrGQJ_jsGQ_s1410,FRESH_REPL,PRESENT,COAST_LOST,001071,0.247002,000030,0.238095,0.241963
RIrGQJ_jsGQ_s1410,FRESH_REPL,PRESENT,BBOX_FROZEN,000018,0.004151,000001,0.007937,0.241963
RIrGQJ_jsGQ_s1410,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,003247,0.748847,000095,0.753968,0.241963
RIrGQJ_jsGQ_s2730,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.635017
RIrGQJ_jsGQ_s2730,FRESH_REPL,PRESENT,COAST_LOST,001809,0.643543,000061,0.824324,0.635017
RIrGQJ_jsGQ_s2730,FRESH_REPL,PRESENT,BBOX_FROZEN,000001,0.000356,000000,0.000000,0.635017
RIrGQJ_jsGQ_s2730,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001001,0.356101,000013,0.175676,0.635017
RIrGQJ_jsGQ_s4050,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.382881
RIrGQJ_jsGQ_s4050,FRESH_REPL,PRESENT,COAST_LOST,001384,0.393405,000016,0.347826,0.382881
RIrGQJ_jsGQ_s4050,FRESH_REPL,PRESENT,BBOX_FROZEN,000002,0.000569,000000,0.000000,0.382881
RIrGQJ_jsGQ_s4050,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,002132,0.606026,000030,0.652174,0.382881
RIrGQJ_jsGQ_s5370,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.181287
RIrGQJ_jsGQ_s5370,FRESH_REPL,PRESENT,COAST_LOST,000232,0.185600,000068,0.207951,0.181287
RIrGQJ_jsGQ_s5370,FRESH_REPL,PRESENT,BBOX_FROZEN,000015,0.012000,000003,0.009174,0.181287
RIrGQJ_jsGQ_s5370,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001003,0.802400,000256,0.782875,0.181287
RIrGQJ_jsGQ_s90,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.593490
RIrGQJ_jsGQ_s90,FRESH_REPL,PRESENT,COAST_LOST,000622,0.744910,000045,0.576923,0.593490
RIrGQJ_jsGQ_s90,FRESH_REPL,PRESENT,BBOX_FROZEN,000003,0.003593,000002,0.025641,0.593490
RIrGQJ_jsGQ_s90,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,000210,0.251497,000031,0.397436,0.593490
XCaGht2GmPg_s1416,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.496383
XCaGht2GmPg_s1416,FRESH_REPL,PRESENT,COAST_LOST,001029,0.490467,000018,0.750000,0.496383
XCaGht2GmPg_s1416,FRESH_REPL,PRESENT,BBOX_FROZEN,000002,0.000953,000001,0.041667,0.496383
XCaGht2GmPg_s1416,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001067,0.508580,000005,0.208333,0.496383
XCaGht2GmPg_s2742,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.366616
XCaGht2GmPg_s2742,FRESH_REPL,PRESENT,COAST_LOST,000751,0.403330,000029,0.475410,0.366616
XCaGht2GmPg_s2742,FRESH_REPL,PRESENT,BBOX_FROZEN,000013,0.006982,000003,0.049180,0.366616
XCaGht2GmPg_s2742,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001098,0.589689,000029,0.475410,0.366616
XCaGht2GmPg_s4068,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.712815
XCaGht2GmPg_s4068,FRESH_REPL,PRESENT,COAST_LOST,001210,0.719382,000025,1.000000,0.712815
XCaGht2GmPg_s4068,FRESH_REPL,PRESENT,BBOX_FROZEN,000013,0.007729,000000,0.000000,0.712815
XCaGht2GmPg_s4068,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,000459,0.272889,000000,0.000000,0.712815
XCaGht2GmPg_s5394,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.331487
XCaGht2GmPg_s5394,FRESH_REPL,PRESENT,COAST_LOST,000752,0.325541,000005,0.384615,0.331487
XCaGht2GmPg_s5394,FRESH_REPL,PRESENT,BBOX_FROZEN,000017,0.007359,000000,0.000000,0.331487
XCaGht2GmPg_s5394,FRESH_REPL,PRESENT,CLAMP_OR_SUBPIXEL,001541,0.667100,000008,0.615385,0.331487
XCaGht2GmPg_s90,FRESH_REPL,PRESENT,UNATTRIBUTED,000000,0.000000,000000,0.000000,0.695652
XCaGht2GmPg_s90,FRESH_REPL,PRESENT,COAST_LOST,000652,0.701830,000012,0.923077,0.695652
XCaGht2GmPg_s90,FRESH_REPL,PRESENT,BBOX_FROZEN,000001,0.001076,000000,0.000000,0.695652
