section_name,corpus,status,rows,tracks,unparsed_frame_rows,ticks,tick_pairs,moved_pairs,motion_share,ledger_evaluated_frames,sidecar_evaluated_frames,recorded_sha256,observed_sha256,sha256_check
RIrGQJ_jsGQ_s2730,FRESH_REPL,PRESENT,003307,000010,000000,000778,000777,000313,0.402831,1301,779,2232f7ad54c4c25cba85f01d2b3ed3f060e0bb3ae65bf1681e11bd45fba2b2b8,2232f7ad54c4c25cba85f01d2b3ed3f060e0bb3ae65bf1681e11bd45fba2b2b8,MATCH
RIrGQJ_jsGQ_s4050,FRESH_REPL,PRESENT,003902,000010,000000,001000,000999,000250,0.250250,1301,1000,ba5f193240258c0014d6837e8457b9fe28076dc2daa48106f5ca869acb387286,ba5f193240258c0014d6837e8457b9fe28076dc2daa48106f5ca869acb387286,MATCH
RIrGQJ_jsGQ_s5370,FRESH_REPL,PRESENT,003078,000010,000000,000999,000998,000799,0.800601,1301,1000,0a2c535876870f66697c81ad1b3236a5892d8d1d30586eefcb2def7235d17270,0a2c535876870f66697c81ad1b3236a5892d8d1d30586eefcb2def7235d17270,MATCH
RIrGQJ_jsGQ_s90,FRESH_REPL,PRESENT,001321,000010,000000,000532,000531,000246,0.463277,1301,780,5ace180f0dae6e954811e02c8f6f451027f1b3cfe02028cb8b09830f01ab28cc,5ace180f0dae6e954811e02c8f6f451027f1b3cfe02028cb8b09830f01ab28cc,MATCH
XCaGht2GmPg_s1416,FRESH_REPL,PRESENT,002212,000010,000000,000493,000492,000062,0.126016,1299,500,465b725e1c805aabe3cca05e4765f0afa39ba792e7976db0fcb365578a5e4bfa,465b725e1c805aabe3cca05e4765f0afa39ba792e7976db0fcb365578a5e4bfa,MATCH
XCaGht2GmPg_s2742,FRESH_REPL,PRESENT,002654,000010,000000,000500,000499,000435,0.871743,1299,500,66f66e0eda0a4205da8775d94f9b8252dc6ff9e3e4d9e5033c21fd77b49d812a,66f66e0eda0a4205da8775d94f9b8252dc6ff9e3e4d9e5033c21fd77b49d812a,MATCH
XCaGht2GmPg_s4068,FRESH_REPL,PRESENT,001748,000010,000000,000495,000494,000027,0.054656,1299,500,acf5677c3bf2dfa53ed4b2bf7634ebee0ddf9f6068ffe7b9f5a38daeeb98c560,acf5677c3bf2dfa53ed4b2bf7634ebee0ddf9f6068ffe7b9f5a38daeeb98c560,MATCH
XCaGht2GmPg_s5394,FRESH_REPL,PRESENT,002347,000010,000000,000499,000498,000018,0.036145,1299,500,e88f02b4db1883a48811591cc4598c36ebd14ed6ae285acab0d226b0553e8d40,e88f02b4db1883a48811591cc4598c36ebd14ed6ae285acab0d226b0553e8d40,MATCH
XCaGht2GmPg_s90,FRESH_REPL,PRESENT,000989,000010,000000,000497,000496,000032,0.064516,1299,500,a80523182927b2eea0be802a484ffb541e5b5740ed068973f0c7513f330fb6ec,a80523182927b2eea0be802a484ffb541e5b5740ed068973f0c7513f330fb6ec,MATCH
XzIzQZBrPBY_s244,FRESH_REPL,PRESENT,001288,000010,000000,000494,000493,000021,0.042596,1299,500,c7797dea84fab53e8abaa0b4d06141aea67d59e01b811e0c8d0b6acb4ffe7656,c7797dea84fab53e8abaa0b4d06141aea67d59e01b811e0c8d0b6acb4ffe7656,MATCH
XzIzQZBrPBY_s398,FRESH_REPL,PRESENT,002042,000010,000000,000493,000492,000141,0.286585,1299,500,92b38f07a70a8bf18fb94ef1ec6c3115cf31238ab07a9d840ddaf9778b81271a,92b38f07a70a8bf18fb94ef1ec6c3115cf31238ab07a9d840ddaf9778b81271a,MATCH
XzIzQZBrPBY_s90,FRESH_REPL,PRESENT,001864,000010,000000,000499,000498,000361,0.724900,1299,500,9bcd2f158c84c27989ec6633d25beef56021fa7da68bc63014731eb0ffcc8057,9bcd2f158c84c27989ec6633d25beef56021fa7da68bc63014731eb0ffcc8057,MATCH
fXLNra4sjjU_s1238,FRESH_REPL,PRESENT,003182,000010,000000,001000,000999,000067,0.067067,1300,1000,5a13434cda9b42e1288fcc97fcf4a554d94bd28b3f80de29ff2ee1825e439c43,5a13434cda9b42e1288fcc97fcf4a554d94bd28b3f80de29ff2ee1825e439c43,MATCH
fXLNra4sjjU_s2386,FRESH_REPL,PRESENT,006521,000010,000000,001000,000999,000629,0.629630,1299,1000,d35002f0641b4897b4c47ccc4374c6705487f6600622b578ccf7895eb94ae2ed,d35002f0641b4897b4c47ccc4374c6705487f6600622b578ccf7895eb94ae2ed,MATCH
