section_name,corpus,status,rows,ticks,tracks,runs_n,held_runs_n,held_steps_n,run_len_p50,run_len_p90,run_len_max,tick_share_in_runs_ge2,tick_share_in_runs_ge5,tick_share_in_runs_ge30
0KIBu1jQBL8_s1205,FRESH_REPL,PRESENT,001786,000269,000010,000370,000041,001416,000008,000146,000190,0.815789,0.795073,0.694289
0KIBu1jQBL8_s2320,FRESH_REPL,PRESENT,001213,000224,000010,000127,000015,001086,000116,000133,000138,0.907667,0.900247,0.896125
0KIBu1jQBL8_s3435,FRESH_REPL,PRESENT,003020,000798,000010,000107,000016,002913,000189,000341,000358,0.969868,0.967881,0.957616
0KIBu1jQBL8_s4550,FRESH_REPL,PRESENT,002433,000499,000010,001349,000107,001084,000005,000022,000271,0.489519,0.439375,0.190711
0KIBu1jQBL8_s5665,FRESH_REPL,PRESENT,005491,000963,000010,002315,000181,003176,000006,000040,000435,0.611364,0.576398,0.393371
0KIBu1jQBL8_s90,FRESH_REPL,PRESENT,000489,000231,000010,000047,000028,000442,000008,000042,000051,0.961145,0.936605,0.435583
6FlZaoWSfFw_s337,FRESH_REPL,PRESENT,004015,001000,000010,000171,000019,003844,000074,000593,000595,0.962142,0.957659,0.952677
6FlZaoWSfFw_s584,FRESH_REPL,PRESENT,004309,000801,000010,000840,000069,003469,000009,000261,000468,0.821072,0.805755,0.724530
6FlZaoWSfFw_s90,FRESH_REPL,PRESENT,004180,001000,000010,000076,000014,004104,000246,000551,000603,0.985167,0.983732,0.982057
G8bPOW37Sp0_s320,FRESH_REPL,PRESENT,003187,001000,000010,000350,000044,002837,000009,000126,000598,0.903985,0.893944,0.818638
G8bPOW37Sp0_s550,FRESH_REPL,PRESENT,004639,001000,000010,000326,000025,004313,000027,000527,000558,0.935115,0.932744,0.906661
G8bPOW37Sp0_s90,FRESH_REPL,PRESENT,003430,000941,000010,000914,000143,002516,000008,000046,000217,0.775219,0.740233,0.489213
N-eE7ZwTuno_s1308,FRESH_REPL,PRESENT,006123,001000,000010,000589,000036,005534,000005,000698,000812,0.909685,0.903642,0.893353
N-eE7ZwTuno_s2526,FRESH_REPL,PRESENT,002696,000962,000010,001041,000156,001655,000007,000028,000084,0.671736,0.617582,0.248516
N-eE7ZwTuno_s3744,FRESH_REPL,PRESENT,005328,000988,000010,002839,000263,002489,000004,000022,000262,0.516517,0.448761,0.247748
N-eE7ZwTuno_s4962,FRESH_REPL,PRESENT,003983,001000,000010,001225,000111,002758,000004,000040,000633,0.720311,0.682651,0.573437
N-eE7ZwTuno_s90,FRESH_REPL,PRESENT,004027,000992,000010,000042,000017,003985,000343,000438,000496,0.993792,0.991557,0.984604
RIrGQJ_jsGQ_s1410,FRESH_REPL,PRESENT,005319,001000,000010,000983,000126,004336,000003,000036,000710,0.838879,0.804663,0.745253
RIrGQJ_jsGQ_s2730,FRESH_REPL,PRESENT,003307,000778,000010,000496,000074,002811,000007,000080,000370,0.872392,0.849410,0.745993
RIrGQJ_jsGQ_s4050,FRESH_REPL,PRESENT,003902,001000,000010,000384,000046,003518,000007,000509,000558,0.913378,0.901333,0.862635
RIrGQJ_jsGQ_s5370,FRESH_REPL,PRESENT,003078,000999,000010,001828,000327,001250,000002,000007,000062,0.512346,0.304743,0.132878
RIrGQJ_jsGQ_s90,FRESH_REPL,PRESENT,001321,000532,000010,000486,000078,000835,000003,000039,000111,0.691143,0.616957,0.398183
XCaGht2GmPg_s1416,FRESH_REPL,PRESENT,002212,000493,000010,000114,000024,002098,000007,000259,000315,0.959313,0.954792,0.918174
XCaGht2GmPg_s2742,FRESH_REPL,PRESENT,002654,000500,000010,000792,000061,001862,000008,000049,000266,0.724567,0.704974,0.590053
XCaGht2GmPg_s4068,FRESH_REPL,PRESENT,001748,000495,000010,000066,000025,001682,000007,000223,000245,0.976545,0.967963,0.932494
XCaGht2GmPg_s5394,FRESH_REPL,PRESENT,002347,000499,000010,000037,000013,002310,000161,000323,000341,0.989774,0.987644,0.984661
XCaGht2GmPg_s90,FRESH_REPL,PRESENT,000989,000497,000010,000060,000013,000929,000058,000161,000211,0.952477,0.948433,0.888777
XzIzQZBrPBY_s244,FRESH_REPL,PRESENT,001288,000494,000010,000060,000010,001228,000093,000233,000268,0.961180,0.961180,0.934783
XzIzQZBrPBY_s398,FRESH_REPL,PRESENT,002042,000493,000010,000223,000042,001819,000007,000210,000234,0.911361,0.901077,0.768854
