table,sport,data_state,n_frames_when_needed,coordinate_spaces,usable_player_fields,unique_positive_modal_stride,first_blocker,rollup_bucket
0022500490,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500491,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500492,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500493,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500494,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500496,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500497,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500503,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500507,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500508,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500509,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500510,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500511,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500512,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500513,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500514,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500517,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500519,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500526,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500527,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500564,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500565,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500566,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500567,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500570,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500574,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500575,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500576,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500577,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500582,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500584,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500585,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500586,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500591,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500592,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500593,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500594,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500601,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500609,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500621,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500622,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500623,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500629,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500630,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500634,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500702,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500710,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500712,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500713,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500715,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500717,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
0022500718,basketball,nonempty,,,,,missing_required_coordinate_or_schema,other
