"clip","n","box","box_share","box_wilson","wide","wide_share","wide_wilson"
"soccer__soccer_AgspyOj5BPk","300","21","0.0700","[0.0462, 0.1046]","196","0.6533","[0.5978, 0.7049]"
"soccer__soccer_DdnvC6-PGYY","300","16","0.0533","[0.0331, 0.0849]","200","0.6667","[0.6115, 0.7176]"
"soccer__soccer_EKhrdU9bVZA","300","12","0.0400","[0.0230, 0.0686]","190","0.6333","[0.5774, 0.6859]"
"soccer__soccer_cKXZysISV4w","300","15","0.0500","[0.0305, 0.0808]","195","0.6500","[0.5944, 0.7018]"
"soccer__soccer_kSgNjoaqCpI_1080p","300","8","0.0267","[0.0136, 0.0517]","190","0.6333","[0.5774, 0.6859]"
