section_identity,measured_class,actual_rendition,sealed_window_status,decoded_source_frames,attempted_reads,evaluated_ticks,suspension_ticks,zero_output_evaluated_ticks,held_pairs,shared_pairs,raw_overrun_rows,derived_out_of_window_rows,schedule_status
LS2gHvzAW9Y_s90,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
OdGDLXvM76w_s1299,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
OdGDLXvM76w_s2508,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
OdGDLXvM76w_s3717,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
OdGDLXvM76w_s4926,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
OdGDLXvM76w_s90,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
SNeyXC57K1Y_s1785,720p30,UNRESOLVED,SEALED,59,20,20,0,0,51,62,4504,0,KNOWN
SNeyXC57K1Y_s3480,720p30,UNRESOLVED,SEALED,59,20,20,0,0,102,114,3893,0,KNOWN
SNeyXC57K1Y_s90,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
TcRGoJEF-Us_s1328,720p30,UNRESOLVED,SEALED,59,20,20,0,0,49,49,4124,0,KNOWN
TcRGoJEF-Us_s2566,720p30,UNRESOLVED,SEALED,59,20,20,0,0,99,99,2862,0,KNOWN
TcRGoJEF-Us_s3804,720p30,UNRESOLVED,SEALED,59,20,20,0,0,77,78,5135,0,KNOWN
TcRGoJEF-Us_s5042,720p30,UNRESOLVED,SEALED,59,20,20,0,0,57,58,3015,0,KNOWN
TcRGoJEF-Us_s90,720p30,UNRESOLVED,SEALED,59,20,20,0,0,51,55,3466,0,KNOWN
a2pEHm9YzFo_s1501,1080p30,270,SEALED,60,20,20,0,0,59,59,3458,0,KNOWN
a2pEHm9YzFo_s2912,1080p30,270,SEALED,60,20,20,0,0,98,103,3973,0,KNOWN
a2pEHm9YzFo_s4323,1080p30,270,SEALED,60,20,20,0,0,89,97,5099,0,KNOWN
a2pEHm9YzFo_s90,1080p30,270,SEALED,60,20,0,20,0,0,0,1520,0,KNOWN
cba-Dys4JeucBBk_s1533,1080p30,270,SEALED,60,20,20,0,0,74,118,5986,0,KNOWN
cba-Dys4JeucBBk_s2976,1080p30,270,SEALED,60,20,20,0,0,87,87,5584,0,KNOWN
cba-Dys4JeucBBk_s4419,1080p30,270,SEALED,60,20,20,0,0,87,94,4734,0,KNOWN
cba-Dys4JeucBBk_s5862,1080p30,270,SEALED,60,20,20,0,0,71,71,4379,0,KNOWN
cba-Dys4JeucBBk_s7305,1080p30,270,SEALED,60,0,0,0,0,0,0,0,0,ball_table_absent
cba-Dys4JeucBBk_s90,1080p30,270,SEALED,60,20,20,0,0,74,88,4803,0,KNOWN
cba-He_gTzSCeuQ_s1476,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-He_gTzSCeuQ_s2862,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-He_gTzSCeuQ_s4248,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-He_gTzSCeuQ_s5634,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-He_gTzSCeuQ_s7020,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-He_gTzSCeuQ_s90,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-MnUJJaAE92U_s5354,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-MnUJJaAE92U_s90,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-SMI0am_NG-c_s90,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-cW8E3iYZVBI_s1216,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-cW8E3iYZVBI_s2342,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-cW8E3iYZVBI_s3468,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-cW8E3iYZVBI_s4594,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-cW8E3iYZVBI_s5720,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
cba-cW8E3iYZVBI_s90,UNKNOWN,UNRESOLVED,UNKNOWN_NO_SOURCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,KNOWN
e3E_WApsLV4_s1222,720p30,232,SEALED,60,20,20,0,0,63,64,4024,0,KNOWN
e3E_WApsLV4_s2354,720p30,232,SEALED,60,20,20,0,1,47,53,4402,0,KNOWN
e3E_WApsLV4_s3486,720p30,232,SEALED,60,20,20,0,0,57,75,4278,0,KNOWN
e3E_WApsLV4_s4618,720p30,232,SEALED,60,20,20,0,0,58,69,4268,0,KNOWN
