section_identity,scope,measured_class,actual_rendition,held_pairs,shared_pairs,held_share,zero_output_evaluated_ticks,schedule_status
2nn-umdCxXo_s1162,FULL_ADMITTED,720p30,232,3989,4303,0.927028,2,KNOWN
2nn-umdCxXo_s1162,SEALED_2S,720p30,232,97,106,0.915094,0,KNOWN
2nn-umdCxXo_s2234,FULL_ADMITTED,720p30,232,4160,4660,0.892704,0,KNOWN
2nn-umdCxXo_s2234,SEALED_2S,720p30,232,80,95,0.842105,0,KNOWN
2nn-umdCxXo_s3306,FULL_ADMITTED,720p30,232,2894,3156,0.916984,6,KNOWN
2nn-umdCxXo_s3306,SEALED_2S,720p30,232,51,51,1.000000,0,KNOWN
2nn-umdCxXo_s4378,FULL_ADMITTED,720p30,232,3361,3659,0.918557,13,KNOWN
2nn-umdCxXo_s4378,SEALED_2S,720p30,232,82,82,1.000000,0,KNOWN
2nn-umdCxXo_s5450,FULL_ADMITTED,720p30,232,3208,3372,0.951364,3,KNOWN
2nn-umdCxXo_s5450,SEALED_2S,720p30,232,68,68,1.000000,0,KNOWN
2nn-umdCxXo_s90,FULL_ADMITTED,720p30,232,1131,1707,0.662566,29,KNOWN
2nn-umdCxXo_s90,SEALED_2S,720p30,232,12,14,0.857143,1,KNOWN
HnNYinCzPFU_s1413,FULL_ADMITTED,720p30,UNRESOLVED,3727,5032,0.740660,22,KNOWN
HnNYinCzPFU_s1413,SEALED_2S,720p30,UNRESOLVED,90,112,0.803571,0,KNOWN
HnNYinCzPFU_s2736,FULL_ADMITTED,720p30,UNRESOLVED,2204,3362,0.655562,0,KNOWN
HnNYinCzPFU_s2736,SEALED_2S,720p30,UNRESOLVED,26,65,0.400000,0,KNOWN
HnNYinCzPFU_s90,FULL_ADMITTED,720p30,UNRESOLVED,3931,4916,0.799634,0,KNOWN
HnNYinCzPFU_s90,SEALED_2S,720p30,UNRESOLVED,80,90,0.888889,0,KNOWN
I33o9UnUe1A_s1505,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3124,3202,0.975640,0,KNOWN
I33o9UnUe1A_s1505,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
I33o9UnUe1A_s2920,FULL_ADMITTED,UNKNOWN,UNRESOLVED,4034,4358,0.925654,1,KNOWN
I33o9UnUe1A_s2920,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
I33o9UnUe1A_s4335,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2119,2937,0.721485,87,KNOWN
I33o9UnUe1A_s4335,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
I33o9UnUe1A_s5750,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2185,2348,0.930579,10,KNOWN
I33o9UnUe1A_s5750,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
I33o9UnUe1A_s7165,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3731,3886,0.960113,8,KNOWN
I33o9UnUe1A_s7165,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
I33o9UnUe1A_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,4296,4491,0.956580,0,KNOWN
I33o9UnUe1A_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
LS2gHvzAW9Y_s1776,FULL_ADMITTED,UNKNOWN,UNRESOLVED,4395,4490,0.978842,68,KNOWN
LS2gHvzAW9Y_s1776,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
LS2gHvzAW9Y_s3462,FULL_ADMITTED,UNKNOWN,UNRESOLVED,1547,2201,0.702862,187,KNOWN
LS2gHvzAW9Y_s3462,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
LS2gHvzAW9Y_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,1508,1873,0.805125,220,KNOWN
LS2gHvzAW9Y_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
OdGDLXvM76w_s1299,FULL_ADMITTED,UNKNOWN,UNRESOLVED,1454,2009,0.723743,152,KNOWN
OdGDLXvM76w_s1299,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
OdGDLXvM76w_s2508,FULL_ADMITTED,UNKNOWN,UNRESOLVED,4495,4591,0.979090,0,KNOWN
OdGDLXvM76w_s2508,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
OdGDLXvM76w_s3717,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2536,2584,0.981424,3,KNOWN
OdGDLXvM76w_s3717,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
OdGDLXvM76w_s4926,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2063,3119,0.661430,8,KNOWN
OdGDLXvM76w_s4926,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
OdGDLXvM76w_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,1411,2571,0.548814,4,KNOWN
OdGDLXvM76w_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
SNeyXC57K1Y_s1785,FULL_ADMITTED,720p30,UNRESOLVED,2961,3858,0.767496,28,KNOWN
SNeyXC57K1Y_s1785,SEALED_2S,720p30,UNRESOLVED,51,62,0.822581,0,KNOWN
SNeyXC57K1Y_s3480,FULL_ADMITTED,720p30,UNRESOLVED,3034,3497,0.867601,11,KNOWN
SNeyXC57K1Y_s3480,SEALED_2S,720p30,UNRESOLVED,102,114,0.894737,0,KNOWN
SNeyXC57K1Y_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2263,2963,0.763753,137,KNOWN
SNeyXC57K1Y_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
TcRGoJEF-Us_s1328,FULL_ADMITTED,720p30,UNRESOLVED,3483,3556,0.979471,8,KNOWN
TcRGoJEF-Us_s1328,SEALED_2S,720p30,UNRESOLVED,49,49,1.000000,0,KNOWN
TcRGoJEF-Us_s2566,FULL_ADMITTED,720p30,UNRESOLVED,2149,2501,0.859256,153,KNOWN
TcRGoJEF-Us_s2566,SEALED_2S,720p30,UNRESOLVED,99,99,1.000000,0,KNOWN
TcRGoJEF-Us_s3804,FULL_ADMITTED,720p30,UNRESOLVED,4276,4485,0.953400,0,KNOWN
TcRGoJEF-Us_s3804,SEALED_2S,720p30,UNRESOLVED,77,78,0.987179,0,KNOWN
TcRGoJEF-Us_s5042,FULL_ADMITTED,720p30,UNRESOLVED,2130,2548,0.835950,4,KNOWN
TcRGoJEF-Us_s5042,SEALED_2S,720p30,UNRESOLVED,57,58,0.982759,0,KNOWN
TcRGoJEF-Us_s90,FULL_ADMITTED,720p30,UNRESOLVED,2654,3018,0.879390,17,KNOWN
TcRGoJEF-Us_s90,SEALED_2S,720p30,UNRESOLVED,51,55,0.927273,0,KNOWN
a2pEHm9YzFo_s1501,FULL_ADMITTED,1080p30,270,2716,3043,0.892540,67,KNOWN
a2pEHm9YzFo_s1501,SEALED_2S,1080p30,270,59,59,1.000000,0,KNOWN
a2pEHm9YzFo_s2912,FULL_ADMITTED,1080p30,270,2813,3591,0.783347,13,KNOWN
a2pEHm9YzFo_s2912,SEALED_2S,1080p30,270,98,103,0.951456,0,KNOWN
a2pEHm9YzFo_s4323,FULL_ADMITTED,1080p30,270,3704,4487,0.825496,20,KNOWN
a2pEHm9YzFo_s4323,SEALED_2S,1080p30,270,89,97,0.917526,0,KNOWN
a2pEHm9YzFo_s90,FULL_ADMITTED,1080p30,270,848,1250,0.678400,0,KNOWN
a2pEHm9YzFo_s90,SEALED_2S,1080p30,270,0,0,UNKNOWN,0,KNOWN
cba-Dys4JeucBBk_s1533,FULL_ADMITTED,1080p30,270,3161,5396,0.585804,8,KNOWN
cba-Dys4JeucBBk_s1533,SEALED_2S,1080p30,270,74,118,0.627119,0,KNOWN
cba-Dys4JeucBBk_s2976,FULL_ADMITTED,1080p30,270,4851,4942,0.981586,4,KNOWN
cba-Dys4JeucBBk_s2976,SEALED_2S,1080p30,270,87,87,1.000000,0,KNOWN
cba-Dys4JeucBBk_s4419,FULL_ADMITTED,1080p30,270,3295,4175,0.789222,53,KNOWN
cba-Dys4JeucBBk_s4419,SEALED_2S,1080p30,270,87,94,0.925532,0,KNOWN
cba-Dys4JeucBBk_s5862,FULL_ADMITTED,1080p30,270,3642,3723,0.978243,6,KNOWN
cba-Dys4JeucBBk_s5862,SEALED_2S,1080p30,270,71,71,1.000000,0,KNOWN
cba-Dys4JeucBBk_s7305,FULL_ADMITTED,1080p30,270,0,0,UNKNOWN,0,ball_table_absent
cba-Dys4JeucBBk_s7305,SEALED_2S,1080p30,270,0,0,UNKNOWN,0,ball_table_absent
cba-Dys4JeucBBk_s90,FULL_ADMITTED,1080p30,270,3449,4137,0.833696,8,KNOWN
cba-Dys4JeucBBk_s90,SEALED_2S,1080p30,270,74,88,0.840909,0,KNOWN
cba-He_gTzSCeuQ_s1476,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3439,3801,0.904762,3,KNOWN
cba-He_gTzSCeuQ_s1476,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-He_gTzSCeuQ_s2862,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3321,3527,0.941593,37,KNOWN
cba-He_gTzSCeuQ_s2862,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-He_gTzSCeuQ_s4248,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3416,3496,0.977117,11,KNOWN
cba-He_gTzSCeuQ_s4248,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-He_gTzSCeuQ_s5634,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2940,4781,0.614934,30,KNOWN
cba-He_gTzSCeuQ_s5634,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-He_gTzSCeuQ_s7020,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3819,4104,0.930556,13,KNOWN
cba-He_gTzSCeuQ_s7020,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-He_gTzSCeuQ_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3328,3523,0.944649,0,KNOWN
cba-He_gTzSCeuQ_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-MnUJJaAE92U_s5354,FULL_ADMITTED,UNKNOWN,UNRESOLVED,4001,4268,0.937441,19,KNOWN
cba-MnUJJaAE92U_s5354,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-MnUJJaAE92U_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,4810,4852,0.991344,0,KNOWN
cba-MnUJJaAE92U_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-SMI0am_NG-c_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,1020,1700,0.600000,534,KNOWN
cba-SMI0am_NG-c_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-cW8E3iYZVBI_s1216,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2259,2782,0.812006,100,KNOWN
cba-cW8E3iYZVBI_s1216,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-cW8E3iYZVBI_s2342,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2514,4311,0.583159,9,KNOWN
cba-cW8E3iYZVBI_s2342,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-cW8E3iYZVBI_s3468,FULL_ADMITTED,UNKNOWN,UNRESOLVED,3385,3788,0.893611,4,KNOWN
cba-cW8E3iYZVBI_s3468,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-cW8E3iYZVBI_s4594,FULL_ADMITTED,UNKNOWN,UNRESOLVED,2920,3731,0.782632,4,KNOWN
cba-cW8E3iYZVBI_s4594,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-cW8E3iYZVBI_s5720,FULL_ADMITTED,UNKNOWN,UNRESOLVED,5091,5707,0.892062,0,KNOWN
cba-cW8E3iYZVBI_s5720,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
cba-cW8E3iYZVBI_s90,FULL_ADMITTED,UNKNOWN,UNRESOLVED,4460,5488,0.812682,41,KNOWN
cba-cW8E3iYZVBI_s90,SEALED_2S,UNKNOWN,UNRESOLVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,KNOWN
e3E_WApsLV4_s1222,FULL_ADMITTED,720p30,232,2896,3362,0.861392,4,KNOWN
e3E_WApsLV4_s1222,SEALED_2S,720p30,232,63,64,0.984375,0,KNOWN
e3E_WApsLV4_s2354,FULL_ADMITTED,720p30,232,2334,3744,0.623397,1,KNOWN
e3E_WApsLV4_s2354,SEALED_2S,720p30,232,47,53,0.886792,1,KNOWN
e3E_WApsLV4_s3486,FULL_ADMITTED,720p30,232,2927,3613,0.810130,17,KNOWN
e3E_WApsLV4_s3486,SEALED_2S,720p30,232,57,75,0.760000,0,KNOWN
e3E_WApsLV4_s4618,FULL_ADMITTED,720p30,232,2727,3595,0.758554,0,KNOWN
e3E_WApsLV4_s4618,SEALED_2S,720p30,232,58,69,0.840580,0,KNOWN
e3E_WApsLV4_s5750,FULL_ADMITTED,720p30,232,3248,3372,0.963227,0,KNOWN
e3E_WApsLV4_s5750,SEALED_2S,720p30,232,71,71,1.000000,0,KNOWN
e3E_WApsLV4_s90,FULL_ADMITTED,720p30,232,2303,2750,0.837455,62,KNOWN
e3E_WApsLV4_s90,SEALED_2S,720p30,232,69,72,0.958333,1,KNOWN
euroleague-QmoPpJI7OCI_s10670,FULL_ADMITTED,720p25,UNRESOLVED,1083,1169,0.926433,41,KNOWN
euroleague-QmoPpJI7OCI_s10670,SEALED_2S,720p25,UNRESOLVED,12,12,1.000000,0,KNOWN
