control_id,control_set,rater,tile_index,angle_degrees,state,answered,conversion_ok,span_px,perp_p1,perp_p2,perp_p3,signed_p1,signed_p2,signed_p3,pos_p1,pos_p2,pos_p3,angle_error_deg,passed,fail_reason
G396_PRACTICE_001,practice,astra,1,0.0,VISIBLE,1,1,198.000,0.258,0.258,0.258,-0.258,-0.258,-0.258,0.0815,0.9065,0.4231,0.000,1,
G396_PRACTICE_002,practice,astra,2,30.0,VISIBLE,1,1,178.734,0.493,0.069,0.438,-0.493,-0.069,-0.438,0.1202,0.8649,0.4039,0.136,1,
G396_PRACTICE_003,practice,astra,3,60.0,VISIBLE,1,1,175.636,0.162,0.049,0.006,-0.162,0.049,0.006,0.1393,0.8711,0.5631,0.069,1,
G396_PRACTICE_004,practice,astra,4,0.0,VISIBLE,1,1,199.000,0.254,0.254,0.254,-0.254,-0.254,-0.254,0.0837,0.9128,0.3878,0.000,1,
G396_PRACTICE_005,practice,astra,5,30.0,VISIBLE,1,1,184.564,0.166,0.159,0.709,-0.166,0.159,-0.709,0.1135,0.8825,0.4179,0.101,1,
G396_PRACTICE_006,practice,astra,6,60.0,VISIBLE,1,1,190.394,0.128,0.099,0.061,0.128,-0.099,-0.061,0.0996,0.8929,0.3926,0.068,1,
G396_PRACTICE_007,practice,astra,1,0.0,VISIBLE,1,1,195.000,0.130,0.130,0.130,-0.130,-0.130,-0.130,0.0838,0.8963,0.4088,0.000,1,
G396_PRACTICE_008,practice,astra,2,30.0,VISIBLE,1,1,191.760,0.184,0.322,0.227,-0.184,-0.322,-0.227,0.0953,0.8943,0.4033,0.041,1,
G396_PRACTICE_009,practice,astra,3,60.0,VISIBLE,1,1,174.270,0.203,0.359,0.392,-0.203,-0.359,-0.392,0.1422,0.8683,0.4352,0.051,1,
G396_PRACTICE_010,practice,astra,4,0.0,VISIBLE,1,1,198.000,0.100,0.100,0.100,-0.100,-0.100,-0.100,0.0891,0.9141,0.4391,0.000,1,
G396_PRACTICE_011,practice,astra,5,30.0,VISIBLE,1,1,191.760,0.287,0.425,0.794,-0.287,-0.425,-0.794,0.1005,0.8995,0.4385,0.041,1,
G396_PRACTICE_012,practice,astra,6,60.0,VISIBLE,1,1,180.100,0.435,0.377,0.210,0.435,0.377,0.210,0.1286,0.8790,0.4552,0.018,1,
G396_PRACTICE_013,practice,astra,1,0.0,VISIBLE,1,1,199.000,0.332,0.332,0.332,0.332,0.332,0.332,0.0822,0.9113,0.3988,0.000,1,
G396_PRACTICE_014,practice,astra,2,30.0,VISIBLE,1,1,183.698,0.131,0.305,0.192,-0.131,-0.305,0.192,0.1173,0.8827,0.4196,0.054,1,
G396_PRACTICE_015,practice,astra,3,60.0,VISIBLE,1,1,187.297,0.035,0.441,0.310,0.035,0.441,0.310,0.1082,0.8886,0.4312,0.124,1,
G396_PRACTICE_016,practice,astra,4,0.0,VISIBLE,1,1,199.000,0.276,0.276,0.276,-0.276,-0.276,-0.276,0.0743,0.9035,0.3993,0.000,1,
G396_PRACTICE_017,practice,astra,5,30.0,VISIBLE,1,1,189.528,0.008,0.280,0.181,-0.008,-0.280,0.181,0.1067,0.8964,0.3997,0.082,1,
G396_PRACTICE_018,practice,astra,6,60.0,VISIBLE,1,1,182.332,0.023,0.215,0.248,-0.023,-0.215,-0.248,0.1288,0.8885,0.4554,0.060,1,
G396_PRACTICE_019,practice,astra,1,0.0,VISIBLE,1,1,195.000,0.094,0.094,0.094,0.094,0.094,0.094,0.0927,0.9052,0.4135,0.000,1,
G396_PRACTICE_020,practice,astra,2,30.0,VISIBLE,1,1,188.162,0.233,0.140,0.008,-0.233,-0.140,-0.008,0.1093,0.8933,0.4359,0.029,1,
G396_PRACTICE_021,practice,astra,3,60.0,VISIBLE,1,1,173.404,0.356,0.700,0.301,0.356,0.700,0.301,0.1422,0.8647,0.4260,0.114,1,
G396_PRACTICE_022,practice,astra,4,0.0,VISIBLE,1,1,201.000,0.050,0.050,0.050,0.050,0.050,0.050,0.0741,0.9116,0.3907,0.000,1,
G396_PRACTICE_023,practice,astra,5,30.0,VISIBLE,1,1,196.224,0.311,0.181,0.146,-0.311,-0.181,0.146,0.0953,0.9129,0.4069,0.038,1,
G396_PRACTICE_024,practice,astra,6,60.0,VISIBLE,1,1,184.564,0.383,0.057,0.122,0.383,0.057,0.122,0.1079,0.8769,0.4681,0.101,1,
G396_PRACTICE_025,practice,astra,1,0.0,VISIBLE,1,1,191.000,0.427,0.427,0.427,-0.427,-0.427,-0.427,0.0969,0.8927,0.4302,0.000,1,
G396_PRACTICE_026,practice,astra,2,30.0,VISIBLE,1,1,188.162,0.305,0.211,0.054,-0.305,-0.211,0.054,0.1132,0.8972,0.4492,0.029,1,
G396_PRACTICE_027,practice,astra,3,60.0,VISIBLE,1,1,189.528,0.032,0.304,0.209,0.032,0.304,0.209,0.1012,0.8909,0.3999,0.082,1,
G396_PRACTICE_028,practice,astra,4,0.0,VISIBLE,1,1,203.000,0.045,0.045,0.045,-0.045,-0.045,-0.045,0.0746,0.9204,0.4162,0.000,1,
G396_PRACTICE_029,practice,astra,5,30.0,VISIBLE,1,1,182.332,0.062,0.130,0.628,-0.062,0.130,0.628,0.1309,0.8906,0.4275,0.060,1,
G396_PRACTICE_030,practice,astra,6,60.0,VISIBLE,1,1,192.627,0.304,0.058,0.543,0.304,-0.058,0.543,0.1023,0.9049,0.4589,0.108,1,
