player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,468,0.768,2429.6,5.19,216.09,252,0.538,0,15,0.0321,0,0.0,1121.5,0.0
2,green,278,0.456,2561.1,9.21,216.15,0,0.0,0,0,0.0,0,0.0,935.9,0.0
3,green,433,0.711,5109.3,11.8,242.4,45,0.104,0,2,0.0046,0,0.0,644.6,0.0
4,green,43,0.071,153.0,3.56,54.01,0,0.0,0,0,0.0,0,0.0,899.8,0.0
5,green,180,0.296,353.5,1.96,117.83,0,0.0,0,0,0.0,0,0.0,624.8,0.0
6,green,468,0.768,2617.6,5.59,225.14,158,0.338,0,0,0.0,0,0.0,792.0,0.0
7,green,321,0.527,3298.7,10.28,237.31,34,0.106,0,4,0.0125,0,0.0,614.1,0.0
8,green,315,0.517,795.6,2.53,155.54,0,0.0,0,0,0.0,0,0.0,673.2,0.0
9,green,500,0.821,4556.6,9.11,249.24,7,0.014,0,0,0.0,0,0.0,838.8,0.0
10,green,500,0.821,4085.4,8.17,245.45,0,0.0,0,0,0.0,0,0.0,729.0,0.0
