frame,timestamp,ball_x2d,ball_y2d,detected
0,0.0,,,0
1,0.017,,,0
2,0.033,-129,1325,1
3,0.05,-130,1325,1
4,0.067,-132,1325,1
5,0.083,-135,1325,1
6,0.1,-138,1324,1
7,0.117,-142,1323,1
8,0.133,-144,1322,1
9,0.15,-148,1320,1
10,0.167,-154,1318,1
11,0.184,-158,1317,1
12,0.2,-158,1317,1
13,0.217,-158,1317,1
14,0.234,-158,1317,1
15,0.25,-158,1317,1
16,0.267,-158,1317,1
17,0.284,-158,1317,1
18,0.3,-158,1317,1
19,0.317,-158,1317,1
20,0.334,-158,1317,1
21,0.35,-158,1317,1
22,0.367,-158,1317,1
23,0.384,-158,1317,1
24,0.4,-158,1317,1
25,0.417,-158,1317,1
26,0.434,-158,1317,1
27,0.45,-158,1317,1
28,0.467,-158,1317,1
29,0.484,-158,1317,1
30,0.501,-158,1317,1
31,0.517,-158,1317,1
32,0.534,-158,1317,1
33,0.551,-158,1317,1
34,0.567,-158,1317,1
35,0.584,-158,1317,1
36,0.601,-158,1317,1
37,0.617,-158,1317,1
38,0.634,-158,1317,1
39,0.651,-158,1317,1
40,0.667,-158,1317,1
41,0.684,-158,1317,1
42,0.701,-158,1317,1
43,0.717,-158,1317,1
44,0.734,-158,1317,1
45,0.751,-158,1317,1
46,0.767,-158,1317,1
47,0.784,-158,1317,1
48,0.801,268,1073,1
49,0.817,266,1051,1
50,0.834,263,1028,1
51,0.851,260,1002,1
52,0.868,253,978,1
53,0.884,249,947,1
54,0.901,247,931,1
55,0.918,251,917,1
56,0.934,259,886,1
57,0.951,275,855,1
58,0.968,275,855,1
59,0.984,292,822,1
60,1.001,291,810,1
61,1.018,290,785,1
62,1.034,284,794,1
63,1.051,278,802,1
64,1.068,258,803,1
65,1.084,247,819,1
66,1.101,247,819,1
67,1.118,236,834,1
68,1.134,221,856,1
69,1.151,221,856,1
70,1.168,201,907,1
71,1.185,199,922,1
72,1.201,198,943,1
73,1.218,199,951,1
74,1.235,201,959,1
75,1.251,201,985,1
76,1.268,204,999,1
77,1.285,212,1014,1
78,1.301,222,1025,1
79,1.318,234,1041,1
80,1.335,234,1041,1
81,1.351,236,1077,1
82,1.368,241,1084,1
83,1.385,238,1092,1
84,1.401,241,1106,1
85,1.418,235,1115,1
86,1.435,239,1117,1
87,1.451,239,1117,1
88,1.468,240,1121,1
89,1.485,241,1125,1
90,1.502,241,1129,1
91,1.518,241,1129,1
92,1.535,241,1129,1
93,1.552,241,1129,1
94,1.568,241,1129,1
95,1.585,241,1129,1
96,1.602,241,1129,1
97,1.618,241,1129,1
98,1.635,241,1129,1
99,1.652,241,1129,1
100,1.668,241,1129,1
101,1.685,241,1129,1
102,1.702,241,1129,1
