input_path,bytes,width_px,height_px,sha256
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_001.jpg,36271,512,640,f050c86b482056e56c7791a15e439dd14f4f7f252ba4fadebd8de4e8b228d01a
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_002.jpg,71256,512,640,e407ab3e77e8a5a59f611f717d8fa824b5ebfb123e83bbbcb738c531d613bbcb
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_003.jpg,51836,512,640,2855306e80f480e8872883eb097afc7e5d6c029b5e01baca73a3c8bcfe7d6a2e
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_004.jpg,43701,512,640,475c3d6e83c701a2d05e1b79ec1176ba46ef50c4c73274c30eb3f39c5d2c53cc
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_005.jpg,49425,512,640,2b59d03042eac2be60c76087883fef110c9ecf83cc3932c03fa675c8baeded05
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_006.jpg,62222,512,640,87e1def5d0302c3d4f0aac2a17f7410fb2dc74adb3aeb9390b41c2d8c86efea1
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_007.jpg,46509,512,640,bc7920627817c2495a1a4eaeef0293f0130a214b8b44ecd34c5ef535a09a1294
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_008.jpg,68741,512,640,e4648d8e13671ecaabcaef523679852a90cba48c93ecbcdec0ab795600d1b378
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_009.jpg,66501,512,640,9e04ca9662572a3e61bc950a0df10087054668a9b3bb6cbe41947061967df904
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_010.jpg,57328,512,640,4e7ea07c51a1e42b4500a5ac3dc083f38910a4a50217418cfcc0cd578e2e7601
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_011.jpg,76829,512,640,1b91d0f4c7950626e9b3db99983078f789f52d76d140a46e018a56f571528d36
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_012.jpg,51130,512,640,d786f22b7f4f9611e5f53cf02fb41aa23da38b7c77fa4ccb05e3be7bbb278877
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_013.jpg,26383,512,640,ef33f9e16f130ba7083879846527da487b183927ac8947896383d12a90fd4be3
C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g273_detector_precision_blind_sample_artifact\blind_renders\blind_014.jpg,44622,512,640,7da40d44813d1951241bd23117fb152df2d7cbcc84c3ee53603ea3df89cc8ff2
