control_id,control_set,rater,tile_index,angle_degrees,state,answered,conversion_ok,span_px,perp_p1,perp_p2,perp_p3,signed_p1,signed_p2,signed_p3,pos_p1,pos_p2,pos_p3,angle_error_deg,passed,fail_reason
G396_QUALIFICATION_001,qualification,astra,2,30.0,VISIBLE,1,1,188.162,0.709,0.616,0.984,-0.709,-0.616,-0.984,0.1038,0.8878,0.4268,0.029,1,
G396_QUALIFICATION_002,qualification,astra,3,60.0,VISIBLE,1,1,185.432,0.696,0.130,0.105,0.696,-0.130,0.105,0.1114,0.8840,0.4323,0.255,1,
G396_QUALIFICATION_003,qualification,astra,4,0.0,VISIBLE,1,1,175.000,0.332,0.332,0.332,0.332,0.332,0.332,0.0987,0.8279,0.3779,0.000,1,
G396_QUALIFICATION_004,qualification,astra,5,30.0,VISIBLE,1,1,185.930,0.577,0.617,0.122,-0.577,-0.617,0.122,0.1225,0.8973,0.5443,0.012,1,
G396_QUALIFICATION_005,qualification,astra,6,60.0,VISIBLE,1,1,181.466,0.018,0.290,0.025,-0.018,0.290,0.025,0.1270,0.8831,0.4350,0.097,1,
G396_QUALIFICATION_006,qualification,astra,1,0.0,VISIBLE,1,1,198.000,1.306,1.306,1.306,-1.306,-1.306,-1.306,0.0870,0.9120,0.4328,0.000,1,
G396_QUALIFICATION_007,qualification,astra,2,30.0,VISIBLE,1,1,193.992,0.104,0.100,0.403,0.104,0.100,-0.403,0.0989,0.9072,0.4369,0.001,1,
G396_QUALIFICATION_008,qualification,astra,3,60.0,VISIBLE,1,1,183.698,0.061,0.114,0.018,-0.061,0.114,-0.018,0.1065,0.8719,0.4145,0.054,1,
G396_QUALIFICATION_009,qualification,astra,4,0.0,VISIBLE,1,1,199.000,0.173,0.173,0.173,-0.173,-0.173,-0.173,0.0837,0.9128,0.4003,0.000,1,
G396_QUALIFICATION_010,qualification,astra,5,30.0,VISIBLE,1,1,188.664,0.146,0.919,0.653,-0.146,-0.919,-0.653,0.1107,0.8968,0.4487,0.235,1,
G396_QUALIFICATION_011,qualification,astra,6,60.0,VISIBLE,1,1,184.564,0.835,0.510,0.842,0.835,0.510,0.842,0.1121,0.8811,0.4537,0.101,1,
G396_QUALIFICATION_012,qualification,astra,1,0.0,VISIBLE,1,1,202.000,0.206,0.206,0.206,0.206,0.206,0.206,0.0702,0.9118,0.3827,0.000,1,
G396_QUALIFICATION_013,qualification,astra,2,30.0,VISIBLE,1,1,191.760,0.263,0.124,0.256,0.263,0.124,0.256,0.0930,0.8920,0.4347,0.041,1,
G396_QUALIFICATION_014,qualification,astra,3,60.0,VISIBLE,1,1,179.234,0.022,0.421,0.015,-0.022,0.421,-0.015,0.1014,0.8482,0.4430,0.141,1,
G396_QUALIFICATION_015,qualification,astra,4,0.0,VISIBLE,1,1,194.000,0.170,0.170,0.170,-0.170,-0.170,-0.170,0.0950,0.9033,0.4283,0.000,1,
G396_QUALIFICATION_016,qualification,astra,5,30.0,VISIBLE,1,1,184.564,0.951,0.626,0.592,-0.951,-0.626,-0.592,0.1107,0.8797,0.4466,0.101,1,
G396_QUALIFICATION_017,qualification,astra,6,60.0,VISIBLE,1,1,189.528,0.819,1.091,0.826,0.819,1.091,0.826,0.1064,0.8961,0.4480,0.082,1,
G396_QUALIFICATION_018,qualification,astra,1,0.0,VISIBLE,1,1,197.000,0.236,0.236,0.236,-0.236,-0.236,-0.236,0.0912,0.9121,0.3912,0.000,1,
G396_QUALIFICATION_019,qualification,astra,2,30.0,VISIBLE,1,1,188.162,0.254,0.348,0.021,0.254,0.348,-0.021,0.1063,0.8903,0.4293,0.029,1,
G396_QUALIFICATION_020,qualification,astra,3,60.0,VISIBLE,1,1,185.065,0.002,0.543,0.223,0.002,0.543,-0.223,0.1092,0.8803,0.4358,0.167,1,
G396_QUALIFICATION_021,qualification,astra,4,0.0,VISIBLE,1,1,197.000,0.081,0.081,0.081,-0.081,-0.081,-0.081,0.0925,0.9134,0.4009,0.000,1,
G396_QUALIFICATION_022,qualification,astra,5,30.0,VISIBLE,1,1,195.359,0.339,0.709,0.444,-0.339,-0.709,-0.444,0.0863,0.9003,0.4522,0.109,1,
G396_QUALIFICATION_023,qualification,astra,6,60.0,VISIBLE,1,1,185.930,0.384,0.344,0.011,-0.384,-0.344,-0.011,0.1107,0.8854,0.4580,0.012,1,
G396_QUALIFICATION_024,qualification,astra,1,0.0,VISIBLE,1,1,194.000,1.184,1.184,1.184,-1.184,-1.184,-1.184,0.0959,0.9042,0.4250,0.000,1,
G396_QUALIFICATION_025,qualification,astra,2,30.0,VISIBLE,1,1,185.930,0.009,0.049,0.284,-0.009,-0.049,-0.284,0.1073,0.8820,0.4303,0.012,1,
G396_QUALIFICATION_026,qualification,astra,3,60.0,VISIBLE,1,1,185.065,0.422,0.118,0.147,-0.422,0.118,-0.147,0.1081,0.8792,0.4311,0.167,1,
G396_QUALIFICATION_027,qualification,astra,4,0.0,VISIBLE,1,1,197.000,1.327,1.327,1.327,-1.327,-1.327,-1.327,0.0849,0.9058,0.4266,0.000,1,
G396_QUALIFICATION_028,qualification,astra,5,30.0,VISIBLE,1,1,194.494,0.459,0.412,0.452,0.459,-0.412,0.452,0.0833,0.8936,0.4249,0.256,1,
G396_QUALIFICATION_029,qualification,astra,6,60.0,VISIBLE,1,1,180.602,0.054,0.754,0.087,-0.054,0.754,0.087,0.1093,0.8618,0.4417,0.256,1,
G396_QUALIFICATION_030,qualification,astra,1,0.0,VISIBLE,1,1,191.000,0.673,0.673,0.673,-0.673,-0.673,-0.673,0.0987,0.8946,0.4029,0.000,1,
G396_QUALIFICATION_001,qualification,sol,2,30.0,VISIBLE,1,1,185.930,0.343,0.384,0.087,-0.343,-0.384,0.087,0.0981,0.8728,0.5012,0.012,1,
G396_QUALIFICATION_002,qualification,sol,3,60.0,VISIBLE,1,1,187.800,0.696,1.968,1.131,0.696,1.968,1.131,0.1114,0.8939,0.5166,0.388,1,
G396_QUALIFICATION_003,qualification,sol,4,0.0,VISIBLE,1,1,200.000,1.332,1.332,1.332,1.332,1.332,1.332,0.0779,0.9112,0.5362,0.000,1,
G396_QUALIFICATION_004,qualification,sol,5,30.0,VISIBLE,1,1,172.905,0.577,0.055,0.184,-0.577,-0.055,0.184,0.1225,0.8430,0.4864,0.173,1,
G396_QUALIFICATION_005,qualification,sol,6,60.0,VISIBLE,1,1,192.769,0.884,2.754,1.587,0.884,2.754,1.587,0.0955,0.8986,0.4821,0.556,1,
G396_QUALIFICATION_006,qualification,sol,1,0.0,VISIBLE,1,1,200.000,2.306,2.306,2.306,-2.306,-2.306,-2.306,0.0870,0.9203,0.4953,0.000,1,
G396_QUALIFICATION_007,qualification,sol,2,30.0,VISIBLE,1,1,202.921,1.030,0.498,0.697,-1.030,-0.498,-0.697,0.0824,0.9279,0.5098,0.150,1,
G396_QUALIFICATION_008,qualification,sol,3,60.0,VISIBLE,1,1,190.895,0.707,1.346,0.741,0.707,1.346,0.741,0.0843,0.8797,0.5174,0.192,1,
G396_QUALIFICATION_009,qualification,sol,4,0.0,VISIBLE,1,1,205.000,0.173,0.173,0.173,-0.173,-0.173,-0.173,0.0628,0.9170,0.4962,0.000,1,
G396_QUALIFICATION_010,qualification,sol,5,30.0,VISIBLE,1,1,183.698,0.220,0.046,1.383,0.220,0.046,1.383,0.1050,0.8704,0.4967,0.054,1,
G396_QUALIFICATION_011,qualification,sol,6,60.0,VISIBLE,1,1,178.734,0.969,0.546,1.440,0.969,0.546,1.440,0.1028,0.8476,0.4744,0.136,1,
G396_QUALIFICATION_012,qualification,sol,1,0.0,VISIBLE,1,1,200.000,0.206,0.206,0.206,0.206,0.206,0.206,0.0660,0.8993,0.4618,0.000,1,
G396_QUALIFICATION_013,qualification,sol,2,30.0,VISIBLE,1,1,203.789,1.237,0.206,1.404,-1.237,-0.206,-1.404,0.0822,0.9313,0.5060,0.290,1,
G396_QUALIFICATION_014,qualification,sol,3,60.0,VISIBLE,1,1,196.329,15.674,3.019,9.511,15.674,3.019,9.511,0.0381,0.8544,0.4659,3.696,0,PERPENDICULAR
G396_QUALIFICATION_015,qualification,sol,4,0.0,VISIBLE,1,1,192.000,0.170,0.170,0.170,-0.170,-0.170,-0.170,0.0950,0.8950,0.4825,0.000,1,
G396_QUALIFICATION_016,qualification,sol,5,30.0,VISIBLE,1,1,210.642,23.896,2.874,13.702,23.896,2.874,13.702,0.0317,0.9050,0.4748,5.727,0,PERPENDICULAR
G396_QUALIFICATION_017,qualification,sol,6,60.0,VISIBLE,1,1,199.324,0.720,0.043,0.388,0.720,-0.043,0.388,0.0821,0.9126,0.5095,0.219,1,
G396_QUALIFICATION_018,qualification,sol,1,0.0,VISIBLE,1,1,205.000,0.236,0.236,0.236,-0.236,-0.236,-0.236,0.0704,0.9245,0.5079,0.000,1,
G396_QUALIFICATION_019,qualification,sol,2,30.0,VISIBLE,1,1,184.938,0.620,2.312,1.283,0.620,2.312,1.283,0.1006,0.8712,0.4887,0.524,1,
G396_QUALIFICATION_020,qualification,sol,3,60.0,VISIBLE,1,1,184.201,0.364,0.677,0.107,-0.364,0.677,0.107,0.1035,0.8710,0.4751,0.324,1,
G396_QUALIFICATION_021,qualification,sol,4,0.0,VISIBLE,1,1,205.000,0.081,0.081,0.081,-0.081,-0.081,-0.081,0.0675,0.9217,0.4967,0.000,1,
G396_QUALIFICATION_022,qualification,sol,5,30.0,VISIBLE,1,1,201.556,1.705,0.807,1.140,-1.705,-0.807,-1.140,0.0848,0.9246,0.4972,0.255,1,
G396_QUALIFICATION_023,qualification,sol,6,60.0,VISIBLE,1,1,199.822,0.017,0.120,0.185,0.017,0.120,0.185,0.0828,0.9154,0.5065,0.029,1,
G396_QUALIFICATION_024,qualification,sol,1,0.0,VISIBLE,1,1,187.000,0.184,0.184,0.184,-0.184,-0.184,-0.184,0.0959,0.8750,0.5042,0.000,1,
G396_QUALIFICATION_025,qualification,sol,2,30.0,VISIBLE,1,1,195.233,0.277,1.585,0.556,-0.277,1.585,0.556,0.0887,0.9021,0.5197,0.546,1,
