audit_id,sport,fit,group_count,configuration_space,hypotheses_tested,valid_hypotheses,sampled_fraction,line_support_px,supported_groups,all_four_within_12px,oracle_all_four_within_12px,oracle_group_indices,oracle_line_distances_px
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball,True,832,17126139363840,16384,2630,9.566662779e-10,12681.018,14,False,False,680;602;342;505,15.043;6.860;3.448;12.773
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball,True,657,6646465549440,16384,2589,2.46506957392e-09,24050.308,23,False,False,361;535;537;255,13.063;3.404;10.175;20.563
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball,True,82,1511187840,16384,1659,1.08418024327e-05,3383.351,11,False,False,32;29;35;65,10.178;15.206;1.230;7.347
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball,True,900,23462456565600,16384,3054,6.98307099864e-10,16005.516,26,False,False,862;511;885;116,8.414;14.314;17.311;1.905
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball,True,336,450689339520,16384,2335,3.63532006713e-08,13790.342,18,False,True,89;156;85;20,2.210;2.901;3.715;4.625
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball,True,334,440006688864,16384,2667,3.72357975791e-08,6231.368,13,False,False,89;156;296;258,18.277;14.452;5.311;13.474
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball,True,726,9918682567200,16384,2734,1.65183227601e-09,23397.096,21,False,False,687;246;207;455,20.881;10.335;26.179;3.195
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball,True,617,5166683565120,16384,2932,3.17108640262e-09,8118.625,8,False,False,588;302;602;56,16.741;15.168;1.397;11.357
wnba__wnba_01_1080p__s01__f001600,wnba,True,729,10083990780864,16384,2944,1.62475356791e-09,26153.567,21,False,False,417;438;92;535,0.944;9.000;20.876;59.693
wnba__wnba_01_1080p__s03__f004062,wnba,True,647,6250070000160,16384,2950,2.62141064013e-09,16366.828,19,False,False,602;289;516;402,8.969;14.487;1.251;6.492
wnba__wnba_01_1080p__s06__f007539,wnba,True,665,6976920000960,16384,3231,2.34831415549e-09,16646.874,17,False,False,52;110;466;20,6.938;7.474;13.908;6.102
wnba__wnba_02__s11__f021983,wnba,True,374,693106200864,16384,2876,2.36385130873e-08,4197.391,12,False,False,309;20;198;53,21.265;7.950;14.652;8.200
wnba__wnba_04__s06__f012223,wnba,True,499,2205314100864,16384,3072,7.42932718454e-09,8389.639,17,False,False,381;305;428;479,9.181;6.080;28.397;15.689
wnba__wnba_06__s03__f007237,wnba,True,681,7674639658560,16384,3204,2.13482335705e-09,7221.707,11,False,False,635;667;412;224,10.291;18.678;18.529;19.446
wnba__wnba_06__s07__f014099,wnba,True,727,9973557712800,16384,3282,1.64274379031e-09,9085.070,22,False,False,632;506;336;431,16.320;19.928;6.998;6.699
wnba__wnba_06__s09__f018997,wnba,True,671,7232732511840,16384,3147,2.26525728322e-09,8299.108,18,False,False,490;556;620;386,4.938;8.092;21.164;10.422
wnba__wnba_07__s08__f016801,wnba,True,835,17374941642240,16384,3190,9.4296719594e-10,14504.990,16,False,False,82;223;460;132,2.061;16.799;15.733;10.015
