# prereg_sha256=7125552f4c772e15c05057a5beaf460b1dc152496007cd20ea14c521f893cc30 k_launch=18
event_id,ts,div,home,away,p_model,p_close,y,loss_model,loss_close,d
20190802-E1-luton-middlesbrough,2019-08-02T12:00:00,E1,Luton,Middlesbrough,0.4692307831032507,0.4692307831032507,1,0.28171596160518847,0.28171596160518847,0.0
20190803-E1-barnsley-fulham,2019-08-03T12:00:00,E1,Barnsley,Fulham,0.565989844336875,0.565989844336875,0,0.32034450389248004,0.32034450389248004,0.0
20190803-E1-blackburn-charlton,2019-08-03T12:00:00,E1,Blackburn,Charlton,0.48227861368835895,0.48461538391000425,1,0.2680354338444474,0.2656213025022323,-0.0024141313422150756
20190803-E1-brentford-birmingham,2019-08-03T12:00:00,E1,Brentford,Birmingham,0.5000569417408606,0.5038560527904091,0,0.25005694498322245,0.25387092193353156,0.003813976950309106
20190803-E1-millwall-preston,2019-08-03T12:00:00,E1,Millwall,Preston,0.4068133851423041,0.4256927065595196,0,0.16549713033094063,0.18121428041796925,0.01571715008702862
20190803-E1-nott_m_forest-west_brom,2019-08-03T12:00:00,E1,Nott'm Forest,West Brom,0.47630958318406286,0.48461538391000425,1,0.2742516526648499,0.2656213025022323,-0.008630350162617595
20190803-E1-reading-sheffield_weds,2019-08-03T12:00:00,E1,Reading,Sheffield Weds,0.4303973343188279,0.4452926133011479,1,0.3244471967510971,0.30770028485826983,-0.016746911892827288
20190803-E1-stoke-qpr,2019-08-03T12:00:00,E1,Stoke,QPR,0.38079800221341886,0.39753086070901034,1,0.38341111406289324,0.3629690637980259,-0.02044205026486734
20190803-E1-swansea-hull,2019-08-03T12:00:00,E1,Swansea,Hull,0.5462565614863678,0.5421994803816259,1,0.2058831079941743,0.20958131576285333,0.0036982077686790182
20190803-E1-wigan-cardiff,2019-08-03T12:00:00,E1,Wigan,Cardiff,0.4491155062823279,0.45153059859118955,1,0.3034737254185759,0.3008186842817389,-0.002655041136837011
20190804-E1-bristol_city-leeds,2019-08-04T12:00:00,E1,Bristol City,Leeds,0.5318450798382918,0.5256410166278315,1,0.2191690292716154,0.22501644510587726,0.005847415834261849
20190805-E1-huddersfield-derby,2019-08-05T12:00:00,E1,Huddersfield,Derby,0.4483818451505529,0.45012786491776785,1,0.3042825887595086,0.3023593649398926,-0.0019232238196159601
20190810-E1-birmingham-bristol_city,2019-08-10T12:00:00,E1,Birmingham,Bristol City,0.4257506561640629,0.429292937198861,0,0.1812636212241301,0.18429242592882525,0.0030288047046951594
20190810-E1-cardiff-luton,2019-08-10T12:00:00,E1,Cardiff,Luton,0.5380137795845011,0.5307692168967493,1,0.2134312678537979,0.22017752781168992,0.00674625995789202
20190810-E1-charlton-stoke,2019-08-10T12:00:00,E1,Charlton,Stoke,0.3977832276965786,0.4044664909646016,1,0.3626650408435509,0.35466016038401493,-0.008004880459535957
20190810-E1-derby-swansea,2019-08-10T12:00:00,E1,Derby,Swansea,0.482961491125749,0.4820512837755453,0,0.23325180191040693,0.2323734401896513,-0.000878361720755616
20190810-E1-fulham-blackburn,2019-08-10T12:00:00,E1,Fulham,Blackburn,0.5907082206487174,0.5768262000284481,0,0.34893620194197383,0.3327284650392592,-0.016207736902714653
20190810-E1-hull-reading,2019-08-10T12:00:00,E1,Hull,Reading,0.5303767535237326,0.526854209812071,1,0.22054599363090902,0.22386693877255975,0.0033209451416507385
20190810-E1-leeds-nott_m_forest,2019-08-10T12:00:00,E1,Leeds,Nott'm Forest,0.5576269822086771,0.5459183834831397,0,0.3109478512871563,0.2980268814248444,-0.012920969862311893
20190810-E1-middlesbrough-brentford,2019-08-10T12:00:00,E1,Middlesbrough,Brentford,0.5143449620214448,0.5089514134334602,0,0.2645507399568414,0.25903154123591693,-0.00551919872092449
20190810-E1-preston-wigan,2019-08-10T12:00:00,E1,Preston,Wigan,0.4561729034296703,0.4552429494414207,1,0.2957479109641147,0.2967602441332825,0.0010123331691678228
20190810-E1-qpr-huddersfield,2019-08-10T12:00:00,E1,QPR,Huddersfield,0.43784650243682416,0.4365482242717614,0,0.19170955969615985,0.19057435211482807,-0.0011352075813317875
20190810-E1-sheffield_weds-barnsley,2019-08-10T12:00:00,E1,Sheffield Weds,Barnsley,0.5334363689494709,0.5244215859524264,0,0.28455435971799603,0.2750179998128581,-0.009536359905137903
20190810-E1-west_brom-millwall,2019-08-10T12:00:00,E1,West Brom,Millwall,0.4283616927243781,0.4303797537118,0,0.1834937397936945,0.1852267324050296,0.0017329926113351102
20190816-D1-bayern_munich-hertha,2019-08-16T12:00:00,D1,Bayern Munich,Hertha,0.7327935082963756,0.7327935082963755,1,0.07139930920855911,0.07139930920855916,5.551115123125783e-17
20190816-E1-huddersfield-fulham,2019-08-16T12:00:00,E1,Huddersfield,Fulham,0.45798432482886303,0.46153846624099776,1,0.2937809921312234,0.28994082333809706,-0.0038401687931263195
20190817-D1-dortmund-augsburg,2019-08-17T12:00:00,D1,Dortmund,Augsburg,0.666388191782425,0.7246376747208955,1,0.11129683858220002,0.07582441018311538,-0.03547242839908464
20190817-D1-freiburg-mainz,2019-08-17T12:00:00,D1,Freiburg,Mainz,0.4356271766815105,0.4923076843133809,1,0.3185166837004829,0.2577514874072417,-0.06076519629324123
20190817-D1-leverkusen-paderborn,2019-08-17T12:00:00,D1,Leverkusen,Paderborn,0.7371958284572491,0.7415507038348751,1,0.06906603258027166,0.06679603868824845,-0.002269993892023217
20190817-D1-m_gladbach-schalke_04,2019-08-17T12:00:00,D1,M'gladbach,Schalke 04,0.4816867386041384,0.5128205159555369,0,0.23202211414709156,0.2629848815849031,0.03096276743781151
20190817-D1-werder_bremen-fortuna_dusseldorf,2019-08-17T12:00:00,D1,Werder Bremen,Fortuna Dusseldorf,0.5631054300584791,0.5778894497949016,1,0.19087686524438646,0.17817731659445085,-0.01269954864993561
20190817-D1-wolfsburg-fc_koln,2019-08-17T12:00:00,D1,Wolfsburg,FC Koln,0.5492562224675768,0.5609137071196023,1,0.20316995298419865,0.1927967725954504,-0.010373180388748265
20190817-E1-barnsley-charlton,2019-08-17T12:00:00,E1,Barnsley,Charlton,0.5605669696075838,0.5510204193344812,1,0.1931013881998622,0.2015826638545851,0.008481275654722897
20190817-E1-blackburn-middlesbrough,2019-08-17T12:00:00,E1,Blackburn,Middlesbrough,0.48453362543345085,0.48461538391000425,0,0.23477283417568365,0.2348520703222408,7.92361465571656e-05
20190817-E1-brentford-hull,2019-08-17T12:00:00,E1,Brentford,Hull,0.552094684710265,0.5410256339718367,0,0.30480854088532694,0.2927087366146278,-0.012099804270699122
20190817-E1-bristol_city-qpr,2019-08-17T12:00:00,E1,Bristol City,QPR,0.5383317228651812,0.5307692168967493,0,0.2898010438429942,0.28171596160518847,-0.00808508223780574
20190817-E1-luton-west_brom,2019-08-17T12:00:00,E1,Luton,West Brom,0.5457632767680917,0.5358974335461678,1,0.2063310007324613,0.21539119218903371,0.009060191456572414
20190817-E1-millwall-sheffield_weds,2019-08-17T12:00:00,E1,Millwall,Sheffield Weds,0.37445897873248646,0.38386309037635075,0,0.14021952675337673,0.1473508721532824,0.007131345399905675
20190817-E1-nott_m_forest-birmingham,2019-08-17T12:00:00,E1,Nott'm Forest,Birmingham,0.36877992402439774,0.37864077332804336,1,0.3984387843146451,0.386087288570372,-0.012351495744273078
20190817-E1-stoke-derby,2019-08-17T12:00:00,E1,Stoke,Derby,0.4106603339252636,0.41708542924286013,1,0.3473212420090818,0.3397893968009807,-0.007531845208101129
20190817-E1-swansea-preston,2019-08-17T12:00:00,E1,Swansea,Preston,0.4986394149108701,0.4948717844478398,1,0.2513624362809146,0.25515451414690954,0.0037920778659949472
20190817-E1-wigan-leeds,2019-08-17T12:00:00,E1,Wigan,Leeds,0.5281416841785121,0.5205128163589137,0,0.2789336385669153,0.27093359199388817,-0.008000046573027109
20190818-D1-ein_frankfurt-hoffenheim,2019-08-18T12:00:00,D1,Ein Frankfurt,Hoffenheim,0.6307138520756391,0.63309353875371,0,0.3977999632000912,0.4008074288116953,0.0030074656116040877
20190818-D1-union_berlin-rb_leipzig,2019-08-18T12:00:00,D1,Union Berlin,RB Leipzig,0.575106768505684,0.5829145707571398,1,0.1805342581696824,0.17396025528670092,-0.006574002882981489
20190818-E1-reading-cardiff,2019-08-18T12:00:00,E1,Reading,Cardiff,0.49653441172053264,0.4948717844478398,1,0.2534775985815902,0.25515451414690954,0.001676915565319348
20190820-E1-birmingham-barnsley,2019-08-20T12:00:00,E1,Birmingham,Barnsley,0.4530620282668897,0.4578005196183742,0,0.20526520145730795,0.2095813157628534,0.00431611430554546
20190820-E1-derby-bristol_city,2019-08-20T12:00:00,E1,Derby,Bristol City,0.49394528992301145,0.4948717844478398,1,0.25609136959110496,0.25515451414690954,-0.0009368554441954169
20190820-E1-hull-blackburn,2019-08-20T12:00:00,E1,Hull,Blackburn,0.5571124600491189,0.5510204193344812,0,0.31037429314198106,0.30362350252354753,-0.006750790618433533
20190820-E1-middlesbrough-wigan,2019-08-20T12:00:00,E1,Middlesbrough,Wigan,0.4492365233025602,0.45408161651686035,0,0.2018134538689717,0.20619011445856503,0.004376660589593323
20190820-E1-sheffield_weds-luton,2019-08-20T12:00:00,E1,Sheffield Weds,Luton,0.5083131515372978,0.5051282155521601,0,0.2583822600257799,0.25515451414690954,-0.0032277458788703695
20190821-E1-cardiff-huddersfield,2019-08-21T12:00:00,E1,Cardiff,Huddersfield,0.4439292599801235,0.4489795806655187,1,0.3092146679062531,0.30362350252354764,-0.0055911653827054875
20190821-E1-charlton-nott_m_forest,2019-08-21T12:00:00,E1,Charlton,Nott'm Forest,0.42552996654185715,0.4329113968364933,0,0.18107575242511406,0.1874122775109238,0.00633652508580973
