# prereg_sha256=5dbdff4299ccdc29672d65fb9b6495b3981f35a4c9b7e65a909091e496b30ecc k_at_launch=17
game_id,game_date,unit,home,away,elapsed,score_home,score_away,elo_until_date,prior_stale,p0_asof,model,neutral_0.5,market,y,loss_model,loss_market,d
401704627,2024-10-22,2024-25,BOS,NYK,24.0,74,55,2024-10-22,False,0.7422290523658258,0.9928603353286287,0.9767251595030697,0.945,1.0,5.0974811619627195e-05,0.0030250000000000055,0.0029740251883803785
401704628,2024-10-22,2024-25,LAL,MIN,24.0,55,42,2024-10-22,False,0.5715510807769593,0.9318015893326264,0.9133750629455446,0.795,1.0,0.004651023217555743,0.042024999999999986,0.037373976782444245
401704629,2024-10-23,2024-25,DET,IND,24.0,58,49,2024-10-23,False,0.2139386872489172,0.6488413300537836,0.8271107069244198,0.605,0.0,0.420995071585963,0.366025,-0.05497007158596301
401704630,2024-10-23,2024-25,ATL,BKN,24.0,51,55,2024-10-23,False,0.6656272639381892,0.4536375842896047,0.337598477457585,0.565,1.0,0.2985118893008987,0.18922500000000006,-0.10928688930089867
401704631,2024-10-23,2024-25,MIA,ORL,24.0,54,58,2024-10-23,False,0.6272976794588195,0.42487970723210355,0.337598477457585,0.385,0.0,0.18052276561763803,0.148225,-0.03229776561763803
401704632,2024-10-23,2024-25,PHI,MIL,24.0,47,58,2024-10-23,False,0.6161481425097487,0.17272358494349083,0.12459435667052643,0.135,0.0,0.02983343679573129,0.018225,-0.01160843679573129
401704633,2024-10-23,2024-25,TOR,CLE,24.0,49,69,2024-10-23,False,0.3218981534034265,0.007715645262122539,0.018079665399400147,0.08499999999999996,0.0,5.953118181091398e-05,0.007224999999999994,0.007165468818189079
401704634,2024-10-23,2024-25,HOU,CHA,24.0,60,49,2024-10-23,False,0.8013230995226078,0.96000867121857,0.8754056433294736,0.89,0.0,0.9216166488148445,0.7921,-0.12951664881484448
401704637,2024-10-23,2024-25,LAC,PHX,24.0,39,47,2024-10-23,False,0.5514982969634826,0.22767693846606973,0.20100061452710255,0.19999999999999996,0.0,0.051836788309282504,0.03999999999999998,-0.011836788309282524
401704641,2024-10-24,2024-25,DEN,OKC,24.0,51,58,2024-10-24,False,0.6141162240846465,0.29868375043367545,0.23168898110268366,0.37,0.0,0.08921198277312613,0.1369,0.047688017226873866
