audit_id,rank,x_px,y_px,nearest_target_distance_px,on_any_target
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,0,300.9983420225926,932.5716756017599,503.0082319837533,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,1,303.48820637649425,927.5012096017954,500.5180311533971,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,2,313.69205168742553,927.0461053904697,490.31684620442155,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,3,1016.2417674611825,273.9748374548029,517.1395584055801,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,4,1119.765967280765,940.9631968591185,315.95622762991854,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,5,1119.9765949641492,944.0555892604006,316.2890579115804,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,6,1124.9453182704995,1017.0053646638557,332.52944350845496,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,7,1177.2876680560935,328.8002101031441,512.3382930063066,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,8,1197.919119351974,326.82149063266326,504.66888045708157,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,9,1205.5027172594253,436.6288971067071,404.8614560627455,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,10,1435.658493578361,829.456713585106,51.87634277570823,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,11,1437.2037317263814,830.8655502040073,53.69611329388456,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,0,2.1190604322050195,636.2420301055589,1364.84796945483,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,1,3.352959394059848,529.1531052213669,1380.8019372665453,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,2,5.3439791797711536,952.8196659773037,1353.1506869051336,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,3,43.767489235623856,413.71977867848545,1358.3876687315537,False
