cell,source_frame,n_raw_keys,n_mapped_names,n_structures,n_named_landmarks,n_on_player,n_false_proposals,raw_keys,names,structures,stage_contours,stage_perimeter,stage_vertices,stage_quad_ok,stage_area,stage_side,stage_support
R0,0,0,0,0,0,0,0,,,,3601,671,31,4,0,0,0
R0,7584,0,0,0,0,0,0,,,,2079,512,47,5,2,0,0
R0,15168,0,0,0,0,0,0,,,,3272,634,36,7,2,0,0
R0,22752,0,0,0,0,0,0,,,,769,196,42,1,0,0,0
R0,30335,0,0,0,0,0,0,,,,3265,621,35,3,1,0,0
R0,37919,0,0,0,0,0,0,,,,3396,692,43,6,0,0,0
R0,45503,0,0,0,0,0,0,,,,1577,361,29,0,0,0,0
R0,53087,0,0,0,0,0,0,,,,3385,690,49,5,0,0,0
R0,60671,0,0,0,0,0,0,,,,562,145,22,2,0,0,0
R0,68255,0,0,0,0,0,0,,,,3342,651,39,5,2,0,0
R0,75839,0,0,0,0,0,0,,,,3170,613,42,8,0,0,0
R0,83423,0,0,0,0,0,0,,,,3256,653,45,6,0,0,0
R0,91006,0,0,0,0,0,0,,,,2836,629,33,5,1,0,0
R0,98590,0,0,0,0,0,0,,,,2449,526,46,7,1,0,0
R0,106174,0,0,0,0,0,0,,,,3434,648,31,7,0,0,0
R0,113758,0,0,0,0,0,0,,,,581,153,24,1,1,0,0
R0,121342,0,0,0,0,0,0,,,,2267,505,56,3,1,0,0
R0,128926,0,0,0,0,0,0,,,,1257,301,49,4,2,0,0
R0,136510,0,0,0,0,0,0,,,,1846,487,62,1,0,0,0
R0,144094,0,0,0,0,0,0,,,,3157,643,54,2,1,0,0
R0,151677,0,0,0,0,0,0,,,,2930,625,28,9,4,0,0
R0,159261,0,0,0,0,0,0,,,,908,180,21,0,0,0,0
R0,166845,0,0,0,0,0,0,,,,638,177,33,0,0,0,0
R0,174429,0,0,0,0,0,0,,,,732,156,27,4,0,0,0
R1,0,0,0,0,0,0,0,,,,3601,671,31,4,0,0,0
R1,7584,0,0,0,0,0,0,,,,2079,512,47,5,2,0,0
R1,15168,0,0,0,0,0,0,,,,3272,634,36,7,2,0,0
R1,22752,0,0,0,0,0,0,,,,769,196,42,1,0,0,0
R1,30335,0,0,0,0,0,0,,,,3265,621,35,3,1,0,0
R1,37919,0,0,0,0,0,0,,,,3396,692,43,6,0,0,0
R1,45503,0,0,0,0,0,0,,,,1577,361,29,0,0,0,0
R1,53087,0,0,0,0,0,0,,,,3385,690,49,5,0,0,0
R1,60671,0,0,0,0,0,0,,,,562,145,22,2,0,0,0
R1,68255,0,0,0,0,0,0,,,,3342,651,39,5,2,0,0
R1,75839,0,0,0,0,0,0,,,,3170,613,42,8,0,0,0
R1,83423,0,0,0,0,0,0,,,,3256,653,45,6,0,0,0
R1,91006,0,0,0,0,0,0,,,,2836,629,33,5,1,0,0
R1,98590,0,0,0,0,0,0,,,,2449,526,46,7,1,0,0
R1,106174,0,0,0,0,0,0,,,,3434,648,31,7,0,0,0
R1,113758,0,0,0,0,0,0,,,,581,153,24,1,1,0,0
R1,121342,0,0,0,0,0,0,,,,2267,505,56,3,1,0,0
R1,128926,0,0,0,0,0,0,,,,1257,301,49,4,2,0,0
R1,136510,0,0,0,0,0,0,,,,1846,487,62,1,0,0,0
R1,144094,0,0,0,0,0,0,,,,3157,643,54,2,1,0,0
R1,151677,0,0,0,0,0,0,,,,2930,625,28,9,4,0,0
R1,159261,0,0,0,0,0,0,,,,908,180,21,0,0,0,0
R1,166845,0,0,0,0,0,0,,,,638,177,33,0,0,0,0
R1,174429,0,0,0,0,0,0,,,,732,156,27,4,0,0,0
R2,0,0,0,0,0,0,0,,,,3601,671,31,4,0,0,0
R2,7584,0,0,0,0,0,0,,,,2079,512,47,5,2,0,0
R2,15168,0,0,0,0,0,0,,,,3272,634,36,7,2,0,0
R2,22752,0,0,0,0,0,0,,,,769,196,42,1,0,0,0
R2,30335,0,0,0,0,0,0,,,,3265,621,35,3,1,0,0
R2,37919,0,0,0,0,0,0,,,,3396,692,43,6,0,0,0
R2,45503,0,0,0,0,0,0,,,,1577,361,29,0,0,0,0
R2,53087,0,0,0,0,0,0,,,,3385,690,49,5,0,0,0
R2,60671,0,0,0,0,0,0,,,,562,145,22,2,0,0,0
R2,68255,0,0,0,0,0,0,,,,3342,651,39,5,2,0,0
R2,75839,0,0,0,0,0,0,,,,3170,613,42,8,0,0,0
R2,83423,0,0,0,0,0,0,,,,3256,653,45,6,0,0,0
R2,91006,0,0,0,0,0,0,,,,2836,629,33,5,1,0,0
R2,98590,0,0,0,0,0,0,,,,2449,526,46,7,1,0,0
R2,106174,0,0,0,0,0,0,,,,3434,648,31,7,0,0,0
R2,113758,0,0,0,0,0,0,,,,581,153,24,1,1,0,0
R2,121342,0,0,0,0,0,0,,,,2267,505,56,3,1,0,0
R2,128926,0,0,0,0,0,0,,,,1257,301,49,4,2,0,0
R2,136510,0,0,0,0,0,0,,,,1846,487,62,1,0,0,0
R2,144094,0,0,0,0,0,0,,,,3157,643,54,2,1,0,0
R2,151677,0,0,0,0,0,0,,,,2930,625,28,9,4,0,0
R2,159261,0,0,0,0,0,0,,,,908,180,21,0,0,0,0
R2,166845,0,0,0,0,0,0,,,,638,177,33,0,0,0,0
R2,174429,0,0,0,0,0,0,,,,732,156,27,4,0,0,0
R3,0,0,0,0,0,0,0,,,,3601,671,31,4,4,0,0
R3,7584,0,0,0,0,0,0,,,,2079,512,47,5,2,0,0
R3,15168,0,0,0,0,0,0,,,,3272,634,36,7,2,0,0
R3,22752,0,0,0,0,0,0,,,,769,196,42,1,0,0,0
