pass2_ordinal,source_sample_ordinal,frame_index
1,1,56
2,7,631
3,13,1206
4,19,1782
5,25,2357
6,31,2933
7,37,3508
8,43,4084
9,49,4659
10,55,5235
11,61,5810
12,67,6386
13,73,6961
14,79,7536
15,85,8112
16,91,8687
17,97,9263
18,103,9838
19,109,10414
20,115,10989
21,121,11565
22,127,12140
23,133,12716
24,139,13291
25,145,13867
26,151,14442
27,157,15017
28,163,15593
29,169,16168
30,175,16744
31,181,17319
32,187,17895
33,193,18470
34,199,19046
35,205,19621
36,211,20197
37,217,20772
38,223,21348
39,229,21923
40,235,22498
41,241,23074
42,247,23649
43,253,24225
44,259,24800
45,265,25376
46,271,25951
47,277,26527
48,283,27102
49,289,27678
50,295,28253
