sample_ordinal,frame_index,seed,spacing_previous
1,56,16120260903,
2,151,16120260903,95
3,247,16120260903,96
4,343,16120260903,96
5,439,16120260903,96
6,535,16120260903,96
7,631,16120260903,96
8,727,16120260903,96
9,823,16120260903,96
10,919,16120260903,96
11,1015,16120260903,96
12,1111,16120260903,96
13,1206,16120260903,95
14,1302,16120260903,96
15,1398,16120260903,96
16,1494,16120260903,96
17,1590,16120260903,96
18,1686,16120260903,96
19,1782,16120260903,96
20,1878,16120260903,96
21,1974,16120260903,96
22,2070,16120260903,96
23,2166,16120260903,96
24,2261,16120260903,95
25,2357,16120260903,96
26,2453,16120260903,96
27,2549,16120260903,96
28,2645,16120260903,96
29,2741,16120260903,96
30,2837,16120260903,96
31,2933,16120260903,96
32,3029,16120260903,96
33,3125,16120260903,96
34,3221,16120260903,96
35,3316,16120260903,95
36,3412,16120260903,96
37,3508,16120260903,96
38,3604,16120260903,96
39,3700,16120260903,96
40,3796,16120260903,96
41,3892,16120260903,96
42,3988,16120260903,96
43,4084,16120260903,96
44,4180,16120260903,96
45,4276,16120260903,96
46,4371,16120260903,95
47,4467,16120260903,96
48,4563,16120260903,96
49,4659,16120260903,96
50,4755,16120260903,96
51,4851,16120260903,96
52,4947,16120260903,96
53,5043,16120260903,96
54,5139,16120260903,96
55,5235,16120260903,96
56,5331,16120260903,96
57,5426,16120260903,95
58,5522,16120260903,96
59,5618,16120260903,96
60,5714,16120260903,96
61,5810,16120260903,96
62,5906,16120260903,96
63,6002,16120260903,96
64,6098,16120260903,96
65,6194,16120260903,96
66,6290,16120260903,96
67,6386,16120260903,96
68,6481,16120260903,95
69,6577,16120260903,96
70,6673,16120260903,96
71,6769,16120260903,96
72,6865,16120260903,96
73,6961,16120260903,96
74,7057,16120260903,96
75,7153,16120260903,96
76,7249,16120260903,96
77,7345,16120260903,96
78,7441,16120260903,96
79,7536,16120260903,95
80,7632,16120260903,96
81,7728,16120260903,96
82,7824,16120260903,96
83,7920,16120260903,96
84,8016,16120260903,96
85,8112,16120260903,96
86,8208,16120260903,96
