frame_index,shot_id,state,accepted,reason,inliers,inlier_share,hull_share,p90_residual_px,chain_length,n_fit,n_val,inlier_share_permille,hull_share_permille,section
000000,000000,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,nba__Hm7V4jOxlUI_s3633.mp4
000000,000000,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,nba__m7K0J4wzDn4_s2070.mp4
000000,000000,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-mhi_fuXUPRE_s90.mp4
000342,000001,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-mhi_fuXUPRE_s90.mp4
002430,000002,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-mhi_fuXUPRE_s90.mp4
002760,000003,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-mhi_fuXUPRE_s90.mp4
003828,000004,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-mhi_fuXUPRE_s90.mp4
000000,000000,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-qrWmO434a0k_s90.mp4
003150,000001,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-qrWmO434a0k_s90.mp4
003312,000002,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-qrWmO434a0k_s90.mp4
003510,000003,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-qrWmO434a0k_s90.mp4
003546,000004,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__eurocup-qrWmO434a0k_s90.mp4
000000,000000,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__euroleague-a_GxgklBtEs_s6660.mp4
000000,000000,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__nbl-YqB41CtbFqA_s90.mp4
001390,000001,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__nbl-YqB41CtbFqA_s90.mp4
002095,000002,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__nbl-YqB41CtbFqA_s90.mp4
002645,000003,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__nbl-YqB41CtbFqA_s90.mp4
003005,000004,ANCHOR,True,anchor,000000,0.0,0.0,0.0,000000,000000,000000,000000,000000,basketball__nbl-YqB41CtbFqA_s90.mp4
