geometry,rank,source_element,score,refined_score,labelled_gap_px,modulo_gap_px,attaining_element,sym_class,reachability,selectability,margin
G1_SYNTH_QUAD,1,identity,0.843367227,0.827332310,1.128714,1.128714,identity,0,NOT_REACHED,AMBIGUOUS,
G1_SYNTH_QUAD,2,identity,0.843367227,0.827332310,1.128714,1.128714,identity,0,NOT_REACHED,AMBIGUOUS,
G1_SYNTH_QUAD,3,identity,0.842967278,0.827332310,1.128714,1.128714,identity,0,NOT_REACHED,AMBIGUOUS,
G1_SYNTH_QUAD,4,mirror_x,0.842967278,0.827332310,1.128714,1.128714,identity,0,NOT_REACHED,AMBIGUOUS,
G1_SYNTH_QUAD,5,mirror_x,0.842967278,0.827332310,1.128714,1.128714,identity,0,NOT_REACHED,AMBIGUOUS,
G1_SYNTH_QUAD,6,identity,0.842167457,0.827332310,1.128714,1.128714,identity,0,NOT_REACHED,AMBIGUOUS,
G1_SYNTH_QUAD,7,mirror_x,0.840681143,0.824366891,415.451904,1.128714,mirror_x,0,NOT_REACHED,AMBIGUOUS,
G1_SYNTH_QUAD,8,mirror_x,0.840681066,0.824366891,415.451904,1.128714,mirror_x,0,NOT_REACHED,AMBIGUOUS,
G2_WIDE,1,identity,0.873902977,0.833043928,469.380798,1.068990,mirror_x,0,NOT_REACHED,AMBIGUOUS,
G2_WIDE,2,identity,0.873676549,0.833217448,469.382904,1.065403,mirror_x,0,NOT_REACHED,AMBIGUOUS,
G2_WIDE,3,identity,0.873329584,0.833043928,469.380798,1.068975,mirror_x,0,NOT_REACHED,AMBIGUOUS,
G2_WIDE,4,mirror_x,0.873276677,0.833043928,469.380798,1.069007,mirror_x,0,NOT_REACHED,AMBIGUOUS,
G2_WIDE,5,mirror_x,0.873276677,0.833217448,469.382904,1.065420,mirror_x,0,NOT_REACHED,AMBIGUOUS,
G2_WIDE,6,identity,0.873103156,0.833043928,469.380798,1.068934,mirror_x,0,NOT_REACHED,AMBIGUOUS,
G2_WIDE,7,mirror_x,0.873050249,0.833164464,1.065403,1.065403,identity,0,NOT_REACHED,AMBIGUOUS,
G2_WIDE,8,identity,0.872650377,0.833164464,1.065420,1.065420,identity,0,NOT_REACHED,AMBIGUOUS,
G3_TIGHT,1,identity,0.801793237,0.702449319,1.116470,1.116470,identity,0,REACHED,AMBIGUOUS,
G3_TIGHT,2,identity,0.801793237,0.702449319,1.116484,1.116484,identity,0,REACHED,AMBIGUOUS,
G3_TIGHT,3,identity,0.801166860,0.702449319,1.116484,1.116484,identity,0,REACHED,AMBIGUOUS,
G3_TIGHT,4,mirror_x,0.800880010,0.699755798,341.075317,1.116484,mirror_x,0,REACHED,AMBIGUOUS,
G3_TIGHT,5,mirror_x,0.800880010,0.699755798,341.075317,1.116470,mirror_x,0,REACHED,AMBIGUOUS,
G3_TIGHT,6,mirror_x,0.800253710,0.699755798,341.075317,1.116484,mirror_x,0,REACHED,AMBIGUOUS,
G3_TIGHT,7,identity,0.798495575,0.734200176,0.715846,0.715846,identity,0,REACHED,AMBIGUOUS,
G3_TIGHT,8,identity,0.798095703,0.734200176,0.715832,0.715832,identity,0,REACHED,AMBIGUOUS,
G4_OFF_AXIS,1,mirror_x,0.829520988,0.771239008,0.763620,0.763620,identity,0,REACHED,AMBIGUOUS,
G4_OFF_AXIS,2,identity,0.827121447,0.771239008,0.763656,0.763656,identity,0,REACHED,AMBIGUOUS,
G4_OFF_AXIS,3,mirror_x,0.827121447,0.771239008,0.763656,0.763656,identity,0,REACHED,AMBIGUOUS,
G4_OFF_AXIS,4,identity,0.826495377,0.766319773,416.034851,0.763620,mirror_x,0,REACHED,AMBIGUOUS,
G4_OFF_AXIS,5,mirror_x,0.826495377,0.766319773,416.034851,0.763620,mirror_x,0,REACHED,AMBIGUOUS,
G4_OFF_AXIS,6,identity,0.826321703,0.770839135,0.766354,0.766354,identity,0,REACHED,AMBIGUOUS,
G4_OFF_AXIS,7,mirror_x,0.826321703,0.770839135,0.766354,0.766354,identity,0,REACHED,AMBIGUOUS,
G4_OFF_AXIS,8,identity,0.823696041,0.766319773,416.034821,0.763656,mirror_x,0,REACHED,AMBIGUOUS,
