ledger_line,sport,game_id,historical_rows,current_rows,current_frames,coordinate_space,verdict_class,jump_gate_eligible,current_rows_match_historical,source_present
1,mlb,mlb_2026-08-30_0f36e8cc,116,4043,2254,undeclared,coordinate_contract_rejection,false,false,false
2,baseball,mlb_2026-08-30_10893dca,116,3061,1857,undeclared,coordinate_contract_rejection,false,false,false
7,baseball,kbo_01,98,5300,3036,undeclared,coordinate_contract_rejection,false,false,false
19,baseball,mlb_2026-08-30_10893dca,116,3061,1857,undeclared,coordinate_contract_rejection,false,false,false
21,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
22,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
23,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
26,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
27,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
35,soccer,soccer_HxBqMbI5kqQ,256,91744,7979,image_px,coordinate_contract_rejection,false,false,false
48,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
50,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
51,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
61,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
62,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
63,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
66,baseball,npb_09,96,41348,8630,image_px,coordinate_contract_rejection,false,false,false
68,soccer,soccer_HxBqMbI5kqQ,256,91744,7979,image_px,coordinate_contract_rejection,false,false,false
75,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
77,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
78,baseball,npb_09,96,41348,8630,image_px,coordinate_contract_rejection,false,false,false
79,baseball,npb_10,7,43625,9259,image_px,coordinate_contract_rejection,false,false,false
80,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
81,mlb,mlb_nLoG6gvC-Nk,393,23345,9600,image_px,coordinate_contract_rejection,false,false,false
89,baseball,kbo_10,150,82967,18966,image_px,coordinate_contract_rejection,false,false,false
90,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
91,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
92,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
93,baseball,npb_09,96,41348,8630,image_px,coordinate_contract_rejection,false,false,false
94,baseball,npb_10,7,43625,9259,image_px,coordinate_contract_rejection,false,false,false
97,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
98,kbo,kbo_Y4HqKr58TZk,7,18736,9190,image_px,coordinate_contract_rejection,false,false,false
100,kbo,kbo_cyRosVcG7I,34,21208,8951,image_px,coordinate_contract_rejection,false,false,false
104,kbo,kbo_Y4HqKr58TZk,7,18736,9190,image_px,coordinate_contract_rejection,false,false,false
105,soccer,soccer_HxBqMbI5kqQ,256,91744,7979,image_px,coordinate_contract_rejection,false,false,false
106,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
108,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
109,baseball,npb_09,96,41348,8630,image_px,coordinate_contract_rejection,false,false,false
110,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
112,baseball,npb_10,7,43625,9259,image_px,coordinate_contract_rejection,false,false,false
116,mlb,mlb_gDv5xF2AA2E,496,49475,9342,image_px,coordinate_contract_rejection,false,false,false
119,mlb,mlb_nLoG6gvC-Nk,393,23345,9600,image_px,coordinate_contract_rejection,false,false,false
120,kbo,kbo_Y4HqKr58TZk,7,18736,9190,image_px,coordinate_contract_rejection,false,false,false
122,kbo,kbo_cyRosVcG7I,34,21208,8951,image_px,coordinate_contract_rejection,false,false,false
123,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
124,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
125,baseball,npb_09,96,41348,8630,image_px,coordinate_contract_rejection,false,false,false
126,baseball,npb_10,7,43625,9259,image_px,coordinate_contract_rejection,false,false,false
127,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
129,baseball,kbo_10,150,82967,18966,image_px,coordinate_contract_rejection,false,false,false
131,mlb,mlb_gDv5xF2AA2E,496,49475,9342,image_px,coordinate_contract_rejection,false,false,false
132,kbo,kbo_Y4HqKr58TZk,7,18736,9190,image_px,coordinate_contract_rejection,false,false,false
136,baseball,npb_01,36,36684,8775,image_px,coordinate_contract_rejection,false,false,false
139,baseball,kbo_10,150,82967,18966,image_px,coordinate_contract_rejection,false,false,false
140,baseball,npb_02,184,43025,9396,image_px,coordinate_contract_rejection,false,false,false
160,baseball,npb_09,96,41348,8630,image_px,coordinate_contract_rejection,false,false,false
161,baseball,npb_04,110,32744,9228,image_px,coordinate_contract_rejection,false,false,false
163,mlb,mlb_nLoG6gvC-Nk,393,23345,9600,image_px,coordinate_contract_rejection,false,false,false
170,mlb,mlb_nLoG6gvC-Nk,393,23345,9600,image_px,coordinate_contract_rejection,false,false,false
