Season,Date,Match,Score,Odds_1,Odds_2
2023-2024,14.04.2024,Boston Celtics - Washington Wizards,132:122,1.22,4.47
2023-2024,14.04.2024,Cleveland Cavaliers - Charlotte Hornets,110:120,1.10,7.28
2023-2024,14.04.2024,Golden State Warriors - Utah Jazz,123:116,1.18,5.07
2023-2024,14.04.2024,Indiana Pacers - Atlanta Hawks,157:115,1.10,7.38
2023-2024,14.04.2024,Los Angeles Clippers - Houston Rockets,105:116,2.46,1.56
2023-2024,14.04.2024,Memphis Grizzlies - Denver Nuggets,111:126,6.92,1.11
2023-2024,14.04.2024,Miami Heat - Toronto Raptors,118:103,1.06,10.25
2023-2024,14.04.2024,Minnesota Timberwolves - Phoenix Suns,106:125,1.72,2.16
2023-2024,14.04.2024,New Orleans Pelicans - Los Angeles Lakers,108:124,1.82,2.01
2023-2024,14.04.2024,New York Knicks - Chicago Bulls,120:119 AET,1.11,6.89
2023-2024,14.04.2024,Oklahoma City Thunder - Dallas Mavericks,135:86,1.05,11.19
2023-2024,14.04.2024,Orlando Magic - Milwaukee Bucks,113:88,1.43,2.88
2023-2024,14.04.2024,Philadelphia 76ers - Brooklyn Nets,107:86,1.12,6.42
2023-2024,14.04.2024,Sacramento Kings - Portland Trail Blazers,121:82,1.05,10.83
2023-2024,14.04.2024,San Antonio Spurs - Detroit Pistons,123:95,1.50,2.62
2023-2024,12.04.2024,Boston Celtics - Charlotte Hornets,131:98,1.34,3.31
2023-2024,12.04.2024,Cleveland Cavaliers - Indiana Pacers,129:120,1.68,2.22
2023-2024,12.04.2024,Dallas Mavericks - Detroit Pistons,89:107,1.16,5.41
2023-2024,12.04.2024,Golden State Warriors - New Orleans Pelicans,109:114,1.54,2.51
2023-2024,12.04.2024,Los Angeles Clippers - Utah Jazz,109:110,1.07,9.09
2023-2024,12.04.2024,Memphis Grizzlies - Los Angeles Lakers,120:123,8.77,1.07
2023-2024,12.04.2024,Miami Heat - Toronto Raptors,125:103,1.09,7.49
2023-2024,12.04.2024,Minnesota Timberwolves - Atlanta Hawks,109:106,1.13,6.04
2023-2024,12.04.2024,New York Knicks - Brooklyn Nets,111:107,1.15,5.68
2023-2024,12.04.2024,Oklahoma City Thunder - Milwaukee Bucks,125:107,1.11,6.91
2023-2024,12.04.2024,Philadelphia 76ers - Orlando Magic,125:113,1.40,3.01
2023-2024,12.04.2024,Portland Trail Blazers - Houston Rockets,107:116,2.87,1.42
2023-2024,12.04.2024,Sacramento Kings - Phoenix Suns,107:108,2.56,1.52
2023-2024,12.04.2024,San Antonio Spurs - Denver Nuggets,121:120,5.49,1.16
2023-2024,12.04.2024,Washington Wizards - Chicago Bulls,127:129,1.78,2.07
2023-2024,11.04.2024,Boston Celtics - New York Knicks,109:118,1.66,2.25
2023-2024,11.04.2024,Detroit Pistons - Chicago Bulls,105:127,5.23,1.17
2023-2024,11.04.2024,Portland Trail Blazers - Golden State Warriors,92:100,6.78,1.11
2023-2024,11.04.2024,Sacramento Kings - New Orleans Pelicans,123:135,1.81,2.02
2023-2024,11.04.2024,Utah Jazz - Houston Rockets,124:121,5.01,1.18
2023-2024,10.04.2024,Atlanta Hawks - Charlotte Hornets,114:115,1.24,4.14
2023-2024,10.04.2024,Brooklyn Nets - Toronto Raptors,106:102,1.14,5.78
2023-2024,10.04.2024,Cleveland Cavaliers - Memphis Grizzlies,110:98,1.04,12.03
2023-2024,10.04.2024,Denver Nuggets - Minnesota Timberwolves,116:107,1.34,3.32
2023-2024,10.04.2024,Los Angeles Clippers - Phoenix Suns,108:124,4.93,1.18
2023-2024,10.04.2024,Miami Heat - Dallas Mavericks,92:111,2.19,1.70
2023-2024,10.04.2024,Milwaukee Bucks - Orlando Magic,117:99,2.03,1.80
2023-2024,10.04.2024,Oklahoma City Thunder - San Antonio Spurs,127:89,1.05,10.31
2023-2024,09.04.2024,Atlanta Hawks - Miami Heat,111:117 AET,2.34,1.62
2023-2024,09.04.2024,Charlotte Hornets - Dallas Mavericks,104:130,6.33,1.12
2023-2024,09.04.2024,Chicago Bulls - New York Knicks,117:128,2.61,1.51
2023-2024,09.04.2024,Houston Rockets - Orlando Magic,118:106,2.18,1.71
2023-2024,09.04.2024,Los Angeles Lakers - Golden State Warriors,120:134,2.10,1.75
2023-2024,09.04.2024,Memphis Grizzlies - San Antonio Spurs,87:102,2.77,1.46
2023-2024,09.04.2024,Milwaukee Bucks - Boston Celtics,104:91,1.60,2.38
2023-2024,09.04.2024,Minnesota Timberwolves - Washington Wizards,130:121,1.05,11.13
2023-2024,09.04.2024,Oklahoma City Thunder - Sacramento Kings,112:105,1.48,2.69
2023-2024,09.04.2024,Philadelphia 76ers - Detroit Pistons,120:102,1.07,8.64
2023-2024,09.04.2024,Phoenix Suns - Los Angeles Clippers,92:105,1.25,4.02
2023-2024,09.04.2024,Portland Trail Blazers - New Orleans Pelicans,100:110,7.27,1.10
2023-2024,09.04.2024,Toronto Raptors - Indiana Pacers,123:140,7.24,1.10
2023-2024,09.04.2024,Utah Jazz - Denver Nuggets,95:111,9.68,1.06
2023-2024,07.04.2024,Boston Celtics - Portland Trail Blazers,124:107,1.06,9.66
2023-2024,07.04.2024,Brooklyn Nets - Sacramento Kings,77:107,4.88,1.18
2023-2024,07.04.2024,Charlotte Hornets - Oklahoma City Thunder,118:121,3.43,1.32
2023-2024,07.04.2024,Dallas Mavericks - Houston Rockets,147:136 AET,1.24,4.09
2023-2024,07.04.2024,Golden State Warriors - Utah Jazz,118:110,1.12,6.41
2023-2024,07.04.2024,Indiana Pacers - Miami Heat,117:115,1.69,2.22
2023-2024,07.04.2024,Los Angeles Clippers - Cleveland Cavaliers,120:118,1.56,2.48
2023-2024,07.04.2024,Los Angeles Lakers - Minnesota Timberwolves,117:127,2.12,1.74
2023-2024,07.04.2024,Milwaukee Bucks - New York Knicks,109:122,1.54,2.53
2023-2024,07.04.2024,Orlando Magic - Chicago Bulls,113:98,1.35,3.26
2023-2024,07.04.2024,Phoenix Suns - New Orleans Pelicans,105:113,1.44,2.81
2023-2024,07.04.2024,San Antonio Spurs - Philadelphia 76ers,126:133 AET,2.43,1.57
2023-2024,07.04.2024,Toronto Raptors - Washington Wizards,130:122,1.50,2.65
