Season,Date,Match,Score,Odds_1,Odds_2
2022-2023,05.04.2023,Atlanta Hawks - Washington Wizards,134:116,1.12,6.48
2022-2023,05.04.2023,Boston Celtics - Toronto Raptors,97:93,1.94,1.90
2022-2023,05.04.2023,Dallas Mavericks - Sacramento Kings,123:119,1.41,3.02
2022-2023,05.04.2023,Detroit Pistons - Brooklyn Nets,108:123,5.10,1.17
2022-2023,05.04.2023,Indiana Pacers - New York Knicks,129:138,2.61,1.52
2022-2023,05.04.2023,Los Angeles Clippers - Los Angeles Lakers,125:118,1.96,1.87
2022-2023,05.04.2023,Milwaukee Bucks - Chicago Bulls,105:92,1.46,2.80
2022-2023,05.04.2023,New Orleans Pelicans - Memphis Grizzlies,138:131 AET,1.40,3.05
2022-2023,04.04.2023,Brooklyn Nets - Minnesota Timberwolves,102:107,2.27,1.68
2022-2023,04.04.2023,Charlotte Hornets - Toronto Raptors,100:120,9.49,1.07
2022-2023,04.04.2023,Chicago Bulls - Atlanta Hawks,105:123,1.44,2.86
2022-2023,04.04.2023,Detroit Pistons - Miami Heat,105:118,7.47,1.10
2022-2023,04.04.2023,Golden State Warriors - Oklahoma City Thunder,136:125,1.32,3.51
2022-2023,04.04.2023,Houston Rockets - Denver Nuggets,124:103,5.51,1.16
2022-2023,04.04.2023,Memphis Grizzlies - Portland Trail Blazers,119:109,1.04,12.58
2022-2023,04.04.2023,New Orleans Pelicans - Sacramento Kings,103:121,1.57,2.49
2022-2023,04.04.2023,Orlando Magic - Cleveland Cavaliers,113:117,2.53,1.55
2022-2023,04.04.2023,Philadelphia 76ers - Boston Celtics,103:101,1.61,2.39
2022-2023,04.04.2023,Phoenix Suns - San Antonio Spurs,115:94,1.04,12.66
2022-2023,04.04.2023,Utah Jazz - Los Angeles Lakers,133:135 AET,5.18,1.18
2022-2023,04.04.2023,Washington Wizards - Milwaukee Bucks,128:140,7.55,1.10
2022-2023,02.04.2023,Atlanta Hawks - Dallas Mavericks,132:130 AET,1.65,2.29
2022-2023,02.04.2023,Brooklyn Nets - Utah Jazz,111:110,1.34,3.37
2022-2023,02.04.2023,Charlotte Hornets - Toronto Raptors,108:128,8.83,1.08
2022-2023,02.04.2023,Chicago Bulls - Memphis Grizzlies,128:107,1.92,1.91
2022-2023,02.04.2023,Cleveland Cavaliers - Indiana Pacers,115:105,1.13,6.24
2022-2023,02.04.2023,Denver Nuggets - Golden State Warriors,112:110,2.44,1.58
2022-2023,02.04.2023,Houston Rockets - Los Angeles Lakers,109:134,5.63,1.15
2022-2023,02.04.2023,Milwaukee Bucks - Philadelphia 76ers,117:104,1.50,2.68
2022-2023,02.04.2023,Minnesota Timberwolves - Portland Trail Blazers,105:107,1.04,13.08
