Season,Date,Match,Score,Odds_1,Odds_2
2022-2023,28.02.2023,Utah Jazz - San Antonio Spurs,94:102,1.22,4.48
2022-2023,27.02.2023,Charlotte Hornets - Detroit Pistons,117:106,1.36,3.27
2022-2023,27.02.2023,New Orleans Pelicans - Orlando Magic,93:101,1.51,2.65
2022-2023,27.02.2023,New York Knicks - Boston Celtics,109:94,2.11,1.76
2022-2023,27.02.2023,Philadelphia 76ers - Miami Heat,99:101,1.45,2.81
2022-2023,26.02.2023,Atlanta Hawks - Brooklyn Nets,129:127,1.39,3.08
2022-2023,26.02.2023,Chicago Bulls - Washington Wizards,102:82,1.47,2.76
2022-2023,26.02.2023,Cleveland Cavaliers - Toronto Raptors,118:93,1.33,3.46
2022-2023,26.02.2023,Dallas Mavericks - Los Angeles Lakers,108:111,1.54,2.56
2022-2023,26.02.2023,Denver Nuggets - Los Angeles Clippers,134:124 AET,1.57,2.49
2022-2023,26.02.2023,Golden State Warriors - Minnesota Timberwolves,109:104,1.77,2.10
2022-2023,26.02.2023,Milwaukee Bucks - Phoenix Suns,104:101,1.67,2.27
2022-2023,26.02.2023,Oklahoma City Thunder - Sacramento Kings,115:124,2.47,1.57
2022-2023,26.02.2023,Portland Trail Blazers - Houston Rockets,131:114,1.23,4.38
2022-2023,25.02.2023,Charlotte Hornets - Miami Heat,108:103,3.01,1.41
2022-2023,25.02.2023,Detroit Pistons - Toronto Raptors,91:95,3.48,1.32
2022-2023,25.02.2023,Memphis Grizzlies - Denver Nuggets,112:94,1.69,2.23
2022-2023,25.02.2023,New York Knicks - New Orleans Pelicans,128:106,1.58,2.44
2022-2023,25.02.2023,Orlando Magic - Indiana Pacers,108:121,1.71,2.19
2022-2023,25.02.2023,Philadelphia 76ers - Boston Celtics,107:110,1.93,1.91
2022-2023,25.02.2023,Utah Jazz - San Antonio Spurs,118:102,1.19,4.85
2022-2023,24.02.2023,Atlanta Hawks - Cleveland Cavaliers,136:119,1.89,1.92
2022-2023,24.02.2023,Chicago Bulls - Brooklyn Nets,131:87,1.77,2.06
2022-2023,24.02.2023,Golden State Warriors - Houston Rockets,116:101,1.24,4.14
2022-2023,24.02.2023,Los Angeles Clippers - Sacramento Kings,175:176 AET,1.39,3.02
2022-2023,24.02.2023,Milwaukee Bucks - Miami Heat,128:99,1.50,2.68
2022-2023,24.02.2023,Minnesota Timberwolves - Charlotte Hornets,113:121,1.36,3.19
2022-2023,24.02.2023,Phoenix Suns - Oklahoma City Thunder,124:115,1.25,4.01
2022-2023,24.02.2023,Washington Wizards - New York Knicks,109:115,1.85,1.96
2022-2023,23.02.2023,Cleveland Cavaliers - Denver Nuggets,109:115,1.67,2.22
2022-2023,23.02.2023,Dallas Mavericks - San Antonio Spurs,142:116,1.08,7.83
2022-2023,23.02.2023,Indiana Pacers - Boston Celtics,138:142 AET,3.65,1.29
2022-2023,23.02.2023,Los Angeles Lakers - Golden State Warriors,124:111,1.42,2.92
2022-2023,23.02.2023,Orlando Magic - Detroit Pistons,108:106,1.31,3.49
2022-2023,23.02.2023,Philadelphia 76ers - Memphis Grizzlies,110:105,1.63,2.31
2022-2023,23.02.2023,Sacramento Kings - Portland Trail Blazers,133:116,1.19,4.90
2022-2023,23.02.2023,Toronto Raptors - New Orleans Pelicans,115:110,1.51,2.60
2022-2023,23.02.2023,Utah Jazz - Oklahoma City Thunder,120:119 AET,1.82,1.99
2022-2023,16.02.2023,Chicago Bulls - Milwaukee Bucks,100:112,3.72,1.30
2022-2023,16.02.2023,Minnesota Timberwolves - Washington Wizards,106:114,1.63,2.36
2022-2023,16.02.2023,Phoenix Suns - Los Angeles Clippers,107:116,1.94,1.87
2022-2023,15.02.2023,Atlanta Hawks - New York Knicks,101:122,1.58,2.44
2022-2023,15.02.2023,Boston Celtics - Detroit Pistons,127:109,1.14,5.95
2022-2023,15.02.2023,Brooklyn Nets - Miami Heat,116:105,1.81,2.05
2022-2023,15.02.2023,Charlotte Hornets - San Antonio Spurs,120:110,1.48,2.73
2022-2023,15.02.2023,Denver Nuggets - Dallas Mavericks,118:109,1.45,2.85
2022-2023,15.02.2023,Indiana Pacers - Chicago Bulls,117:113,1.71,2.20
2022-2023,15.02.2023,Los Angeles Lakers - New Orleans Pelicans,120:102,1.52,2.61
2022-2023,15.02.2023,Memphis Grizzlies - Utah Jazz,117:111,1.17,5.29
2022-2023,15.02.2023,Oklahoma City Thunder - Houston Rockets,133:96,1.22,4.51
2022-2023,15.02.2023,Philadelphia 76ers - Cleveland Cavaliers,118:112,1.82,2.04
2022-2023,14.02.2023,Los Angeles Clippers - Golden State Warriors,134:124,1.28,3.75
2022-2023,14.02.2023,Milwaukee Bucks - Boston Celtics,131:125 AET,1.21,4.55
2022-2023,14.02.2023,Phoenix Suns - Sacramento Kings,120:109,1.73,2.18
2022-2023,14.02.2023,Portland Trail Blazers - Washington Wizards,101:126,2.03,1.82
2022-2023,14.02.2023,Toronto Raptors - Orlando Magic,123:113,1.33,3.42
2022-2023,13.02.2023,Charlotte Hornets - Atlanta Hawks,144:138,2.80,1.46
2022-2023,13.02.2023,Chicago Bulls - Orlando Magic,91:100,1.56,2.52
2022-2023,13.02.2023,Cleveland Cavaliers - San Antonio Spurs,117:109,1.07,9.30
2022-2023,13.02.2023,Dallas Mavericks - Minnesota Timberwolves,121:124,1.42,2.95
2022-2023,13.02.2023,Golden State Warriors - Washington Wizards,135:126,1.60,2.42
2022-2023,13.02.2023,Indiana Pacers - Utah Jazz,117:123,1.93,1.91
2022-2023,13.02.2023,Miami Heat - Denver Nuggets,108:112,1.87,1.97
2022-2023,13.02.2023,New York Knicks - Brooklyn Nets,124:106,1.68,2.26
2022-2023,13.02.2023,Oklahoma City Thunder - New Orleans Pelicans,100:103,1.68,2.25
2022-2023,13.02.2023,Philadelphia 76ers - Houston Rockets,123:104,1.10,7.42
2022-2023,13.02.2023,Portland Trail Blazers - Los Angeles Lakers,127:115,1.77,2.10
2022-2023,12.02.2023,Boston Celtics - Memphis Grizzlies,119:109,1.63,2.34
2022-2023,12.02.2023,Toronto Raptors - Detroit Pistons,119:118,1.16,5.57
2022-2023,11.02.2023,Atlanta Hawks - San Antonio Spurs,125:106,1.13,6.47
2022-2023,11.02.2023,Brooklyn Nets - Philadelphia 76ers,98:101,2.05,1.79
2022-2023,11.02.2023,Charlotte Hornets - Denver Nuggets,105:119,3.26,1.36
2022-2023,11.02.2023,Cleveland Cavaliers - Chicago Bulls,97:89,1.40,3.03
2022-2023,11.02.2023,Golden State Warriors - Los Angeles Lakers,103:109,1.47,2.77
2022-2023,11.02.2023,New York Knicks - Utah Jazz,126:120,1.45,2.81
2022-2023,11.02.2023,Orlando Magic - Miami Heat,103:107 AET,2.04,1.80
2022-2023,11.02.2023,Sacramento Kings - Dallas Mavericks,133:128 AET,2.04,1.81
2022-2023,11.02.2023,Washington Wizards - Indiana Pacers,127:113,1.46,2.79
2022-2023,10.02.2023,Boston Celtics - Charlotte Hornets,127:116,1.18,5.14
2022-2023,10.02.2023,Detroit Pistons - San Antonio Spurs,138:131 AET,1.43,2.90
2022-2023,10.02.2023,Indiana Pacers - Phoenix Suns,104:117,1.72,2.19
2022-2023,10.02.2023,Los Angeles Clippers - Milwaukee Bucks,106:119,2.14,1.74
2022-2023,10.02.2023,Memphis Grizzlies - Minnesota Timberwolves,128:107,1.39,3.13
2022-2023,10.02.2023,Miami Heat - Houston Rockets,97:95,1.14,5.92
2022-2023,10.02.2023,New Orleans Pelicans - Cleveland Cavaliers,107:118,2.28,1.66
2022-2023,10.02.2023,Philadelphia 76ers - New York Knicks,119:108,1.36,3.26
2022-2023,10.02.2023,Portland Trail Blazers - Oklahoma City Thunder,129:138,1.73,2.18
2022-2023,10.02.2023,Sacramento Kings - Dallas Mavericks,114:122,1.55,2.54
2022-2023,10.02.2023,Toronto Raptors - Utah Jazz,116:122,1.29,3.77
2022-2023,09.02.2023,Atlanta Hawks - Phoenix Suns,116:107,1.32,3.53
2022-2023,09.02.2023,Brooklyn Nets - Chicago Bulls,116:105,2.21,1.70
2022-2023,09.02.2023,Los Angeles Lakers - Milwaukee Bucks,106:115,3.82,1.28
2022-2023,09.02.2023,Orlando Magic - Denver Nuggets,115:104,2.71,1.49
2022-2023,08.02.2023,Boston Celtics - Philadelphia 76ers,106:99,1.74,2.14
2022-2023,08.02.2023,Cleveland Cavaliers - Detroit Pistons,113:85,1.25,4.06
2022-2023,08.02.2023,Houston Rockets - Sacramento Kings,128:130,3.91,1.27
2022-2023,08.02.2023,Los Angeles Clippers - Dallas Mavericks,104:110,1.30,3.67
2022-2023,08.02.2023,Miami Heat - Indiana Pacers,116:111,1.38,3.13
2022-2023,08.02.2023,Portland Trail Blazers - Golden State Warriors,125:122,1.71,2.20
2022-2023,08.02.2023,Toronto Raptors - San Antonio Spurs,112:98,1.19,4.88
2022-2023,08.02.2023,Utah Jazz - Minnesota Timberwolves,118:143,1.29,3.69
2022-2023,08.02.2023,Washington Wizards - Charlotte Hornets,118:104,1.62,2.36
2022-2023,07.02.2023,Brooklyn Nets - Phoenix Suns,112:116,3.19,1.37
2022-2023,07.02.2023,Denver Nuggets - Minnesota Timberwolves,146:112,1.28,3.82
2022-2023,07.02.2023,Los Angeles Lakers - Oklahoma City Thunder,130:133,1.36,3.18
2022-2023,07.02.2023,Memphis Grizzlies - Chicago Bulls,104:89,1.22,4.40
2022-2023,07.02.2023,New Orleans Pelicans - Atlanta Hawks,116:107,1.88,1.96
2022-2023,07.02.2023,Orlando Magic - New York Knicks,98:102,2.01,1.84
2022-2023,06.02.2023,Brooklyn Nets - Los Angeles Clippers,116:124,3.81,1.28
2022-2023,06.02.2023,Chicago Bulls - San Antonio Spurs,128:104,1.23,4.32
2022-2023,06.02.2023,Detroit Pistons - Boston Celtics,99:111,4.46,1.22
2022-2023,06.02.2023,Golden State Warriors - Oklahoma City Thunder,141:114,1.66,2.29
2022-2023,06.02.2023,Houston Rockets - Sacramento Kings,120:140,3.24,1.36
2022-2023,06.02.2023,Portland Trail Blazers - Milwaukee Bucks,108:127,2.53,1.55
2022-2023,06.02.2023,Utah Jazz - Dallas Mavericks,111:124,1.22,4.39
2022-2023,06.02.2023,Washington Wizards - Cleveland Cavaliers,91:114,2.40,1.60
2022-2023,05.02.2023,Charlotte Hornets - Orlando Magic,113:119,1.80,2.07
2022-2023,05.02.2023,Indiana Pacers - Cleveland Cavaliers,103:122,2.50,1.57
2022-2023,05.02.2023,Memphis Grizzlies - Toronto Raptors,103:106,1.81,2.05
2022-2023,05.02.2023,Minnesota Timberwolves - Denver Nuggets,128:98,1.27,3.93
2022-2023,05.02.2023,New Orleans Pelicans - Sacramento Kings,136:104,2.09,1.78
2022-2023,05.02.2023,New York Knicks - Philadelphia 76ers,108:97,2.55,1.54
2022-2023,04.02.2023,Brooklyn Nets - Washington Wizards,125:123,1.97,1.88
2022-2023,04.02.2023,Chicago Bulls - Portland Trail Blazers,129:121,1.67,2.26
2022-2023,04.02.2023,Denver Nuggets - Atlanta Hawks,128:108,1.21,4.64
2022-2023,04.02.2023,Detroit Pistons - Phoenix Suns,100:116,2.61,1.52
2022-2023,04.02.2023,Golden State Warriors - Dallas Mavericks,119:113,1.18,5.13
2022-2023,04.02.2023,Milwaukee Bucks - Miami Heat,123:115,1.42,2.96
2022-2023,04.02.2023,New Orleans Pelicans - Los Angeles Lakers,131:126,1.88,1.96
2022-2023,04.02.2023,New York Knicks - Los Angeles Clippers,128:134 AET,2.19,1.70
2022-2023,04.02.2023,Oklahoma City Thunder - Houston Rockets,153:121,1.21,4.56
2022-2023,03.02.2023,Boston Celtics - Phoenix Suns,94:106,1.21,4.61
2022-2023,03.02.2023,Detroit Pistons - Charlotte Hornets,118:112,1.98,1.86
2022-2023,03.02.2023,Houston Rockets - Toronto Raptors,111:117,3.42,1.33
2022-2023,03.02.2023,Indiana Pacers - Sacramento Kings,107:104,2.04,1.81
2022-2023,03.02.2023,Minnesota Timberwolves - Orlando Magic,120:127,1.48,2.72
2022-2023,03.02.2023,San Antonio Spurs - Philadelphia 76ers,125:137,5.01,1.19
2022-2023,03.02.2023,Utah Jazz - Atlanta Hawks,108:115,1.83,2.02
2022-2023,03.02.2023,Washington Wizards - Portland Trail Blazers,116:124,1.55,2.53
2022-2023,02.02.2023,Chicago Bulls - Charlotte Hornets,114:98,1.41,3.02
2022-2023,02.02.2023,Cleveland Cavaliers - Memphis Grizzlies,128:113,1.39,3.08
2022-2023,02.02.2023,Dallas Mavericks - New Orleans Pelicans,111:106,1.51,2.66
2022-2023,02.02.2023,Denver Nuggets - Golden State Warriors,134:117,1.40,3.06
2022-2023,02.02.2023,Indiana Pacers - Los Angeles Lakers,111:112,2.22,1.70
2022-2023,02.02.2023,Milwaukee Bucks - Los Angeles Clippers,106:105,1.56,2.51
2022-2023,02.02.2023,New York Knicks - Miami Heat,106:104,2.27,1.67
2022-2023,01.02.2023,Boston Celtics - Brooklyn Nets,139:96,1.25,4.09
2022-2023,01.02.2023,Houston Rockets - Oklahoma City Thunder,112:106,2.89,1.44
2022-2023,01.02.2023,Memphis Grizzlies - Portland Trail Blazers,112:122,1.44,2.90
2022-2023,01.02.2023,Minnesota Timberwolves - Golden State Warriors,119:114 AET,2.64,1.52
2022-2023,01.02.2023,Philadelphia 76ers - Orlando Magic,105:94,1.20,4.77
2022-2023,01.02.2023,Phoenix Suns - Atlanta Hawks,100:132,1.85,1.99
2022-2023,01.02.2023,San Antonio Spurs - Sacramento Kings,109:119,3.48,1.33
2022-2023,01.02.2023,Utah Jazz - Toronto Raptors,131:128,1.74,2.15
2022-2023,31.01.2023,Chicago Bulls - Los Angeles Clippers,103:108,2.23,1.69
2022-2023,31.01.2023,Cleveland Cavaliers - Miami Heat,97:100,1.59,2.43
2022-2023,31.01.2023,Denver Nuggets - New Orleans Pelicans,122:113,1.36,3.30
2022-2023,31.01.2023,Milwaukee Bucks - Charlotte Hornets,124:115,1.16,5.41
2022-2023,31.01.2023,New York Knicks - Los Angeles Lakers,123:129 AET,1.74,2.11
2022-2023,30.01.2023,Brooklyn Nets - Los Angeles Lakers,121:104,1.26,4.07
2022-2023,30.01.2023,Dallas Mavericks - Detroit Pistons,111:105,1.19,4.83
2022-2023,30.01.2023,Minnesota Timberwolves - Sacramento Kings,111:118 AET,1.97,1.87
2022-2023,30.01.2023,Oklahoma City Thunder - Golden State Warriors,120:128,2.65,1.51
2022-2023,30.01.2023,Philadelphia 76ers - Orlando Magic,109:119,1.21,4.53
2022-2023,30.01.2023,Phoenix Suns - Toronto Raptors,114:106,1.80,2.05
2022-2023,30.01.2023,Portland Trail Blazers - Atlanta Hawks,129:125,1.49,2.71
2022-2023,30.01.2023,San Antonio Spurs - Washington Wizards,106:127,2.71,1.48
2022-2023,29.01.2023,Charlotte Hornets - Miami Heat,122:117,2.88,1.44
2022-2023,29.01.2023,Cleveland Cavaliers - Los Angeles Clippers,122:99,1.16,5.44
2022-2023,29.01.2023,Memphis Grizzlies - Indiana Pacers,112:100,1.30,3.63
2022-2023,29.01.2023,Milwaukee Bucks - New Orleans Pelicans,135:110,1.19,4.93
2022-2023,28.01.2023,Atlanta Hawks - Los Angeles Clippers,113:120,1.85,2.00
2022-2023,28.01.2023,Boston Celtics - Los Angeles Lakers,125:121 AET,1.32,3.49
2022-2023,28.01.2023,Brooklyn Nets - New York Knicks,122:115,1.93,1.91
2022-2023,28.01.2023,Detroit Pistons - Houston Rockets,114:117,1.46,2.82
2022-2023,28.01.2023,Minnesota Timberwolves - Sacramento Kings,117:110,2.02,1.83
2022-2023,28.01.2023,New Orleans Pelicans - Washington Wizards,103:113,1.47,2.77
2022-2023,28.01.2023,Orlando Magic - Chicago Bulls,109:128,2.17,1.73
2022-2023,28.01.2023,Philadelphia 76ers - Denver Nuggets,126:119,1.65,2.30
2022-2023,28.01.2023,Portland Trail Blazers - Toronto Raptors,105:123,1.67,2.27
2022-2023,28.01.2023,San Antonio Spurs - Phoenix Suns,118:128 AET,2.77,1.46
2022-2023,28.01.2023,Utah Jazz - Dallas Mavericks,108:100,1.34,3.36
2022-2023,27.01.2023,Golden State Warriors - Toronto Raptors,129:117,1.57,2.47
2022-2023,27.01.2023,Indiana Pacers - Milwaukee Bucks,131:141,3.07,1.39
2022-2023,27.01.2023,Miami Heat - Orlando Magic,110:105,1.28,3.84
2022-2023,27.01.2023,Minnesota Timberwolves - Memphis Grizzlies,111:100,2.03,1.82
2022-2023,27.01.2023,Oklahoma City Thunder - Cleveland Cavaliers,112:100,1.87,1.96
2022-2023,26.01.2023,Boston Celtics - New York Knicks,117:120 AET,1.28,3.81
2022-2023,26.01.2023,Brooklyn Nets - Detroit Pistons,122:130,1.30,3.64
2022-2023,26.01.2023,Charlotte Hornets - Chicago Bulls,111:96,2.36,1.63
2022-2023,26.01.2023,Houston Rockets - Cleveland Cavaliers,95:113,3.67,1.30
2022-2023,26.01.2023,Los Angeles Clippers - San Antonio Spurs,138:100,1.11,7.25
2022-2023,26.01.2023,Phoenix Suns - Dallas Mavericks,95:99,1.83,2.01
2022-2023,25.01.2023,Golden State Warriors - Memphis Grizzlies,122:120,1.69,2.23
2022-2023,25.01.2023,Houston Rockets - Washington Wizards,103:108,2.12,1.76
2022-2023,25.01.2023,Los Angeles Lakers - San Antonio Spurs,113:104,1.32,3.48
2022-2023,25.01.2023,Milwaukee Bucks - Denver Nuggets,107:99,1.13,6.45
2022-2023,25.01.2023,New Orleans Pelicans - Minnesota Timberwolves,102:111,1.71,2.20
2022-2023,25.01.2023,Oklahoma City Thunder - Atlanta Hawks,132:137,2.00,1.85
2022-2023,25.01.2023,Orlando Magic - Indiana Pacers,126:120,1.49,2.69
2022-2023,25.01.2023,Philadelphia 76ers - Brooklyn Nets,137:133,1.35,3.33
2022-2023,25.01.2023,Portland Trail Blazers - Utah Jazz,134:124,1.61,2.39
2022-2023,25.01.2023,Sacramento Kings - Toronto Raptors,95:113,1.66,2.29
2022-2023,24.01.2023,Dallas Mavericks - Washington Wizards,126:127,1.37,3.21
2022-2023,24.01.2023,Indiana Pacers - Chicago Bulls,116:110,2.05,1.81
2022-2023,24.01.2023,Los Angeles Lakers - Los Angeles Clippers,115:133,2.51,1.56
2022-2023,24.01.2023,Miami Heat - Boston Celtics,98:95,1.73,2.16
2022-2023,24.01.2023,New Orleans Pelicans - Denver Nuggets,98:99,2.27,1.67
2022-2023,24.01.2023,New York Knicks - Cleveland Cavaliers,105:103,2.32,1.64
2022-2023,24.01.2023,Phoenix Suns - Charlotte Hornets,128:97,1.34,3.39
2022-2023,23.01.2023,Chicago Bulls - Atlanta Hawks,111:100,1.86,1.99
2022-2023,23.01.2023,Detroit Pistons - Milwaukee Bucks,130:150,5.45,1.16
2022-2023,23.01.2023,Houston Rockets - Minnesota Timberwolves,119:114,2.94,1.43
2022-2023,23.01.2023,Orlando Magic - Boston Celtics,113:98,3.45,1.33
2022-2023,23.01.2023,Portland Trail Blazers - San Antonio Spurs,147:127,1.28,3.82
2022-2023,23.01.2023,Sacramento Kings - Memphis Grizzlies,133:100,1.60,2.40
2022-2023,23.01.2023,Utah Jazz - Charlotte Hornets,120:102,1.26,4.01
2022-2023,22.01.2023,Dallas Mavericks - Los Angeles Clippers,98:112,1.78,2.08
2022-2023,22.01.2023,Denver Nuggets - Oklahoma City Thunder,99:101,1.65,2.30
2022-2023,22.01.2023,Golden State Warriors - Brooklyn Nets,116:120,1.32,3.49
2022-2023,22.01.2023,Miami Heat - New Orleans Pelicans,100:96,1.34,3.36
2022-2023,22.01.2023,Phoenix Suns - Memphis Grizzlies,112:110,3.81,1.28
2022-2023,22.01.2023,Portland Trail Blazers - Los Angeles Lakers,112:121,1.45,2.83
2022-2023,22.01.2023,Toronto Raptors - New York Knicks,125:116,1.74,2.14
2022-2023,21.01.2023,Atlanta Hawks - Charlotte Hornets,118:122,1.32,3.48
2022-2023,21.01.2023,Cleveland Cavaliers - Milwaukee Bucks,114:102,1.68,2.25
2022-2023,21.01.2023,Minnesota Timberwolves - Houston Rockets,113:104,1.29,3.69
2022-2023,21.01.2023,Phoenix Suns - Indiana Pacers,112:107,1.67,2.25
2022-2023,21.01.2023,Sacramento Kings - Philadelphia 76ers,127:129,1.52,2.61
2022-2023,21.01.2023,Toronto Raptors - Boston Celtics,104:106,2.30,1.65
2022-2023,21.01.2023,Washington Wizards - Orlando Magic,138:118,1.38,3.12
2022-2023,20.01.2023,Atlanta Hawks - New York Knicks,139:124,1.65,2.31
2022-2023,20.01.2023,Cleveland Cavaliers - Golden State Warriors,114:120,1.20,4.81
2022-2023,20.01.2023,Dallas Mavericks - Miami Heat,115:90,2.11,1.77
2022-2023,20.01.2023,Denver Nuggets - Indiana Pacers,134:111,1.38,3.13
2022-2023,20.01.2023,Los Angeles Lakers - Memphis Grizzlies,122:121,3.13,1.38
2022-2023,20.01.2023,Orlando Magic - New Orleans Pelicans,123:110,1.93,1.91
2022-2023,20.01.2023,Sacramento Kings - Oklahoma City Thunder,118:113,1.49,2.71
2022-2023,20.01.2023,San Antonio Spurs - Los Angeles Clippers,126:131,3.41,1.33
2022-2023,20.01.2023,Utah Jazz - Brooklyn Nets,106:117,1.52,2.62
2022-2023,19.01.2023,Boston Celtics - Golden State Warriors,121:118 AET,1.37,3.19
2022-2023,19.01.2023,Detroit Pistons - Chicago Bulls,108:126,3.35,1.34
2022-2023,19.01.2023,Minnesota Timberwolves - Toronto Raptors,128:126,2.56,1.54
2022-2023,19.01.2023,Phoenix Suns - Brooklyn Nets,117:112,2.39,1.61
2022-2023,19.01.2023,Portland Trail Blazers - Philadelphia 76ers,95:105,2.06,1.80
2022-2023,18.01.2023,Dallas Mavericks - Atlanta Hawks,122:130,1.71,2.19
2022-2023,18.01.2023,Denver Nuggets - Minnesota Timberwolves,122:118,1.24,4.15
2022-2023,18.01.2023,Houston Rockets - Charlotte Hornets,117:122,2.27,1.67
2022-2023,18.01.2023,Los Angeles Lakers - Sacramento Kings,111:116,1.74,2.16
2022-2023,18.01.2023,Memphis Grizzlies - Cleveland Cavaliers,115:114,1.33,3.41
2022-2023,18.01.2023,New Orleans Pelicans - Miami Heat,98:124,2.35,1.62
2022-2023,18.01.2023,New York Knicks - Washington Wizards,105:116,1.48,2.74
2022-2023,18.01.2023,Oklahoma City Thunder - Indiana Pacers,126:106,1.59,2.44
2022-2023,18.01.2023,Utah Jazz - Los Angeles Clippers,126:103,1.29,3.77
2022-2023,17.01.2023,Denver Nuggets - Portland Trail Blazers,122:113,1.44,2.85
2022-2023,17.01.2023,Los Angeles Clippers - Philadelphia 76ers,110:120,1.85,2.01
2022-2023,17.01.2023,Milwaukee Bucks - Toronto Raptors,130:122,1.83,2.03
2022-2023,17.01.2023,San Antonio Spurs - Brooklyn Nets,106:98,2.15,1.74
2022-2023,16.01.2023,Atlanta Hawks - Miami Heat,121:113,1.89,1.95
2022-2023,16.01.2023,Charlotte Hornets - Boston Celtics,118:130,3.81,1.28
2022-2023,16.01.2023,Cleveland Cavaliers - New Orleans Pelicans,113:103,1.34,3.39
2022-2023,16.01.2023,Los Angeles Lakers - Houston Rockets,140:132,1.34,3.36
2022-2023,16.01.2023,Memphis Grizzlies - Phoenix Suns,136:106,1.13,6.26
2022-2023,16.01.2023,Milwaukee Bucks - Indiana Pacers,132:119,1.47,2.76
2022-2023,16.01.2023,Minnesota Timberwolves - Utah Jazz,125:126,1.58,2.46
2022-2023,16.01.2023,New York Knicks - Toronto Raptors,121:123 AET,1.80,2.06
2022-2023,16.01.2023,Washington Wizards - Golden State Warriors,118:127,2.24,1.68
2022-2023,15.01.2023,Brooklyn Nets - Oklahoma City Thunder,102:112,1.53,2.59
2022-2023,15.01.2023,Chicago Bulls - Golden State Warriors,132:118,2.86,1.44
2022-2023,15.01.2023,Denver Nuggets - Orlando Magic,119:116,1.19,5.01
2022-2023,15.01.2023,Detroit Pistons - New York Knicks,104:117,3.76,1.29
2022-2023,15.01.2023,Los Angeles Clippers - Houston Rockets,121:100,1.20,4.74
2022-2023,15.01.2023,Los Angeles Lakers - Philadelphia 76ers,112:113,2.82,1.45
2022-2023,15.01.2023,Portland Trail Blazers - Dallas Mavericks,140:123,1.25,4.02
2022-2023,15.01.2023,San Antonio Spurs - Sacramento Kings,119:132,3.14,1.38
2022-2023,14.01.2023,Charlotte Hornets - Boston Celtics,106:122,3.52,1.32
2022-2023,14.01.2023,Indiana Pacers - Memphis Grizzlies,112:130,3.54,1.31
2022-2023,14.01.2023,Miami Heat - Milwaukee Bucks,111:95,1.57,2.47
2022-2023,14.01.2023,Minnesota Timberwolves - Cleveland Cavaliers,110:102,2.50,1.56
2022-2023,14.01.2023,Portland Trail Blazers - Dallas Mavericks,136:119,1.61,2.38
2022-2023,14.01.2023,Toronto Raptors - Atlanta Hawks,103:114,1.34,3.36
2022-2023,14.01.2023,Utah Jazz - Philadelphia 76ers,117:118,3.28,1.36
2022-2023,13.01.2023,Chicago Bulls - Oklahoma City Thunder,110:124,1.55,2.53
2022-2023,13.01.2023,Detroit Pistons - New Orleans Pelicans,110:116,2.78,1.46
2022-2023,13.01.2023,Indiana Pacers - Atlanta Hawks,111:113,2.37,1.61
2022-2023,13.01.2023,Los Angeles Clippers - Denver Nuggets,103:115,1.50,2.68
2022-2023,13.01.2023,Minnesota Timberwolves - Phoenix Suns,121:116,1.42,2.99
2022-2023,13.01.2023,Sacramento Kings - Houston Rockets,139:114,1.23,4.33
2022-2023,13.01.2023,San Antonio Spurs - Golden State Warriors,113:144,3.86,1.28
2022-2023,13.01.2023,Utah Jazz - Orlando Magic,112:108,1.47,2.78
2022-2023,13.01.2023,Washington Wizards - New York Knicks,108:112,2.37,1.61
2022-2023,12.01.2023,Brooklyn Nets - Boston Celtics,98:109,1.96,1.88
2022-2023,12.01.2023,Los Angeles Lakers - Dallas Mavericks,115:119 AET,2.18,1.71
2022-2023,12.01.2023,Miami Heat - Milwaukee Bucks,108:102,1.42,2.93
2022-2023,12.01.2023,Philadelphia 76ers - Oklahoma City Thunder,114:133,1.21,4.67
2022-2023,12.01.2023,Portland Trail Blazers - Cleveland Cavaliers,113:119,1.96,1.85
2022-2023,12.01.2023,Toronto Raptors - Charlotte Hornets,124:114,1.33,3.42
2022-2023,11.01.2023,Atlanta Hawks - Milwaukee Bucks,105:114,2.55,1.54
2022-2023,11.01.2023,Boston Celtics - New Orleans Pelicans,125:114,1.25,4.16
2022-2023,11.01.2023,Denver Nuggets - Phoenix Suns,126:97,1.08,8.24
2022-2023,11.01.2023,Detroit Pistons - Minnesota Timberwolves,135:118,2.97,1.41
2022-2023,11.01.2023,Memphis Grizzlies - San Antonio Spurs,135:129,1.10,7.47
2022-2023,11.01.2023,New York Knicks - Indiana Pacers,119:113,1.51,2.66
2022-2023,11.01.2023,Sacramento Kings - Houston Rockets,135:115,1.25,4.08
2022-2023,11.01.2023,Washington Wizards - Chicago Bulls,100:97,2.03,1.82
2022-2023,10.01.2023,Golden State Warriors - Phoenix Suns,113:125,1.13,6.31
2022-2023,10.01.2023,Los Angeles Clippers - Dallas Mavericks,113:101,1.86,2.00
2022-2023,10.01.2023,Miami Heat - Oklahoma City Thunder,112:111,1.81,2.05
2022-2023,10.01.2023,Philadelphia 76ers - Detroit Pistons,147:116,1.08,8.75
2022-2023,10.01.2023,Portland Trail Blazers - Orlando Magic,106:109,1.30,3.70
2022-2023,10.01.2023,Toronto Raptors - Charlotte Hornets,132:120,1.33,3.44
2022-2023,10.01.2023,Utah Jazz - Cleveland Cavaliers,116:114,2.19,1.71
2022-2023,09.01.2023,Boston Celtics - Chicago Bulls,107:99,1.25,4.09
2022-2023,09.01.2023,Denver Nuggets - Los Angeles Lakers,122:109,1.13,6.39
