Season,Date,Match,Score,Odds_1,Odds_2
2024-2025,13.04.2025,Atlanta Hawks - Orlando Magic,117:105,2.32,1.63
2024-2025,13.04.2025,Boston Celtics - Charlotte Hornets,93:86,1.20,4.67
2024-2025,13.04.2025,Brooklyn Nets - New York Knicks,105:113,2.61,1.52
2024-2025,13.04.2025,Cleveland Cavaliers - Indiana Pacers,118:126 AET,3.09,1.39
2024-2025,13.04.2025,Golden State Warriors - Los Angeles Clippers,119:124 AET,1.60,2.38
2024-2025,13.04.2025,Houston Rockets - Denver Nuggets,111:126,2.99,1.41
2024-2025,13.04.2025,Memphis Grizzlies - Dallas Mavericks,132:97,2.09,1.75
2024-2025,13.04.2025,Miami Heat - Washington Wizards,118:119,1.28,3.73
2024-2025,13.04.2025,Milwaukee Bucks - Detroit Pistons,140:133 AET,4.04,1.25
2024-2025,13.04.2025,Minnesota Timberwolves - Utah Jazz,116:105,1.02,17.30
2024-2025,13.04.2025,New Orleans Pelicans - Oklahoma City Thunder,100:115,6.06,1.13
2024-2025,13.04.2025,Philadelphia 76ers - Chicago Bulls,102:122,3.79,1.28
2024-2025,13.04.2025,Portland Trail Blazers - Los Angeles Lakers,109:81,1.44,2.84
2024-2025,13.04.2025,Sacramento Kings - Phoenix Suns,109:98,1.10,7.28
2024-2025,13.04.2025,San Antonio Spurs - Toronto Raptors,125:118,1.54,2.53
2024-2025,11.04.2025,Boston Celtics - Charlotte Hornets,130:94,1.03,12.85
2024-2025,11.04.2025,Chicago Bulls - Washington Wizards,119:89,1.10,7.39
2024-2025,11.04.2025,Dallas Mavericks - Toronto Raptors,124:102,1.17,5.24
2024-2025,11.04.2025,Denver Nuggets - Memphis Grizzlies,117:109,1.34,3.33
2024-2025,11.04.2025,Detroit Pistons - Milwaukee Bucks,119:125,1.53,2.53
2024-2025,11.04.2025,Indiana Pacers - Orlando Magic,115:129,1.62,2.34
2024-2025,11.04.2025,Los Angeles Lakers - Houston Rockets,140:109,1.11,6.94
2024-2025,11.04.2025,Minnesota Timberwolves - Brooklyn Nets,117:91,1.02,14.98
2024-2025,11.04.2025,New Orleans Pelicans - Miami Heat,104:153,8.03,1.09
2024-2025,11.04.2025,New York Knicks - Cleveland Cavaliers,102:108,1.67,2.26
2024-2025,11.04.2025,Philadelphia 76ers - Atlanta Hawks,110:124,5.52,1.15
2024-2025,11.04.2025,Phoenix Suns - San Antonio Spurs,117:98,1.49,2.69
2024-2025,11.04.2025,Portland Trail Blazers - Golden State Warriors,86:103,8.19,1.08
2024-2025,11.04.2025,Sacramento Kings - Los Angeles Clippers,100:101,3.28,1.36
2024-2025,11.04.2025,Utah Jazz - Oklahoma City Thunder,111:145,4.09,1.25
2024-2025,10.04.2025,Brooklyn Nets - Atlanta Hawks,109:133,6.70,1.11
2024-2025,10.04.2025,Detroit Pistons - New York Knicks,115:106,1.60,2.37
2024-2025,10.04.2025,Indiana Pacers - Cleveland Cavaliers,114:112,1.22,4.40
2024-2025,10.04.2025,Memphis Grizzlies - Minnesota Timberwolves,125:141,2.13,1.74
2024-2025,10.04.2025,Milwaukee Bucks - New Orleans Pelicans,136:111,1.07,8.98
2024-2025,09.04.2025,Chicago Bulls - Miami Heat,119:111,2.12,1.75
2024-2025,09.04.2025,Dallas Mavericks - Los Angeles Lakers,97:112,2.62,1.51
2024-2025,09.04.2025,Golden State Warriors - San Antonio Spurs,111:114,1.06,10.04
2024-2025,09.04.2025,Los Angeles Clippers - Houston Rockets,134:117,1.20,4.65
2024-2025,09.04.2025,Orlando Magic - Boston Celtics,96:76,1.30,3.60
2024-2025,09.04.2025,Phoenix Suns - Oklahoma City Thunder,112:125,3.29,1.35
2024-2025,09.04.2025,Sacramento Kings - Denver Nuggets,116:124,2.58,1.53
2024-2025,09.04.2025,Toronto Raptors - Charlotte Hornets,126:96,1.18,5.03
2024-2025,09.04.2025,Utah Jazz - Portland Trail Blazers,133:126 AET,3.09,1.38
2024-2025,09.04.2025,Washington Wizards - Philadelphia 76ers,103:122,2.22,1.68
2024-2025,08.04.2025,Brooklyn Nets - New Orleans Pelicans,119:114,1.81,2.03
2024-2025,08.04.2025,Charlotte Hornets - Memphis Grizzlies,100:124,7.50,1.09
2024-2025,08.04.2025,Cleveland Cavaliers - Chicago Bulls,135:113,1.09,7.44
2024-2025,08.04.2025,Indiana Pacers - Washington Wizards,104:98,1.04,12.30
2024-2025,08.04.2025,Los Angeles Clippers - San Antonio Spurs,122:117,1.13,6.24
2024-2025,08.04.2025,Milwaukee Bucks - Minnesota Timberwolves,110:103,2.87,1.43
2024-2025,08.04.2025,New York Knicks - Boston Celtics,117:119 AET,2.14,1.73
2024-2025,08.04.2025,Oklahoma City Thunder - Los Angeles Lakers,136:120,1.24,4.14
2024-2025,08.04.2025,Orlando Magic - Atlanta Hawks,119:112,1.50,2.63
2024-2025,08.04.2025,Phoenix Suns - Golden State Warriors,95:133,4.40,1.22
2024-2025,07.04.2025,Detroit Pistons - Sacramento Kings,117:127,1.44,2.83
2024-2025,07.04.2025,Miami Heat - Philadelphia 76ers,117:105,1.14,5.72
2024-2025,06.04.2025,Atlanta Hawks - Utah Jazz,147:134,1.12,6.63
2024-2025,06.04.2025,Boston Celtics - Washington Wizards,124:90,1.04,11.69
2024-2025,06.04.2025,Brooklyn Nets - Toronto Raptors,109:120,2.15,1.74
2024-2025,06.04.2025,Charlotte Hornets - Chicago Bulls,117:131,3.91,1.27
2024-2025,06.04.2025,Cleveland Cavaliers - Sacramento Kings,113:120,1.23,4.25
2024-2025,06.04.2025,Denver Nuggets - Indiana Pacers,120:125,1.40,3.03
2024-2025,06.04.2025,Golden State Warriors - Houston Rockets,96:106,1.48,2.72
2024-2025,06.04.2025,New Orleans Pelicans - Milwaukee Bucks,107:111,2.92,1.42
2024-2025,06.04.2025,New York Knicks - Phoenix Suns,112:98,1.24,4.11
2024-2025,06.04.2025,Oklahoma City Thunder - Los Angeles Lakers,99:126,1.25,4.07
2024-2025,06.04.2025,Portland Trail Blazers - San Antonio Spurs,120:109,1.60,2.40
2024-2025,05.04.2025,Atlanta Hawks - New York Knicks,105:121,2.04,1.81
2024-2025,05.04.2025,Detroit Pistons - Memphis Grizzlies,103:109,2.11,1.76
2024-2025,05.04.2025,Los Angeles Clippers - Dallas Mavericks,135:104,1.24,4.10
2024-2025,05.04.2025,Miami Heat - Milwaukee Bucks,115:121 AET,1.94,1.90
2024-2025,05.04.2025,Philadelphia 76ers - Minnesota Timberwolves,109:114,9.04,1.07
2024-2025,04.04.2025,Boston Celtics - Phoenix Suns,123:103,1.09,7.73
2024-2025,04.04.2025,Charlotte Hornets - Sacramento Kings,102:125,5.19,1.17
2024-2025,04.04.2025,Chicago Bulls - Portland Trail Blazers,118:113,1.39,3.08
2024-2025,04.04.2025,Golden State Warriors - Denver Nuggets,118:104,1.68,2.23
2024-2025,04.04.2025,Houston Rockets - Oklahoma City Thunder,125:111,2.92,1.42
2024-2025,04.04.2025,Indiana Pacers - Utah Jazz,140:112,1.05,10.72
2024-2025,04.04.2025,Los Angeles Clippers - Dallas Mavericks,114:91,1.15,5.55
2024-2025,04.04.2025,Los Angeles Lakers - New Orleans Pelicans,124:108,1.08,8.71
2024-2025,04.04.2025,San Antonio Spurs - Cleveland Cavaliers,113:114,6.43,1.12
2024-2025,04.04.2025,Toronto Raptors - Detroit Pistons,105:117,4.66,1.20
2024-2025,03.04.2025,Brooklyn Nets - Minnesota Timberwolves,90:105,7.10,1.10
2024-2025,03.04.2025,Los Angeles Lakers - Golden State Warriors,116:123,1.86,1.97
2024-2025,03.04.2025,Miami Heat - Memphis Grizzlies,108:110,2.77,1.46
2024-2025,03.04.2025,Philadelphia 76ers - Milwaukee Bucks,113:126,5.74,1.14
2024-2025,03.04.2025,Toronto Raptors - Portland Trail Blazers,103:112,2.61,1.51
2024-2025,03.04.2025,Washington Wizards - Orlando Magic,97:109,9.01,1.07
2024-2025,02.04.2025,Boston Celtics - Miami Heat,103:124,1.20,4.67
2024-2025,02.04.2025,Cleveland Cavaliers - New York Knicks,124:105,1.19,4.77
2024-2025,02.04.2025,Dallas Mavericks - Atlanta Hawks,120:118,1.61,2.36
2024-2025,02.04.2025,Denver Nuggets - San Antonio Spurs,106:113,1.72,2.16
2024-2025,02.04.2025,Houston Rockets - Utah Jazz,143:105,1.07,9.02
2024-2025,02.04.2025,Indiana Pacers - Charlotte Hornets,119:105,1.08,8.08
2024-2025,02.04.2025,Los Angeles Clippers - New Orleans Pelicans,114:98,1.05,11.82
2024-2025,02.04.2025,Oklahoma City Thunder - Detroit Pistons,119:103,1.12,6.49
2024-2025,02.04.2025,Washington Wizards - Sacramento Kings,116:111,6.76,1.11
2024-2025,01.04.2025,Atlanta Hawks - Portland Trail Blazers,113:127,1.45,2.80
2024-2025,01.04.2025,Chicago Bulls - Toronto Raptors,137:118,1.57,2.45
2024-2025,01.04.2025,Denver Nuggets - Minnesota Timberwolves,139:140 AET,1.79,2.07
2024-2025,01.04.2025,Memphis Grizzlies - Golden State Warriors,125:134,2.44,1.58
