frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,dribble_count,lineup_id,homography_valid,team_abbrev,ft_x,ft_y,dist_to_basket_ft,acceleration_mean_30,velocity_std_30,acceleration_mean_90,velocity_std_90,acceleration_mean_150,velocity_std_150,acceleration_std_90,defender_dist_mean_30,defender_dist_mean_90,defender_dist_mean_150,defender_dist_min_90,contested_fraction_90,off_ball_dist_mean_90,off_ball_dist_mean_150,off_ball_dist_std_90,paint_pressure_90,paint_pressure_opp_90,shot_selection_shift,velocity_ewma,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy,possessions_est,shots_per100,passes_per100,dribbles_per100,dist_per100_30,dist_per100_90,dist_per100_150,contest_arm_mean_30,jump_shot_flag,shot_quality_pose,bbref_bpm,bbref_vorp,bbref_ws,bbref_ws_per_48,hustle_deflections_pg,hustle_charges_pg,hustle_contested_shots,on_off_diff,on_court_net_rtg,synergy_iso_ppp,synergy_pnr_ppp,synergy_spotup_ppp,injury_status_multiplier,contract_year_flag,cap_hit_pct,contested_shot_pct,catch_and_shoot_pct,pull_up_pct,avg_defender_dist,elo_home,elo_away,elo_diff,opp_def_rtg_trend,home_away_pts_delta,home_away_reb_delta,home_away_ast_delta,drive_finish_rate,drive_foul_rate,drive_kickout_rate,drive_tov_rate
0,0.0,1,green,3367,625,0.9891,0.3653,0.0,0.0,0.0,paint,0,,,,none,,0.0,3017.0,947.0,1,0,right,,679.0,160.0,891.0,485.0,2597.0,1150.0,0.0,258.1,0.0,0,0,1,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,,,0,1,1,OKC,92.98,18.26,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,258.1,0.0,0.0,258.1,0.0,0.0,258.1,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
0,0.0,2,green,2667,1269,0.7835,0.7417,0.0,0.0,0.0,3pt_arc,0,138.1,,,none,,0.0,3017.0,947.0,1,0,right,,1095.0,335.0,1292.0,665.0,2597.0,1150.0,0.0,715.4,0.0,0,0,1,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,,,0,1,1,OKC,73.65,37.08,19.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,715.4,0.0,0.0,715.4,0.0,0.0,715.4,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
3,0.1,1,green,3184,738,0.9354,0.4313,60.0,60.0,148.3,paint,0,,,,none,,0.0,3184.0,738.0,1,0,right,,684.0,183.0,879.0,468.0,2597.0,1150.0,0.0,135.2,2.59,0,0,2,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.1,half_court,,,0.0,0,unknown,,,0.0,,,0,2,1,OKC,87.93,21.56,3.54,30.0,42.426,30.0,42.426,30.0,42.426,42.426,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.023,30.0,60.0,60.0,0.0,30.0,60.0,60.0,0.0,30.0,60.0,60.0,0.0,0,0,0,0,60.0,,,196.6,1.3,0.0,196.6,1.3,0.0,196.6,1.3,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,6000.0,6000.0,6000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
6,0.2,1,green,2978,863,0.8749,0.5044,60.0,8.63,148.8,paint,0,,,,none,,0.0,2737.5,1116.5,1,0,right,,691.0,183.0,864.0,445.0,2499.0,1211.0,115.43,272.9,-69.79,0,0,3,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.2,half_court,,,0.0,0,unknown,,,34.026133747132924,,,0,1,1,OKC,82.24,25.22,6.51,22.877,34.641,22.877,34.641,22.877,34.641,32.438,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.031,40.0,60.0,120.0,0.0,40.0,60.0,120.0,0.0,40.0,60.0,120.0,0.0,0,0,0,0,60.0,,,222.1,-22.4,0.0,222.1,-22.4,0.0,222.1,-22.4,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,12000.0,12000.0,12000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
6,0.2,2,green,2497,1370,0.7335,0.8007,60.0,60.0,149.3,3pt_arc,0,159.0,,,none,,0.0,2737.5,1116.5,1,0,right,,1017.0,326.0,1290.0,668.0,2499.0,1211.0,115.43,912.7,-65.78,0,0,3,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.2,half_court,,,0.0,0,unknown,,,34.026133747132924,,,0,1,1,OKC,68.95,40.03,24.86,30.0,42.426,30.0,42.426,30.0,42.426,42.426,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.023,30.0,60.0,60.0,0.0,30.0,60.0,60.0,0.0,30.0,60.0,60.0,0.0,0,0,0,0,60.0,,,814.0,-32.89,0.0,814.0,-32.89,0.0,814.0,-32.89,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,6000.0,6000.0,6000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
9,0.3,1,green,2768,993,0.8132,0.5804,60.0,2.01,148.2,3pt_arc,0,,,,none,,0.0,2654.0,1169.0,0,0,right,,700.0,185.0,837.0,413.0,2509.0,1206.0,11.18,502.0,-79.19,0,0,4,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.3,half_court,,,0.0,0,unknown,,,1.6996731711975948,,,0,1,1,OKC,76.44,29.02,12.95,17.66,30.0,17.66,30.0,17.66,30.0,28.466,,,,,0.0,0.0,0.0,0.0,0.75,0.0,0.0,45.035,45.0,60.0,180.0,0.0,45.0,60.0,180.0,0.0,45.0,60.0,180.0,0.0,0,0,0,0,38.29,,,292.0,-36.6,0.0,292.0,-36.6,0.0,292.0,-36.6,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,18000.0,18000.0,18000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
9,0.3,2,green,2540,1345,0.7462,0.7861,16.58,-49.33,329.8,3pt_arc,0,142.4,,,none,,0.0,2654.0,1169.0,0,0,right,,1032.0,322.0,1292.0,667.0,2509.0,1206.0,11.18,863.1,16.53,0,0,4,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.3,half_court,,,0.0,0,unknown,,,1.6996731711975948,,,0,1,1,OKC,70.14,39.3,23.47,3.557,30.984,3.557,30.984,3.557,30.984,54.752,,,,,0.0,0.0,0.0,0.0,0.75,0.0,0.0,25.535,25.53,60.0,76.6,0.0,25.53,60.0,76.6,0.0,25.53,60.0,76.6,0.0,0,0,0,0,38.29,,,830.4,-16.42,0.0,830.4,-16.42,0.0,830.4,-16.42,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,7660.0,7660.0,7660.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
12,0.4,1,green,2790,983,0.8196,0.5745,8.06,-74.27,335.6,3pt_arc,0,,,,none,,0.0,2630.5,1184.5,0,0,right,,706.0,192.0,823.0,414.0,2520.0,1200.0,12.53,478.1,7.96,0,0,5,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.4,half_court,,,0.0,0,unknown,,,1.414213562373095,,,0,1,1,OKC,77.04,28.72,12.29,-0.726,30.788,-0.726,30.788,-0.726,30.788,47.937,,,,,0.0,0.0,0.0,0.0,0.6,0.0,0.0,37.617,37.61,60.0,188.1,0.0,37.61,60.0,188.1,0.0,37.61,60.0,188.1,0.0,0,0,0,0,17.4,,,329.3,-27.69,0.0,329.3,-27.69,0.0,329.3,-27.69,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,18810.0,18810.0,18810.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
12,0.4,2,green,2471,1386,0.7259,0.8101,26.75,10.17,149.3,3pt_arc,0,192.3,,,none,,0.0,2630.5,1184.5,0,0,right,,1000.0,326.0,1295.0,668.0,2520.0,1200.0,12.53,943.2,-26.7,0,0,5,0,1.0,unclassified,0,0.0,24.0,,,1,0,0.0,0.4,half_court,,,0.0,0,unknown,,,1.414213562373095,,,0,1,1,OKC,68.23,40.51,25.72,5.21,25.306,5.21,25.306,5.21,25.306,44.827,,,,,0.0,0.0,0.0,0.0,0.6,0.0,0.0,25.84,25.83,60.0,103.3,0.0,25.83,60.0,103.3,0.0,25.83,60.0,103.3,0.0,0,0,0,0,17.4,,,858.6,-18.99,0.0,858.6,-18.99,0.0,858.6,-18.99,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,10330.0,10330.0,10330.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
15,0.5,1,green,2894,925,0.8502,0.5406,39.69,31.63,330.9,paint,0,,,,none,,0.0,2680.0,1156.5,1,0,right,,689.6698455810547,175.85772705078125,827.4202423095703,411.4996337890625,2531.0,1194.0,12.53,363.5,37.72,0,0,6,0,0.933,unclassified,0,0.0,24.0,,,1,0,0.0,0.5,half_court,,,0.0,0,unknown,,,1.3743685418725535,,,0,3,1,OKC,79.92,27.03,9.06,4.667,27.551,4.667,27.551,4.667,27.551,44.865,625.7,625.7,625.7,625.7,0.0,0.0,0.0,0.0,0.667,0.167,0.0,37.964,37.96,60.0,227.8,0.0,37.96,60.0,227.8,0.0,37.96,60.0,227.8,0.0,0,0,0,0,20.74,0.0,0.0,335.0,-16.78,0.0,335.0,-16.78,0.0,335.0,-16.78,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,22780.0,22780.0,22780.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
