frame,timestamp,ball_x2d,ball_y2d,detected,live
0,0.0,2546,1179,1,1
3,0.1,2546,1179,1,1
6,0.2,2499,1211,1,1
9,0.3,2509,1206,1,1
12,0.4,2520,1200,1,1
15,0.5,2531,1194,1,1
18,0.6,2539,1190,1,1
21,0.7,2542,1188,1,1
24,0.8,2545,1187,1,1
27,0.9,2549,1184,1,1
30,1.0,2553,1183,1,1
33,1.1,2561,1178,1,1
36,1.2,2569,1174,1,1
39,1.3,2577,1171,1,1
42,1.4,2577,1171,1,1
45,1.5,2432,1233,1,1
48,1.6,2432,1233,1,1
51,1.7,2473,1202,1,1
54,1.8,2481,1198,1,1
57,1.9,2480,1199,1,1
60,2.0,2482,1198,1,1
63,2.1,2494,1192,1,1
66,2.2,2498,1190,1,1
69,2.3,2501,1189,1,1
72,2.4,2514,1182,1,1
75,2.5,2526,1176,1,1
78,2.6,2526,1176,1,1
81,2.7,,,0,1
84,2.8,,,0,1
87,2.9,2911,1353,1,1
90,3.0,979,1389,1,1
93,3.1,757,984,1,1
96,3.2,757,984,1,1
99,3.3,632,608,1,1
102,3.4,678,693,1,1
105,3.5,892,297,1,1
108,3.6,892,297,1,1
111,3.7,379,1079,1,1
114,3.8,379,1079,1,1
117,3.9,196,1490,1,1
120,4.0,,,0,1
123,4.1,876,885,1,1
126,4.2,876,885,1,1
129,4.3,,,0,1
132,4.4,,,0,1
135,4.5,,,0,1
138,4.6,,,0,1
141,4.7,986,424,1,1
144,4.8,986,424,1,1
147,4.9,1031,568,1,1
150,5.0,1031,568,1,1
153,5.1,1016,869,1,1
156,5.2,1016,869,1,1
159,5.3,905,165,1,1
162,5.4,905,165,1,1
165,5.5,934,1480,1,1
168,5.6,963,1401,1,1
171,5.7,900,106,1,1
174,5.8,899,116,1,1
177,5.9,898,122,1,1
180,6.0,897,129,1,1
183,6.1,897,135,1,1
186,6.2,965,1407,1,1
189,6.3,897,156,1,1
192,6.4,897,156,1,1
195,6.5,,,0,1
198,6.6,,,0,1
201,6.7,,,0,1
204,6.8,950,53,1,1
