game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,score_diff,pbp_play_type,pbp_score_home,pbp_score_away,pbp_period,pbp_matched,source
0022401123,47,white,11235,11372,138,4.6,134148.9,263.1,,0,1,11271.0,0,hand_off,scored,2,5,made_2,21,16,1,True,
0022401123,48,white,11469,11846,377,12.57,64957.1,203.9,,0,1,11595.0,0,transition,scored,2,3,made_2,21,18,1,True,
0022401123,49,white,11868,12203,335,11.17,,676.7,,0,1,12174.0,0,transition,foul,0,3,foul,,,1,True,
0022401123,50,white,12393,12566,174,5.8,249343.8,783.0,,0,1,12531.0,0,transition,scored,2,3,made_2,21,20,1,True,
0022401123,51,green,12567,12674,108,3.6,78600.5,325.4,,0,1,12600.0,0,spot_up,scored,2,3,made_2,21,20,1,True,
0022401123,52,white,12675,13268,594,19.8,317087.4,293.2,,0,1,13242.0,0,transition,scored,2,3,made_2,23,20,1,True,
0022401123,53,green,13269,13337,69,2.3,400.5,376.9,,0,1,13299.0,0,transition,scored,2,3,made_2,23,20,1,True,
0022401123,54,white,13428,13496,69,2.3,215753.5,365.2,,0,1,13485.0,0,hand_off,scored,2,3,made_2,23,22,1,True,
0022401123,55,white,13509,13673,165,5.5,316959.1,491.2,,0,1,13557.0,0,transition,scored,2,1,made_2,23,22,1,True,
0022401123,56,green,13674,13739,66,2.2,,288.0,,0,1,13692.0,0,spot_up,missed_shot,0,1,missed_3,,,1,True,
0022401123,57,white,13740,13946,207,6.9,276793.9,253.3,,0,1,13770.0,0,spot_up,missed_shot,0,1,missed_3,,,1,True,
0022401123,58,green,13947,14156,210,7.0,35139.0,377.1,,0,1,13953.0,0,hand_off,foul,0,1,foul,,,1,True,
0022401123,59,white,14223,14285,63,2.1,197122.5,596.9,,0,1,14247.0,0,transition,missed_shot,0,1,missed_3,,,1,True,
0022401123,60,white,14337,14468,132,4.4,301170.8,516.0,,0,1,14343.0,0,spot_up,missed_shot,0,1,missed_3,,,1,True,
0022401123,61,white,14481,14630,150,5.0,284200.1,237.9,,0,1,14529.0,0,hand_off,missed_shot,0,1,missed_3,,,1,True,
0022401123,62,white,14760,15227,468,15.6,448641.0,276.1,,0,0,,0,hand_off,scored,2,3,made_2,25,22,1,True,
0022401123,63,green,15228,15293,66,2.2,,271.9,,0,1,15234.0,0,hand_off,scored,2,3,made_2,25,22,1,True,
0022401123,64,white,15330,15593,264,8.8,326474.6,231.0,,0,1,15372.0,0,hand_off,missed_shot,0,3,missed_3,,,1,True,
0022401123,65,green,15642,15728,87,2.9,65861.7,354.0,,0,1,15702.0,0,hand_off,missed_shot,0,3,missed_3,,,1,True,
0022401123,66,green,15741,15902,162,5.4,,272.2,,0,1,15861.0,0,hand_off,foul,0,3,foul,,,1,True,
0022401123,67,white,15903,16022,120,4.0,329119.9,426.3,,0,1,15915.0,0,hand_off,foul,0,3,foul,,,1,True,
0022401123,68,white,16086,16382,296,9.87,177518.3,280.4,,0,1,16338.0,0,hand_off,missed_shot,0,3,missed_2,,,1,True,
0022401123,69,green,16383,16565,183,6.1,86570.7,238.8,,0,1,16440.0,0,hand_off,missed_shot,0,3,missed_2,,,1,True,
0022401123,70,green,16584,16682,99,3.3,76262.8,263.1,,0,1,16608.0,0,off_screen,missed_shot,0,3,missed_3,,,1,True,
0022401123,71,white,16803,16883,81,2.7,19848.0,274.7,,0,1,16845.0,0,hand_off,missed_shot,0,3,missed_3,,,1,True,
0022401123,72,white,16914,16985,72,2.4,92912.7,317.7,,0,1,16962.0,0,hand_off,missed_shot,0,3,missed_3,,,1,True,
0022401123,73,white,17106,17177,72,2.4,309271.9,234.5,,0,1,17106.0,0,hand_off,scored,2,3,made_2,27,22,1,True,
0022401123,74,green,17178,17450,272,9.07,,131.3,,0,0,,0,transition,scored,2,3,made_2,27,22,1,True,
0022401123,75,white,17451,17519,69,2.3,333660.9,183.8,,0,1,17457.0,0,hand_off,scored,2,5,made_2,27,22,1,True,
0022401123,76,green,17520,17639,120,4.0,55231.2,199.4,,0,1,17574.0,0,off_screen,scored,2,5,made_2,27,22,1,True,
0022401123,77,green,17706,17807,102,3.4,68746.2,312.0,,0,1,17712.0,0,off_screen,missed_shot,0,5,missed_2,,,1,True,
0022401123,78,white,17853,17942,90,3.0,448077.0,207.8,,0,1,17901.0,0,hand_off,missed_shot,0,5,missed_2,,,1,True,
0022401123,79,green,17943,18002,60,2.0,66208.6,188.6,,0,1,17955.0,0,hand_off,scored,2,5,made_2,29,22,1,True,
0022401123,80,white,18003,18146,144,4.8,250298.0,209.1,,0,1,18003.0,0,hand_off,scored,2,7,made_2,29,22,1,True,
0022401123,81,white,18267,18380,114,3.8,205645.8,203.3,,0,1,18291.0,0,spot_up,foul,0,7,foul,,,1,True,
0022401123,82,green,18399,18581,183,6.1,46109.0,195.1,,0,1,18465.0,0,spot_up,foul,0,7,foul,,,1,True,
0022401123,83,green,18645,18770,126,4.2,46930.6,301.0,,0,1,18675.0,0,hand_off,scored,2,8,made_2,32,24,1,True,
0022401123,84,white,18771,19025,254,8.47,207752.7,285.7,,0,1,18933.0,0,transition,missed_shot,0,8,missed_2,,,1,True,
0022401123,85,white,19035,19133,99,3.3,240277.7,463.4,,0,0,,0,transition,missed_shot,0,8,missed_2,,,1,True,
0022401123,86,green,19302,19364,63,2.1,73849.5,212.5,,0,1,19341.0,0,hand_off,foul,0,8,foul,,,1,True,
0022401123,87,green,19383,19484,102,3.4,79713.3,204.6,,0,1,19389.0,0,hand_off,scored,2,8,made_2,33,26,1,True,
0022401123,88,green,19515,19601,87,2.9,78882.5,159.4,,0,1,19515.0,0,spot_up,scored,2,8,made_2,33,26,1,True,
0022401123,89,green,19608,19805,198,6.6,55154.9,219.2,,0,1,19731.0,0,hand_off,scored,2,7,made_2,33,26,1,True,
0022401123,90,white,19806,19874,69,2.3,414615.9,358.7,,0,1,19845.0,0,hand_off,missed_shot,0,7,missed_3,,,1,True,
0022401123,91,green,19875,20018,144,4.8,78713.3,250.6,,0,1,19902.0,0,transition,missed_shot,0,7,missed_3,,,1,True,
0022401123,92,green,20031,20213,183,6.1,37333.2,204.8,,0,1,20037.0,0,spot_up,foul,0,7,foul,,,1,True,
