frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,dribble_count,lineup_id,homography_valid,team_abbrev
2220,74.0,1,green,1269,280,0.4361,0.3966,0.0,0.0,0.0,backcourt,0,,,,none,92.7,92.7,1300.7,346.0,0,0,left,,625.0,-11.0,1295.0,667.0,968.0,272.0,0.0,1140.4,0.0,0,0,1,1,1.0,fast_break,0,0.0,24.0,,,,,0.0,0.0,fast_break,,,0.0,0,unknown,,,0.0,,,0,1,1,OKC
2220,74.0,2,green,1740,409,0.5979,0.5793,0.0,0.0,0.0,mid_range,0,,,,none,92.7,92.7,1300.7,346.0,0,0,left,,969.0,-14.0,1295.0,489.0,968.0,272.0,0.0,1040.6,0.0,0,0,1,1,1.0,fast_break,0,0.0,24.0,,,,,0.0,0.0,fast_break,,,0.0,0,unknown,,,0.0,,,0,1,1,OKC
2220,74.0,4,green,893,349,0.3069,0.4943,0.0,0.0,0.0,mid_range,1,107.5,,,none,92.7,92.7,1300.7,346.0,0,0,left,,45.0,-14.0,507.0,285.0,968.0,272.0,0.0,762.1,0.0,0,0,1,1,1.0,fast_break,0,0.0,24.0,,,,,0.0,0.0,fast_break,,,0.0,0,unknown,,,0.0,,,0,1,1,OKC
2223,74.1,1,green,1137,387,0.3907,0.5482,56.64,56.64,141.0,mid_range,0,,,,none,29.9,29.9,1210.0,362.7,0,0,left,,512.0,-15.0,798.0,649.0,369.0,404.0,613.37,1006.6,42.77,0,0,1,2,1.0,fast_break,1,169.9,23.9,,,,,0.0,0.1,fast_break,,,0.0,0,unknown,,,176.4353831986216,,,0,2,1,OKC
2223,74.1,4,green,893,349,0.3069,0.4943,0.0,0.0,0.0,mid_range,1,,,,none,29.9,29.9,1210.0,362.7,0,0,left,,-14.0,-3.0,623.0,667.0,369.0,404.0,613.37,762.1,0.0,0,0,1,2,1.0,fast_break,1,169.9,23.9,,,,,0.0,0.1,fast_break,,,0.0,0,unknown,,,176.4353831986216,,,0,2,1,OKC
2223,74.1,5,green,1600,352,0.5498,0.4986,0.0,0.0,0.0,backcourt,0,,,,none,29.9,29.9,1210.0,362.7,0,0,left,,621.0,-13.0,1295.0,667.0,369.0,404.0,613.37,1179.1,0.0,0,0,1,2,1.0,fast_break,1,169.9,23.9,,,,,0.0,0.1,fast_break,,,0.0,0,unknown,,,176.4353831986216,,,0,2,1,OKC
2226,74.2,2,green,1694,192,0.5821,0.272,73.94,73.94,258.0,mid_range,0,,,185.6,none,175.1,175.1,1296.5,326.0,0,0,right,,961.0,-12.0,1295.0,574.0,2297.0,350.0,1928.76,1096.9,-25.78,0,0,1,3,1.0,fast_break,1,391.7,23.8,,,,,0.0,0.2,fast_break,,,0.0,0,unknown,,,188.59981147628145,,,0,3,1,OKC
2226,74.2,4,green,755,373,0.2595,0.5283,46.69,46.69,170.1,3pt_arc,0,,,,none,175.1,175.1,1296.5,326.0,0,0,right,,-14.0,-2.0,624.0,667.0,2297.0,350.0,1928.76,624.4,45.72,0,0,1,3,1.0,fast_break,1,391.7,23.8,,,,,0.0,0.2,fast_break,,,0.0,0,unknown,,,188.59981147628145,,,0,3,1,OKC
2226,74.2,5,green,1600,352,0.5498,0.4986,0.0,0.0,0.0,backcourt,0,,,185.6,none,175.1,175.1,1296.5,326.0,0,0,right,,625.0,-12.0,1294.0,667.0,2297.0,350.0,1928.76,1179.1,0.0,0,0,1,3,1.0,fast_break,1,391.7,23.8,,,,,0.0,0.2,fast_break,,,0.0,0,unknown,,,188.59981147628145,,,0,3,1,OKC
2226,74.2,1,green,1137,387,0.3907,0.5482,0.0,-56.64,0.0,mid_range,1,,,,pass,175.1,175.1,1296.5,326.0,0,0,right,,367.62989807128906,-20.213348388671875,687.0212249755859,645.0040588378906,2297.0,350.0,1928.76,1006.6,0.0,0,0,1,3,0.933,fast_break,1,391.7,23.8,,,,,0.0,0.2,fast_break,,,0.0,0,unknown,,,188.59981147628145,,,0,3,1,OKC
2229,74.3,2,green,1694,192,0.5821,0.272,0.0,-73.94,0.0,mid_range,0,,,185.6,none,235.9,235.9,1150.2,331.4,0,0,left,,957.0,-12.0,1295.0,546.0,805.0,404.0,1492.98,1096.9,0.0,0,0,1,4,1.0,fast_break,1,391.7,23.7,,,,,0.0,0.3,fast_break,,,0.0,0,unknown,,,173.9508231911792,,,0,4,1,OKC
2229,74.3,3,green,565,353,0.1942,0.5,0.0,0.0,0.0,3pt_arc,0,,,191.0,none,235.9,235.9,1150.2,331.4,0,0,left,,-15.0,-12.0,92.0,658.0,805.0,404.0,1492.98,434.1,0.0,0,0,1,4,1.0,fast_break,1,391.7,23.7,,,,,0.0,0.3,fast_break,,,0.0,0,unknown,,,173.9508231911792,,,0,4,1,OKC
2229,74.3,4,green,755,373,0.2595,0.5283,0.0,-46.69,0.0,3pt_arc,0,58.8,,191.0,none,235.9,235.9,1150.2,331.4,0,0,left,,-14.0,-2.0,624.0,667.0,805.0,404.0,1492.98,624.4,0.0,0,0,1,4,1.0,fast_break,1,391.7,23.7,,,,,0.0,0.3,fast_break,,,0.0,0,unknown,,,173.9508231911792,,,0,4,1,OKC
2229,74.3,5,green,1600,352,0.5498,0.4986,0.0,0.0,0.0,backcourt,0,,,185.6,none,235.9,235.9,1150.2,331.4,0,0,left,,627.0,-12.0,1295.0,668.0,805.0,404.0,1492.98,1179.1,0.0,0,0,1,4,1.0,fast_break,1,391.7,23.7,,,,,0.0,0.3,fast_break,,,0.0,0,unknown,,,173.9508231911792,,,0,4,1,OKC
2229,74.3,1,green,1137,387,0.3907,0.5482,0.0,0.0,0.0,mid_range,1,,,,none,235.9,235.9,1150.2,331.4,0,0,left,,225.76942443847656,-25.329620361328125,545.1607513427734,639.8877868652344,805.0,404.0,1492.98,1006.6,0.0,0,0,1,4,0.867,fast_break,1,391.7,23.7,,,,,0.0,0.3,fast_break,,,0.0,0,unknown,,,173.9508231911792,,,0,4,1,OKC
2232,74.4,2,green,1603,360,0.5509,0.5099,63.69,63.69,118.4,backcourt,0,,,,none,6.6,6.6,1215.0,363.7,0,0,left,,960.0,-12.0,1295.0,543.0,378.0,414.0,427.12,1176.1,-30.67,0,0,1,5,1.0,fast_break,2,895.9,23.6,,,,,0.0,0.4,fast_break,,,0.0,0,unknown,,,30.070288030250428,,,0,5,1,OKC
2232,74.4,4,green,755,373,0.2595,0.5283,0.0,0.0,0.0,3pt_arc,1,,,,pass,6.6,6.6,1215.0,363.7,0,0,left,,-14.0,-2.0,625.0,667.0,378.0,414.0,427.12,624.4,0.0,0,0,1,5,1.0,fast_break,2,895.9,23.6,,,,,0.0,0.4,fast_break,,,0.0,0,unknown,,,30.070288030250428,,,0,5,1,OKC
2232,74.4,5,green,1287,358,0.4423,0.5071,104.35,104.35,178.9,backcourt,0,,,,none,6.6,6.6,1215.0,363.7,0,0,left,,629.0,-12.0,1295.0,668.0,378.0,414.0,427.12,1156.1,104.32,0,0,1,5,1.0,fast_break,2,895.9,23.6,,,,,0.0,0.4,fast_break,,,0.0,0,unknown,,,30.070288030250428,,,0,5,1,OKC
2235,74.5,1,green,1137,387,0.3907,0.5482,0.0,0.0,0.0,mid_range,0,,30.9,,none,9.4,9.4,1137.0,394.3,0,0,left,,519.0,-15.0,796.0,654.0,369.0,404.0,13.45,1006.6,0.0,0,0,1,6,1.0,fast_break,1,0.0,23.5,,,,,0.0,0.0,paint_touch,,,0.0,0,unknown,,,36.78918923331207,,,0,6,1,OKC
2235,74.5,3,green,763,374,0.2622,0.5297,66.37,66.37,6.1,3pt_arc,0,,,8.1,none,9.4,9.4,1137.0,394.3,0,0,left,,-15.0,-13.0,93.0,657.0,369.0,404.0,13.45,632.4,-66.2,0,0,1,6,1.0,fast_break,1,0.0,23.5,,,,,0.0,0.0,paint_touch,,,0.0,0,unknown,,,36.78918923331207,,,0,6,1,OKC
2235,74.5,5,green,1511,422,0.5192,0.5977,77.65,-26.7,15.9,backcourt,0,,,,none,9.4,9.4,1137.0,394.3,0,0,left,,626.0,-11.0,1295.0,668.0,369.0,404.0,13.45,1269.9,73.4,0,0,1,6,1.0,fast_break,1,0.0,23.5,,,,,0.0,0.0,paint_touch,,,0.0,0,unknown,,,36.78918923331207,,,0,6,1,OKC
2235,74.5,6,white,1150,415,0.3952,0.5878,0.0,0.0,0.0,mid_range,0,,30.9,,none,0.0,0.0,1150.0,415.0,0,0,left,,23.0,-13.0,308.0,270.0,369.0,404.0,13.45,1020.9,0.0,0,0,1,6,1.0,fast_break,1,0.0,23.5,,,,,0.0,0.0,paint_touch,,,0.0,0,unknown,,,36.78918923331207,,,0,6,1,HOU
2238,74.6,1,green,1137,387,0.3907,0.5482,0.0,0.0,0.0,mid_range,0,,30.9,93.3,none,26.6,26.6,974.2,373.8,0,0,right,,519.0,-15.0,794.0,633.0,1718.0,347.0,1350.2,1006.6,0.0,0,0,1,7,1.0,fast_break,1,0.0,23.4,,,,,0.0,0.1,half_court,,,0.0,0,unknown,,,271.1319891778828,,,0,7,1,OKC
2238,74.6,2,green,1409,352,0.4842,0.4986,64.72,1.03,182.4,backcourt,0,,,193.5,none,26.6,26.6,974.2,373.8,0,0,right,,953.0,-12.0,1295.0,535.0,1718.0,347.0,1350.2,1278.1,64.66,0,0,1,7,1.0,fast_break,1,0.0,23.4,,,,,0.0,0.1,half_court,,,0.0,0,unknown,,,271.1319891778828,,,0,7,1,OKC
2238,74.6,3,green,596,383,0.2048,0.5425,55.75,-10.62,176.9,3pt_arc,0,,,159.3,none,26.6,26.6,974.2,373.8,0,0,right,,-15.0,-12.0,94.0,655.0,1718.0,347.0,1350.2,466.0,55.36,0,0,1,7,1.0,fast_break,1,0.0,23.4,,,,,0.0,0.1,half_court,,,0.0,0,unknown,,,271.1319891778828,,,0,7,1,OKC
2238,74.6,4,green,755,373,0.2595,0.5283,0.0,0.0,0.0,3pt_arc,0,,,159.3,none,26.6,26.6,974.2,373.8,0,0,right,,-14.0,-5.0,623.0,667.0,1718.0,347.0,1350.2,624.4,0.0,0,0,1,7,1.0,fast_break,1,0.0,23.4,,,,,0.0,0.1,half_court,,,0.0,0,unknown,,,271.1319891778828,,,0,7,1,OKC
2238,74.6,6,white,1150,415,0.3952,0.5878,0.0,0.0,0.0,mid_range,0,,30.9,,none,0.0,0.0,1150.0,415.0,0,0,right,,14.0,-13.0,305.0,268.0,1718.0,347.0,1350.2,1020.9,0.0,0,0,1,7,1.0,fast_break,1,0.0,23.4,,,,,0.0,0.1,half_court,,,0.0,0,unknown,,,271.1319891778828,,,0,7,1,HOU
2241,74.7,2,green,1409,352,0.4842,0.4986,0.0,-64.72,0.0,backcourt,0,,,193.5,none,165.1,165.1,1014.0,413.4,0,0,left,76.0,951.0,-13.0,1295.0,584.0,383.0,231.0,1340.03,1278.1,0.0,0,0,1,8,1.0,fast_break,1,0.0,23.3,,,,,0.0,0.0,fast_break,,,0.0,0,unknown,-89.48436111392014,448.2494401453321,183.425431412574,,,0,8,1,OKC
2241,74.7,3,green,577,401,0.1983,0.568,8.72,-47.03,136.5,3pt_arc,0,,,180.2,none,165.1,165.1,1014.0,413.4,0,0,left,76.0,-15.0,-12.0,94.0,654.0,383.0,231.0,1340.03,448.6,5.66,0,0,1,8,1.0,fast_break,1,0.0,23.3,,,,,0.0,0.0,fast_break,,,0.0,0,unknown,-89.48436111392014,448.2494401453321,183.425431412574,,,0,8,1,OKC
2241,74.7,4,green,755,373,0.2595,0.5283,0.0,0.0,0.0,3pt_arc,0,,,180.2,none,165.1,165.1,1014.0,413.4,0,0,left,76.0,-14.0,-5.0,624.0,667.0,383.0,231.0,1340.03,624.4,0.0,0,0,1,8,1.0,fast_break,1,0.0,23.3,,,,,0.0,0.0,fast_break,,,0.0,0,unknown,-89.48436111392014,448.2494401453321,183.425431412574,,,0,8,1,OKC
