section_id,scheduled_frames,represented_frames,missing_frames
1zPhldjbJnU_s1196,1301,1301,0
1zPhldjbJnU_s3408,1301,1301,0
1zPhldjbJnU_s5620,1301,1301,0
3fT6aYz2N9w_s1339,1299,1299,0
3fT6aYz2N9w_s5086,1299,1299,0
50pp-OqYVok_s2750,1301,1301,0
50pp-OqYVok_s5410,1301,1301,0
7Ci3zQ5Vm4M_s2312,1301,1301,0
UPco-jzOoEg_s2796,1301,1301,0
acb-8Oh7-GrvKvE_s2630,1301,1301,0
acb-8Oh7-GrvKvE_s6440,1301,1301,0
eurocup-Y6POC6V1Y5E_s1221,1301,1301,0
eurocup-Y6POC6V1Y5E_s3483,1301,1301,0
eurocup-Y6POC6V1Y5E_s5745,1301,1301,0
euroleague-AIPW_g_VZN0_s1153,1626,1626,0
euroleague-AIPW_g_VZN0_s3279,1626,1626,0
euroleague-AIPW_g_VZN0_s5405,1626,1626,0
fiba-1DKl1QOo_b8_s1289,1626,1626,0
fiba-1DKl1QOo_b8_s4886,1626,1626,0
fiba-UG_eQNRDHiI_s1385,1301,1301,0
fiba-UG_eQNRDHiI_s3975,1301,1301,0
fiba-UG_eQNRDHiI_s90,1301,1301,0
fiba-jFUMvm_epUE_s6740,1301,1301,0
lnb-1CBY-LXG8VA_s6525,1301,1301,0
lnb-ouDVA0vM20g_s1379,1301,1301,0
nbl-kRQtUZmPm0E_s363,1301,1301,0
nbl-kRQtUZmPm0E_s90,1301,1301,0
ncaaw-lFZWLVzvCEs_s2232,1299,1299,0
ncaaw-lFZWLVzvCEs_s4374,1300,1300,0
ncaaw-lFZWLVzvCEs_s90,1299,1299,0
tDpmV777-IQ_s5262,1299,1299,0
wHs1OssEcAw_s1183,1299,1299,0
wHs1OssEcAw_s3369,1299,1299,0
wHs1OssEcAw_s5555,1299,1299,0
